name,regulator_id,site,target_id,modality,tissue,cluster,weight
Stearic acid (regulates) SCML2,Stearic acid,NA,ENSG00000102098.19,RE,blood.muscle,3,0.102861235522182
Spermine (regulates) ENSG00000286957.1,Spermine,NA,ENSG00000286957.1,RE,blood.muscle,3,0.101732822474591
Spermine (regulates) ENSG00000282556.4,Spermine,NA,ENSG00000282556.4,RE,blood.muscle,3,0.127733497228796
Spermine (regulates) RPL26P6,Spermine,NA,ENSG00000229659.1,RE,blood.muscle,3,0.105777524284794
Spermine (regulates) CYP2R1,Spermine,NA,ENSG00000186104.11,RE,blood.muscle,3,0.137880353160016
Spermine (regulates) VDAC2P5,Spermine,NA,ENSG00000172974.11,RE,blood.muscle,3,0.152954719921255
Spermine (regulates) LDHD,Spermine,NA,ENSG00000166816.15,RE,blood.muscle,3,0.124020708985138
Spermine (regulates) MSS51,Spermine,NA,ENSG00000166343.10,RE,blood.muscle,3,0.131578741209536
Spermine (regulates) GGPS1,Spermine,NA,ENSG00000152904.11,RE,blood.muscle,3,0.17929454707617
Spermine (regulates) CAB39,Spermine,NA,ENSG00000135932.12,RE,blood.muscle,3,0.10126799209805
Spermine (regulates) RIC8B,Spermine,NA,ENSG00000111785.21,RE,blood.muscle,3,0.112426374038943
Spermine (regulates) EIF5,Spermine,NA,ENSG00000100664.11,RE,blood.muscle,3,0.145768484558546
Spermidine (regulates) FAM110D,Spermidine,NA,ENSG00000197245.6,RE,blood.muscle,3,0.129438580781612
Spermidine (regulates) CIDECP1,Spermidine,NA,ENSG00000186162.11,RE,blood.muscle,3,0.102416708754051
Spermidine (regulates) EXOC6B,Spermidine,NA,ENSG00000144036.16,RE,blood.muscle,3,0.102801713556865
Spermidine (regulates) MPC2,Spermidine,NA,ENSG00000143158.11,RE,blood.muscle,3,0.12264513354204
Spermidine (regulates) CRYZ,Spermidine,NA,ENSG00000116791.14,RE,blood.muscle,3,0.103351382832925
Spermidine (regulates) EIF5,Spermidine,NA,ENSG00000100664.11,RE,blood.muscle,3,0.115711651842154
Spermidine (regulates) DDT,Spermidine,NA,ENSG00000099977.15,RE,blood.muscle,3,0.113756615011031
"trans-Cyclohexane-1,2-diol (regulates) ENSG00000288022.1","trans-Cyclohexane-1,2-diol",NA,ENSG00000288022.1,RE,blood.muscle,2,0.143694025765954
"trans-Cyclohexane-1,2-diol (regulates) ENSG00000286681.1","trans-Cyclohexane-1,2-diol",NA,ENSG00000286681.1,RE,blood.muscle,2,0.162729965361894
"trans-Cyclohexane-1,2-diol (regulates) ENSG00000270210.1","trans-Cyclohexane-1,2-diol",NA,ENSG00000270210.1,RE,blood.muscle,2,0.144840853000873
"trans-Cyclohexane-1,2-diol (regulates) ENSG00000261584.1","trans-Cyclohexane-1,2-diol",NA,ENSG00000261584.1,RE,blood.muscle,2,0.147787170554852
"trans-Cyclohexane-1,2-diol (regulates) ENSG00000228801.7","trans-Cyclohexane-1,2-diol",NA,ENSG00000228801.7,RE,blood.muscle,2,0.101070088046909
"trans-Cyclohexane-1,2-diol (regulates) ENSG00000206567.10","trans-Cyclohexane-1,2-diol",NA,ENSG00000206567.10,RE,blood.muscle,2,0.105257017974162
"trans-Cyclohexane-1,2-diol (regulates) KLHDC1","trans-Cyclohexane-1,2-diol",NA,ENSG00000197776.8,RE,blood.muscle,2,0.108295770436809
"trans-Cyclohexane-1,2-diol (regulates) STAG3L3","trans-Cyclohexane-1,2-diol",NA,ENSG00000174353.17,RE,blood.muscle,2,0.112893296545508
"trans-Cyclohexane-1,2-diol (regulates) LRRC8D","trans-Cyclohexane-1,2-diol",NA,ENSG00000171492.14,RE,blood.muscle,2,0.188243614183676
"trans-Cyclohexane-1,2-diol (regulates) ATXN7L1","trans-Cyclohexane-1,2-diol",NA,ENSG00000146776.15,RE,blood.muscle,2,0.127257690269701
"trans-Cyclohexane-1,2-diol (regulates) ATG12","trans-Cyclohexane-1,2-diol",NA,ENSG00000145782.13,RE,blood.muscle,2,0.141754486504272
"trans-Cyclohexane-1,2-diol (regulates) TET1","trans-Cyclohexane-1,2-diol",NA,ENSG00000138336.9,RE,blood.muscle,2,0.102313579552966
"trans-Cyclohexane-1,2-diol (regulates) PDCL","trans-Cyclohexane-1,2-diol",NA,ENSG00000136940.14,RE,blood.muscle,2,0.100879747900153
"trans-Cyclohexane-1,2-diol (regulates) MBD4","trans-Cyclohexane-1,2-diol",NA,ENSG00000129071.10,RE,blood.muscle,2,0.253974789504429
"trans-Cyclohexane-1,2-diol (regulates) FBXO9","trans-Cyclohexane-1,2-diol",NA,ENSG00000112146.17,RE,blood.muscle,2,0.114991694889224
"trans-Cyclohexane-1,2-diol (regulates) DHX58","trans-Cyclohexane-1,2-diol",NA,ENSG00000108771.13,RE,blood.muscle,2,0.105910225925608
"trans-Cyclohexane-1,2-diol (regulates) SRBD1","trans-Cyclohexane-1,2-diol",NA,ENSG00000068784.13,RE,blood.muscle,2,0.102660567078158
"trans-Cyclohexane-1,2-diol (regulates) PRR11","trans-Cyclohexane-1,2-diol",NA,ENSG00000068489.13,RE,blood.muscle,2,0.110958154597581
Aminododecanoic acid (regulates) SIDT2,Aminododecanoic acid,NA,ENSG00000149577.16,RE,blood.muscle,1,0.125664704336253
CAR 26:0 (regulates) ENSG00000260228.6,CAR 26:0,NA,ENSG00000260228.6,RE,blood.muscle,6,0.125860028192048
CAR 26:0 (regulates) ENSG00000259976.3,CAR 26:0,NA,ENSG00000259976.3,RE,blood.muscle,6,0.134330094704481
CAR 26:0 (regulates) ENSG00000229425.4,CAR 26:0,NA,ENSG00000229425.4,RE,blood.muscle,6,0.12810021631895
CAR 26:0 (regulates) NOTCH4,CAR 26:0,NA,ENSG00000204301.6,RE,blood.muscle,6,0.102620652463148
CAR 26:0 (regulates) TPRG1,CAR 26:0,NA,ENSG00000188001.10,RE,blood.muscle,6,0.10833745940979
CAR 26:0 (regulates) ADI1,CAR 26:0,NA,ENSG00000182551.14,RE,blood.muscle,6,0.104648471717962
CAR 26:0 (regulates) SKI,CAR 26:0,NA,ENSG00000157933.10,RE,blood.muscle,6,0.134629555593774
CAR 26:0 (regulates) ACOXL,CAR 26:0,NA,ENSG00000153093.20,RE,blood.muscle,6,0.100608380210689
CAR 26:0 (regulates) SACS,CAR 26:0,NA,ENSG00000151835.17,RE,blood.muscle,6,0.131524520161679
CAR 26:0 (regulates) AKAP6,CAR 26:0,NA,ENSG00000151320.11,RE,blood.muscle,6,0.103176625207919
CAR 26:0 (regulates) JPH2,CAR 26:0,NA,ENSG00000149596.7,RE,blood.muscle,6,0.110115105631676
CAR 26:0 (regulates) KDM6A,CAR 26:0,NA,ENSG00000147050.17,RE,blood.muscle,6,0.147946192962896
CAR 26:0 (regulates) PM20D2,CAR 26:0,NA,ENSG00000146281.6,RE,blood.muscle,6,0.103736813696405
CAR 26:0 (regulates) CDH13,CAR 26:0,NA,ENSG00000140945.17,RE,blood.muscle,6,0.158841204865398
CAR 26:0 (regulates) PPP3CA,CAR 26:0,NA,ENSG00000138814.17,RE,blood.muscle,6,0.140086045220866
CAR 26:0 (regulates) PARP9,CAR 26:0,NA,ENSG00000138496.17,RE,blood.muscle,6,0.114414053191568
CAR 26:0 (regulates) RAC1,CAR 26:0,NA,ENSG00000136238.18,RE,blood.muscle,6,0.114920958290919
CAR 26:0 (regulates) NUDT15,CAR 26:0,NA,ENSG00000136159.4,RE,blood.muscle,6,0.100666737563007
CAR 26:0 (regulates) SLC41A1,CAR 26:0,NA,ENSG00000133065.11,RE,blood.muscle,6,0.130519330906112
CAR 26:0 (regulates) KHDRBS3,CAR 26:0,NA,ENSG00000131773.14,RE,blood.muscle,6,0.152527667260913
CAR 26:0 (regulates) IL13RA1,CAR 26:0,NA,ENSG00000131724.11,RE,blood.muscle,6,0.144409690416544
CAR 26:0 (regulates) EIF2S3,CAR 26:0,NA,ENSG00000130741.11,RE,blood.muscle,6,0.172106193262113
CAR 26:0 (regulates) KDM5C,CAR 26:0,NA,ENSG00000126012.13,RE,blood.muscle,6,0.160582409791195
CAR 26:0 (regulates) FAM210B,CAR 26:0,NA,ENSG00000124098.10,RE,blood.muscle,6,0.170316132971993
CAR 26:0 (regulates) ADAM23,CAR 26:0,NA,ENSG00000114948.13,RE,blood.muscle,6,0.220168993004345
CAR 26:0 (regulates) MAN2A1,CAR 26:0,NA,ENSG00000112893.10,RE,blood.muscle,6,0.110718478534972
CAR 26:0 (regulates) DSE,CAR 26:0,NA,ENSG00000111817.19,RE,blood.muscle,6,0.186683755112642
CAR 26:0 (regulates) JPH1,CAR 26:0,NA,ENSG00000104369.5,RE,blood.muscle,6,0.114636557444156
CAR 26:0 (regulates) SMARCA1,CAR 26:0,NA,ENSG00000102038.16,RE,blood.muscle,6,0.105778847868852
CAR 26:0 (regulates) PLP2,CAR 26:0,NA,ENSG00000102007.11,RE,blood.muscle,6,0.210896634699318
CAR 26:0 (regulates) RFFL,CAR 26:0,NA,ENSG00000092871.17,RE,blood.muscle,6,0.102450466807806
CAR 26:0 (regulates) MYL6,CAR 26:0,NA,ENSG00000092841.19,RE,blood.muscle,6,0.152929063082382
CAR 26:0 (regulates) KDM5D,CAR 26:0,NA,ENSG00000012817.16,RE,blood.muscle,6,0.175177634873195
CAR 26:0 (regulates) ZFX,CAR 26:0,NA,ENSG00000005889.16,RE,blood.muscle,6,0.191398205777829
CAR 26:0 (regulates) FBXL3,CAR 26:0,NA,ENSG00000005812.11,RE,blood.muscle,6,0.100958749341543
CAR 26:0 (regulates) ENSG00000236833.1,CAR 26:0,NA,ENSG00000236833.1,EE,blood.muscle,13,0.253915242148454
CAR 26:0 (regulates) CARS2,CAR 26:0,NA,ENSG00000134905.17,EE,blood.muscle,13,0.265460331806965
CAR 26:0 (regulates) TNFSF10,CAR 26:0,NA,ENSG00000121858.11,EE,blood.muscle,13,0.297973701446763
CAR 26:0 (regulates) DDX58,CAR 26:0,NA,ENSG00000107201.11,EE,blood.muscle,13,0.226762996518759
CAR 20:3 (regulates) ENSG00000286689.1,CAR 20:3,NA,ENSG00000286689.1,RE,blood.muscle,3,0.139453623602085
CAR 20:3 (regulates) NKILA,CAR 20:3,NA,ENSG00000278709.2,RE,blood.muscle,3,0.137086646807257
CAR 20:3 (regulates) MYO19,CAR 20:3,NA,ENSG00000278259.5,RE,blood.muscle,3,0.167762122292017
CAR 20:3 (regulates) STAG3L2,CAR 20:3,NA,ENSG00000277072.5,RE,blood.muscle,3,0.158974617534241
CAR 20:3 (regulates) ENSG00000274460.1,CAR 20:3,NA,ENSG00000274460.1,RE,blood.muscle,3,0.118031377031026
CAR 20:3 (regulates) LPP-AS2,CAR 20:3,NA,ENSG00000270959.1,RE,blood.muscle,3,0.108314346805754
CAR 20:3 (regulates) ZNF213-AS1,CAR 20:3,NA,ENSG00000263072.9,RE,blood.muscle,3,0.107026728543635
CAR 20:3 (regulates) TRIL,CAR 20:3,NA,ENSG00000255690.3,RE,blood.muscle,3,0.132237278008319
CAR 20:3 (regulates) CHMP4A,CAR 20:3,NA,ENSG00000254505.11,RE,blood.muscle,3,0.100888866812704
CAR 20:3 (regulates) CHKB-CPT1B,CAR 20:3,NA,ENSG00000254413.8,RE,blood.muscle,3,0.106904382460706
CAR 20:3 (regulates) ACY1,CAR 20:3,NA,ENSG00000243989.9,RE,blood.muscle,3,0.155015482417152
CAR 20:3 (regulates) ATP5PO,CAR 20:3,NA,ENSG00000241837.7,RE,blood.muscle,3,0.148804761925197
CAR 20:3 (regulates) UQCRHL,CAR 20:3,NA,ENSG00000233954.6,RE,blood.muscle,3,0.105683465712827
CAR 20:3 (regulates) PRRT4,CAR 20:3,NA,ENSG00000224940.9,RE,blood.muscle,3,0.122458330580358
CAR 20:3 (regulates) CRYGS,CAR 20:3,NA,ENSG00000213139.8,RE,blood.muscle,3,0.127574423204492
CAR 20:3 (regulates) CPT1B,CAR 20:3,NA,ENSG00000205560.13,RE,blood.muscle,3,0.139002868809272
CAR 20:3 (regulates) C6orf136,CAR 20:3,NA,ENSG00000204564.12,RE,blood.muscle,3,0.14610465754387
CAR 20:3 (regulates) ZNF28,CAR 20:3,NA,ENSG00000198538.11,RE,blood.muscle,3,0.119383079080992
CAR 20:3 (regulates) TCAF1,CAR 20:3,NA,ENSG00000198420.10,RE,blood.muscle,3,0.124625837493258
CAR 20:3 (regulates) EOLA1,CAR 20:3,NA,ENSG00000197620.11,RE,blood.muscle,3,0.125026713053381
CAR 20:3 (regulates) GSTK1,CAR 20:3,NA,ENSG00000197448.14,RE,blood.muscle,3,0.236597107819041
CAR 20:3 (regulates) MRPL21,CAR 20:3,NA,ENSG00000197345.13,RE,blood.muscle,3,0.141413543424289
CAR 20:3 (regulates) TAL2,CAR 20:3,NA,ENSG00000186051.7,RE,blood.muscle,3,0.195126327429597
CAR 20:3 (regulates) NDUFA6,CAR 20:3,NA,ENSG00000184983.11,RE,blood.muscle,3,0.101873879697896
CAR 20:3 (regulates) HMCES,CAR 20:3,NA,ENSG00000183624.14,RE,blood.muscle,3,0.134702863288831
CAR 20:3 (regulates) TMEM119,CAR 20:3,NA,ENSG00000183160.9,RE,blood.muscle,3,0.106930682855473
CAR 20:3 (regulates) MRPL41,CAR 20:3,NA,ENSG00000182154.8,RE,blood.muscle,3,0.105032119360321
CAR 20:3 (regulates) CYC1,CAR 20:3,NA,ENSG00000179091.5,RE,blood.muscle,3,0.145263133430902
CAR 20:3 (regulates) EIF3K,CAR 20:3,NA,ENSG00000178982.10,RE,blood.muscle,3,0.111694379052904
CAR 20:3 (regulates) CENPBD1,CAR 20:3,NA,ENSG00000177946.7,RE,blood.muscle,3,0.156112345562154
CAR 20:3 (regulates) DMRT2,CAR 20:3,NA,ENSG00000173253.16,RE,blood.muscle,3,0.250546961545482
CAR 20:3 (regulates) QARS1,CAR 20:3,NA,ENSG00000172053.18,RE,blood.muscle,3,0.115026219171548
CAR 20:3 (regulates) TRIM8,CAR 20:3,NA,ENSG00000171206.15,RE,blood.muscle,3,0.123553523904407
CAR 20:3 (regulates) HARS1,CAR 20:3,NA,ENSG00000170445.16,RE,blood.muscle,3,0.100533206695308
CAR 20:3 (regulates) ELP5,CAR 20:3,NA,ENSG00000170291.16,RE,blood.muscle,3,0.134309099740299
CAR 20:3 (regulates) NDUFV1,CAR 20:3,NA,ENSG00000167792.13,RE,blood.muscle,3,0.108933919599021
CAR 20:3 (regulates) YIF1B,CAR 20:3,NA,ENSG00000167645.17,RE,blood.muscle,3,0.101110387084485
CAR 20:3 (regulates) LDHD,CAR 20:3,NA,ENSG00000166816.15,RE,blood.muscle,3,0.147869116498321
CAR 20:3 (regulates) MSS51,CAR 20:3,NA,ENSG00000166343.10,RE,blood.muscle,3,0.12276056562120399
CAR 20:3 (regulates) NDUFS4,CAR 20:3,NA,ENSG00000164258.12,RE,blood.muscle,3,0.17802151319972
CAR 20:3 (regulates) SLC4A1AP,CAR 20:3,NA,ENSG00000163798.13,RE,blood.muscle,3,0.110885609372279
CAR 20:3 (regulates) SUCLG1,CAR 20:3,NA,ENSG00000163541.12,RE,blood.muscle,3,0.108292365602518
CAR 20:3 (regulates) SERPINI1,CAR 20:3,NA,ENSG00000163536.13,RE,blood.muscle,3,0.113842654465468
CAR 20:3 (regulates) SNRNP25,CAR 20:3,NA,ENSG00000161981.11,RE,blood.muscle,3,0.146883052065725
CAR 20:3 (regulates) VPS28,CAR 20:3,NA,ENSG00000160948.14,RE,blood.muscle,3,0.136726406012666
CAR 20:3 (regulates) CHTOP,CAR 20:3,NA,ENSG00000160679.13,RE,blood.muscle,3,0.104443611728528
CAR 20:3 (regulates) ATP5MC1,CAR 20:3,NA,ENSG00000159199.14,RE,blood.muscle,3,0.130188669096443
CAR 20:3 (regulates) ATP5MC3,CAR 20:3,NA,ENSG00000154518.10,RE,blood.muscle,3,0.133671553602553
CAR 20:3 (regulates) SPOCK1,CAR 20:3,NA,ENSG00000152377.14,RE,blood.muscle,3,0.138812768894782
CAR 20:3 (regulates) ATG10,CAR 20:3,NA,ENSG00000152348.16,RE,blood.muscle,3,0.113451257490472
CAR 20:3 (regulates) ATP5F1A,CAR 20:3,NA,ENSG00000152234.16,RE,blood.muscle,3,0.103781686606254
CAR 20:3 (regulates) TLCD4,CAR 20:3,NA,ENSG00000152078.10,RE,blood.muscle,3,0.112906777672691
CAR 20:3 (regulates) MIGA2,CAR 20:3,NA,ENSG00000148343.19,RE,blood.muscle,3,0.164011138031196
CAR 20:3 (regulates) PTGES2,CAR 20:3,NA,ENSG00000148334.16,RE,blood.muscle,3,0.115462757319011
CAR 20:3 (regulates) SLC25A37,CAR 20:3,NA,ENSG00000147454.14,RE,blood.muscle,3,0.10316189571506
CAR 20:3 (regulates) C7orf50,CAR 20:3,NA,ENSG00000146540.15,RE,blood.muscle,3,0.122221587339897
CAR 20:3 (regulates) PDIA6,CAR 20:3,NA,ENSG00000143870.13,RE,blood.muscle,3,0.118599018526077
CAR 20:3 (regulates) HAX1,CAR 20:3,NA,ENSG00000143575.15,RE,blood.muscle,3,0.126947919131214
CAR 20:3 (regulates) SAT2,CAR 20:3,NA,ENSG00000141504.12,RE,blood.muscle,3,0.133343293966422
CAR 20:3 (regulates) RHOT2,CAR 20:3,NA,ENSG00000140983.14,RE,blood.muscle,3,0.167556751015445
CAR 20:3 (regulates) CYP11A1,CAR 20:3,NA,ENSG00000140459.18,RE,blood.muscle,3,0.17168577234383
CAR 20:3 (regulates) NDUFA9,CAR 20:3,NA,ENSG00000139180.11,RE,blood.muscle,3,0.109495519296531
CAR 20:3 (regulates) MRPL15,CAR 20:3,NA,ENSG00000137547.9,RE,blood.muscle,3,0.179768945416369
CAR 20:3 (regulates) TACO1,CAR 20:3,NA,ENSG00000136463.9,RE,blood.muscle,3,0.130377083628277
CAR 20:3 (regulates) MRPS9,CAR 20:3,NA,ENSG00000135972.9,RE,blood.muscle,3,0.10037987921439501
CAR 20:3 (regulates) MTO1,CAR 20:3,NA,ENSG00000135297.17,RE,blood.muscle,3,0.163253884894883
CAR 20:3 (regulates) MRPS36,CAR 20:3,NA,ENSG00000134056.12,RE,blood.muscle,3,0.12630098215652
CAR 20:3 (regulates) SNX6,CAR 20:3,NA,ENSG00000129515.20,RE,blood.muscle,3,0.116610426354362
CAR 20:3 (regulates) PSMF1,CAR 20:3,NA,ENSG00000125818.18,RE,blood.muscle,3,0.171330057862277
CAR 20:3 (regulates) ADGRB2,CAR 20:3,NA,ENSG00000121753.13,RE,blood.muscle,3,0.149895959278657
CAR 20:3 (regulates) GOT1,CAR 20:3,NA,ENSG00000120053.12,RE,blood.muscle,3,0.172674957428947
CAR 20:3 (regulates) NDUFA8,CAR 20:3,NA,ENSG00000119421.7,RE,blood.muscle,3,0.136693253959861
CAR 20:3 (regulates) SDHB,CAR 20:3,NA,ENSG00000117118.10,RE,blood.muscle,3,0.107067126786824
CAR 20:3 (regulates) MRPL2,CAR 20:3,NA,ENSG00000112651.12,RE,blood.muscle,3,0.213296174754612
CAR 20:3 (regulates) PRKAB1,CAR 20:3,NA,ENSG00000111725.11,RE,blood.muscle,3,0.129143884543923
CAR 20:3 (regulates) NDUFS8,CAR 20:3,NA,ENSG00000110717.13,RE,blood.muscle,3,0.145537386244783
CAR 20:3 (regulates) PTGR1,CAR 20:3,NA,ENSG00000106853.20,RE,blood.muscle,3,0.142373849766457
CAR 20:3 (regulates) MRPL4,CAR 20:3,NA,ENSG00000105364.14,RE,blood.muscle,3,0.120027628748329
CAR 20:3 (regulates) IGDCC4,CAR 20:3,NA,ENSG00000103742.12,RE,blood.muscle,3,0.116059035671456
CAR 20:3 (regulates) CSK,CAR 20:3,NA,ENSG00000103653.17,RE,blood.muscle,3,0.115718702229665
CAR 20:3 (regulates) PSMA6,CAR 20:3,NA,ENSG00000100902.11,RE,blood.muscle,3,0.199734699869498
CAR 20:3 (regulates) RTCB,CAR 20:3,NA,ENSG00000100220.12,RE,blood.muscle,3,0.10072973609763
CAR 20:3 (regulates) DDT,CAR 20:3,NA,ENSG00000099977.15,RE,blood.muscle,3,0.106804161980776
CAR 20:3 (regulates) CD82,CAR 20:3,NA,ENSG00000085117.12,RE,blood.muscle,3,0.114949524037761
CAR 20:3 (regulates) SEMA3C,CAR 20:3,NA,ENSG00000075223.14,RE,blood.muscle,3,0.124157519881739
CAR 20:3 (regulates) NFYC,CAR 20:3,NA,ENSG00000066136.21,RE,blood.muscle,3,0.136752762493103
CAR 20:3 (regulates) KATNIP,CAR 20:3,NA,ENSG00000047578.14,RE,blood.muscle,3,0.106620758884737
CAR 20:3 (regulates) ANKIB1,CAR 20:3,NA,ENSG00000001629.10,RE,blood.muscle,3,0.138751709404459
CAR 20:3 (regulates) TG 16:0_18:2_22:6,CAR 20:3,NA,TG 16:0_18:2_22:6,EE,blood.muscle,NA,0.191999081826281
CAR 20:3 (regulates) TG 48:5,CAR 20:3,NA,TG 48:5,EE,blood.muscle,NA,0.170552050250402
CAR 20:3 (regulates) PC O-35:2,CAR 20:3,NA,PC O-35:2,EE,blood.muscle,NA,0.196895128772779
CAR 20:3 (regulates) PC 37:5,CAR 20:3,NA,PC 37:5,EE,blood.muscle,NA,0.192424123586253
CAR 20:3 (regulates) PC 37:1,CAR 20:3,NA,PC 37:1,EE,blood.muscle,NA,0.142147518745344
CAR 20:3 (regulates) CAR 20:3,CAR 20:3,NA,CAR 20:3,EE,blood.muscle,NA,1.16982437474373
CAR 20:3 (regulates) CAR 18:2,CAR 20:3,NA,CAR 18:2,EE,blood.muscle,NA,0.382808004744847
CAR 20:3 (regulates) CAR 18:1;OH,CAR 20:3,NA,CAR 18:1;OH,EE,blood.muscle,NA,0.381201805845517
CAR 20:3 (regulates) ST 24:2;O4,CAR 20:3,NA,ST 24:2;O4,EE,blood.muscle,NA,0.106497590637458
CAR 20:3 (regulates) PC 16:0_20:4,CAR 20:3,NA,PC 16:0_20:4,EE,blood.muscle,NA,0.21719875942445
CAR 20:3 (regulates) SM 18:1;O2/17:0,CAR 20:3,NA,SM 18:1;O2/17:0,EE,blood.muscle,NA,0.20201201413919
CAR 20:3 (regulates) N-Acetylhistidine,CAR 20:3,NA,N-Acetylhistidine,EE,blood.muscle,NA,0.132227489327443
CAR 20:3 (regulates) CAR DC6:0,CAR 20:3,NA,CAR DC6:0,EE,blood.muscle,NA,0.139889134450141
CAR 20:3 (regulates) ENSG00000236833.1,CAR 20:3,NA,ENSG00000236833.1,EE,blood.muscle,13,0.418818559475533
CAR 20:3 (regulates) CARS2,CAR 20:3,NA,ENSG00000134905.17,EE,blood.muscle,13,0.133336721407211
CAR 20:3 (regulates) SLC25A23,CAR 20:3,NA,ENSG00000125648.15,EE,blood.muscle,13,0.199254642777946
CAR 20:3 (regulates) TNFSF10,CAR 20:3,NA,ENSG00000121858.11,EE,blood.muscle,13,0.278648340508067
CAR 20:3 (regulates) SPOP,CAR 20:3,NA,ENSG00000121067.19,EE,blood.muscle,13,0.215417640661647
CAR 20:3 (regulates) DDX58,CAR 20:3,NA,ENSG00000107201.11,EE,blood.muscle,13,0.176121572666115
MEF2A (regulates) ENSG00000282034.1,Q02078_S98s,S98s,ENSG00000282034.1,RE,muscle,13,0.160146082331593
MEF2A (regulates) ENSG00000280138.1,Q02078_S98s,S98s,ENSG00000280138.1,RE,muscle,13,0.192744318528075
MEF2A (regulates) ENSG00000279759.1,Q02078_S98s,S98s,ENSG00000279759.1,RE,muscle,13,0.239652356630511
MEF2A (regulates) ENSG00000279495.1,Q02078_S98s,S98s,ENSG00000279495.1,RE,muscle,13,0.131491047332133
MEF2A (regulates) ENSG00000279088.1,Q02078_S98s,S98s,ENSG00000279088.1,RE,muscle,13,0.12886847627083
MEF2A (regulates) ENSG00000273576.1,Q02078_S98s,S98s,ENSG00000273576.1,RE,muscle,13,0.127771925698842
MEF2A (regulates) ENSG00000273295.1,Q02078_S98s,S98s,ENSG00000273295.1,RE,muscle,13,0.237348226889887
MEF2A (regulates) ENSG00000272078.1,Q02078_S98s,S98s,ENSG00000272078.1,RE,muscle,13,0.111368667148633
MEF2A (regulates) PTOV1-AS1,Q02078_S98s,S98s,ENSG00000268006.1,RE,muscle,13,0.154836904476539
MEF2A (regulates) ENSG00000267934.1,Q02078_S98s,S98s,ENSG00000267934.1,RE,muscle,13,0.241426311958807
MEF2A (regulates) CCER2,Q02078_S98s,S98s,ENSG00000262484.2,RE,muscle,13,0.131065940063184
MEF2A (regulates) ENSG00000261123.1,Q02078_S98s,S98s,ENSG00000261123.1,RE,muscle,13,0.117169693477999
MEF2A (regulates) ENSG00000260316.2,Q02078_S98s,S98s,ENSG00000260316.2,RE,muscle,13,0.118129779899164
MEF2A (regulates) STIMATE-MUSTN1,Q02078_S98s,S98s,ENSG00000248592.7,RE,muscle,13,0.148249591446153
MEF2A (regulates) STX18-AS1,Q02078_S98s,S98s,ENSG00000247708.8,RE,muscle,13,0.113935550209017
MEF2A (regulates) ENSG00000245498.7,Q02078_S98s,S98s,ENSG00000245498.7,RE,muscle,13,0.108068828757701
MEF2A (regulates) ENSG00000234338.1,Q02078_S98s,S98s,ENSG00000234338.1,RE,muscle,13,0.10239313934316
MEF2A (regulates) ZNF879,Q02078_S98s,S98s,ENSG00000234284.7,RE,muscle,13,0.125364886884423
