SCION..target,Gambardella_et_al_2020,MSigDb_TFEB_TARGET_GENES,Settembre_et_al_2013,Doronzo_et_al_2018,any
IFIT2,N,N,N,N,N
HOXB3,Y,N,N,Y,Y
ZMYM2,Y,N,N,N,Y
MYOG,N,N,N,N,N
METTL8,N,N,N,N,N
COQ8B,N,N,N,N,N
BBS2,N,N,N,N,N
TUBGCP6,Y,N,N,N,Y
IVD,N,N,N,N,N
CHRNA10,N,N,N,N,N
USHBP1,Y,Y,N,Y,Y
REEP2,N,N,N,N,N
GIMAP4,N,N,N,Y,Y
DMTF1,Y,N,N,Y,Y
VEZF1,Y,N,N,Y,Y
SLC37A4,N,N,N,N,N
SEMA6D,N,N,N,N,N
TET1,N,N,N,N,N
SMARCAL1,Y,N,N,N,Y
SETD1B,N,N,N,Y,Y
OSBPL1A,N,N,N,Y,Y
DUSP10,N,N,N,Y,Y
RABL2A,N,N,N,N,N
NYAP2,N,N,N,N,N
COPS7B,N,N,N,N,N
BOC,N,N,N,N,N
TRIM7,Y,N,N,N,Y
FAM193B,N,N,N,N,N
ZMYM4,Y,N,N,N,Y
TMEM209,N,N,N,N,N
LUC7L2,N,N,N,Y,Y
DPH7,N,N,N,N,N
ABCB9,N,Y,N,Y,Y
UBC,Y,N,N,Y,Y
PRSS53,N,N,N,N,N
DISP1,N,N,N,N,N
DHRS1,N,N,N,N,N
RSPRY1,N,N,N,Y,Y
NXF1,N,N,N,N,N
MYSM1,Y,N,N,Y,Y
KLHDC9,N,N,N,N,N
EN1,N,N,N,N,N
MFSD8,N,N,N,N,N
METTL17,N,N,N,N,N
LARGE2,N,N,N,N,N
PTER,Y,N,N,N,Y
TEPSIN,N,N,N,N,N
SIN3A,Y,N,N,N,Y
GUSB,N,N,N,Y,Y
ZNF692,N,N,N,N,N
AGAP5,Y,N,N,N,Y
SNHG11,Y,N,N,N,Y
CNTD1,Y,N,N,N,Y
VSIG10,N,Y,N,N,Y
WDR73,N,N,N,N,N
MAN1B1,N,N,N,N,N
HYI,N,N,N,N,N
PRF1,N,N,N,N,N
FIGN,N,N,N,N,N
C8orf33,Y,N,N,N,Y
FBXL6,N,N,N,N,N
GJC1,N,N,N,N,N
DAZAP2,N,Y,N,Y,Y
CLDN5,N,N,N,N,N
THAP7,N,N,N,N,N
IFNLR1,N,N,N,N,N
NR2F2,N,N,N,Y,Y
NAP1L2,N,N,N,N,N
C3orf62,N,N,N,N,N
CCDC9B,N,N,N,Y,Y
HRCT1,N,N,N,N,N
TTC30B,N,N,N,N,N
CCDC180,N,N,N,N,N
GRIN3A,N,N,N,N,N
CD247,N,N,N,N,N
LCN8,N,N,N,N,N
AGAP6,N,N,N,N,N
AGER,N,N,N,N,N
CCHCR1,N,N,N,N,N
GIMAP1,N,N,N,Y,Y
GTF2H4,N,N,N,N,N
URAHP,N,N,N,N,N
WEE2-AS1,N,N,N,Y,Y
LINC01137,N,N,N,N,N
ZNF37BP,N,N,N,N,N
WBP1,N,N,N,N,N
AMY2B,N,N,N,N,N
C1QTNF9,N,N,N,N,N
ENSG00000242588.6,N,N,N,N,N
ENSG00000243302.3,N,N,N,N,N
UPK3B,N,N,N,N,N
FAM13A-AS1,N,N,N,N,N
ENSG00000248514.1,N,N,N,N,N
MTATP6P1,N,N,N,N,N
ENSG00000249679.3,N,N,N,N,N
ENSG00000251143.1,N,N,N,N,N
ENSG00000255468.7,N,N,N,N,N
POLG2,N,N,N,N,N
MIRLET7IHG,N,N,N,N,N
ENSG00000258168.6,N,N,N,N,N
ENSG00000259495.3,N,N,N,N,N
CSPG4P13,N,N,N,N,N
RPH3AL-AS1,N,N,N,N,N
ENSG00000262370.6,N,N,N,N,N
SNORD3A,N,N,N,N,N
ENSG00000264112.1,N,N,N,N,N
DTX2P1-UPK3BP1-PMS2P11,N,N,N,N,N
FSBP,N,N,N,N,N
TXNIP,N,N,N,N,N
ENSG00000271420.1,N,N,N,N,N
ENSG00000272668.2,N,N,N,N,N
ENSG00000273108.1,N,N,N,N,N
SFTPD-AS1,N,N,N,N,N
FRG1HP,N,N,N,N,N
ENSG00000277687.1,N,N,N,N,N
ENSG00000279145.2,N,N,N,N,N
ENSG00000280214.1,N,N,N,N,N
ENSG00000283352.1,N,N,N,N,N
ENSG00000285103.2,N,N,N,N,N
ENSG00000288700.2,N,N,N,N,N
ENSG00000288818.1,N,N,N,N,N
ENSG00000288884.1,N,N,N,N,N
ENSG00000288924.1,N,N,N,N,N
HSPB6,N,N,N,N,N
THSD7A,N,N,N,N,N
LUC7L,N,N,N,N,N
NFATC3,Y,Y,N,Y,Y
BAZ2A,N,N,N,N,N
DNAJC10,N,N,N,N,N
TMEM87A,N,N,N,N,N
CRHR2,N,N,N,N,N
SUFU,Y,N,N,N,Y
FBXW7,N,N,N,N,N
SCAP,N,N,N,Y,Y
PRDX6,N,N,N,N,N
SPOP,N,N,N,N,N
FAM124B,N,Y,N,Y,Y
BTN2A3P,N,N,N,N,N
SESN2,N,N,N,N,N
SERPINF1,N,N,N,N,N
TMEM60,N,N,N,Y,Y
CTDSPL2,N,N,N,N,N
ZNF711,N,N,N,N,N
FMNL2,N,N,N,N,N
PITX2,N,N,N,N,N
GRPEL2,N,N,N,Y,Y
SLITRK5,N,N,N,N,N
ZCCHC24,N,N,N,N,N
DDIT4,Y,N,N,Y,Y
HOXC5,N,N,N,N,N
CTDSP2,N,N,N,N,N
ANXA2R,N,N,N,Y,Y
PLEKHM3,N,N,N,N,N
TNFAIP8L1,N,N,N,Y,Y
IPP,N,N,N,N,N
NCOA6,Y,N,N,N,Y
SSBP3-AS1,N,N,N,N,N
NOTCH4,N,N,N,N,N
CDC20P1,N,N,N,N,N
RPL23AP7,N,N,N,N,N
LINC00886,N,Y,N,Y,Y
ENSG00000257176.3,N,N,N,N,N
ENSG00000258634.3,N,N,N,N,N
MYH4,N,N,N,N,N
ENSG00000273432.1,N,N,N,N,N
ADRA2B,N,N,N,N,N
ENSG00000279518.1,N,N,N,N,N
ENSG00000285928.1,N,N,N,N,N
ENSG00000288748.1,N,N,N,N,N
NOS2,N,N,N,N,N
RNASET2,Y,N,N,N,Y
ABCF2,Y,N,N,N,Y
CYP46A1,N,N,N,N,N
CROCC,N,N,N,N,N
FLYWCH1,N,N,N,N,N
ISOC1,N,N,N,N,N
ALDH3A2,Y,N,N,N,Y
BCS1L,N,N,N,N,N
EXOC1,N,Y,N,Y,Y
COMT,N,N,N,N,N
ERMP1,N,N,N,N,N
DNAL4,N,N,N,N,N
RHBDD3,N,N,N,Y,Y
L3MBTL2,N,N,N,N,N
TRMU,Y,N,N,N,Y
MTG2,Y,N,N,N,Y
ATP1B4,N,N,N,N,N
HOMER2,N,N,N,N,N
PLA2G4C,N,N,N,Y,Y
B9D1,N,N,N,N,N
ACAD10,N,N,N,Y,Y
SPSB2,N,N,N,N,N
ASF1A,Y,N,N,N,Y
RARS1,N,N,N,N,N
FASTKD2,N,N,N,Y,Y
EEF2KMT,N,N,N,N,N
KCNJ8,N,N,N,N,N
OARD1,N,N,N,N,N
INSIG2,N,N,N,N,N
MTERF1,N,N,N,Y,Y
MPST,N,N,N,N,N
MTRES1,N,N,N,N,N
SNRPA1,Y,N,N,N,Y
RPA1,N,N,N,N,N
ZNF414,N,N,N,Y,Y
GIMAP6,N,N,N,N,N
KRBA1,Y,N,N,Y,Y
ECHDC3,N,N,N,N,N
ITGA7,N,Y,N,Y,Y
DTNB,N,N,N,Y,Y
SUOX,N,N,N,N,N
CEP131,Y,N,N,Y,Y
PRDM15,Y,N,N,N,Y
C1orf162,N,N,N,N,N
CCZ1B,N,N,N,N,N
CD226,N,N,N,N,N
DHX37,N,N,N,N,N
PLBD2,N,N,N,Y,Y
PRKCA,Y,N,N,N,Y
NODAL,Y,N,N,N,Y
NPTN,N,Y,N,Y,Y
SLC13A3,N,N,N,N,N
ZNF66,N,N,N,N,N
PDLIM5,N,N,N,N,N
ERCC3,Y,N,N,N,Y
HPS3,N,Y,N,Y,Y
NMNAT3,N,N,N,N,N
ADGRF2,N,N,N,N,N
GPR146,N,N,N,N,N
AVPR1A,N,N,N,N,N
AKIP1,Y,N,N,N,Y
COQ7,N,N,N,N,N
SPRYD3,N,N,N,N,N
BMP1,N,N,N,N,N
ZBTB49,N,N,N,N,N
IRF2BP1,Y,N,N,N,Y
LAMB2,N,N,N,N,N
MOB1B,N,N,N,N,N
B4GAT1,N,N,N,N,N
OR10AB1P,N,N,N,N,N
CCDC71,N,N,N,Y,Y
PIDD1,N,N,N,N,N
ZNF366,N,N,N,Y,Y
PJA1,N,N,N,N,N
FAM104B,N,N,N,N,N
B3GALT5,Y,N,N,N,Y
TXNRD2,Y,Y,N,Y,Y
PRPF39,N,N,N,Y,Y
WASH3P,N,N,N,N,N
PLA2G4E,N,N,N,N,N
NHLRC3,N,N,N,N,N
FAM110D,N,N,N,N,N
IPO9,Y,N,N,N,Y
ARHGEF15,N,N,N,N,N
JPT2,N,N,N,N,N
CEP43,N,N,N,N,N
SCART1,N,N,N,N,N
LINP1,N,N,N,N,N
AKR1B15,N,N,N,N,N
SERPINB9P1,N,N,N,Y,Y
LYRM9,N,N,N,N,N
DIRC3-AS1,N,N,N,N,N
HNRNPUL2-BSCL2,Y,N,N,Y,Y
FABP5P7,N,N,N,N,N
ENSG00000240219.1,N,N,N,N,N
RPL13P5,N,N,N,N,N
ENSG00000241057.2,N,N,N,N,N
PI4KA,Y,N,N,Y,Y
MUC20-OT1,N,N,N,N,N
DSTNP2,N,N,N,N,N
LINC01301,N,N,N,N,N
VIRMA-DT,N,N,N,N,N
ZBTB11-AS1,Y,N,N,N,Y
RNFT1-DT,N,N,N,N,N
WDR5B-DT,N,N,N,N,N
ENSG00000274220.1,N,N,N,N,N
PRAG1,N,N,N,Y,Y
TBC1D3E,N,N,N,N,N
ENSG00000280120.1,N,N,N,N,N
