feature_id,assay,entrez_gene,gene_symbol,ensembl_gene,Gambardella_et_al_2020,MSigDb_TFEB_TARGET_GENES,Settembre_et_al_2013,Doronzo_et_al_2018,any
ENSG00000143384.14,transcript-rna-seq,4170,MCL1,ENSG00000143384,Y,N,N,Y,Y
ENSG00000162367.12,transcript-rna-seq,6886,TAL1,ENSG00000162367,N,N,N,N,N
ENSG00000164211.13,transcript-rna-seq,134429,STARD4,ENSG00000164211,N,N,N,N,N
ENSG00000120129.6,transcript-rna-seq,1843,DUSP1,ENSG00000120129,N,Y,N,Y,Y
ENSG00000100311.17,transcript-rna-seq,5155,PDGFB,ENSG00000100311,Y,N,N,Y,Y
ENSG00000241839.10,transcript-rna-seq,80301,PLEKHO2,ENSG00000241839,N,N,N,N,N
ENSG00000136802.12,transcript-rna-seq,56262,LRRC8A,ENSG00000136802,Y,Y,N,N,Y
ENSG00000105722.10,transcript-rna-seq,2077,ERF,ENSG00000105722,Y,N,N,Y,Y
ENSG00000081041.9,transcript-rna-seq,2920,CXCL2,ENSG00000081041,N,Y,N,N,Y
ENSG00000133561.15,transcript-rna-seq,474344,GIMAP6,ENSG00000133561,N,N,N,N,N
ENSG00000148841.17,transcript-rna-seq,85450,ITPRIP,ENSG00000148841,N,N,N,Y,Y
ENSG00000173530.6,transcript-rna-seq,8793,TNFRSF10D,ENSG00000173530,N,N,N,N,N
ENSG00000164736.6,transcript-rna-seq,64321,SOX17,ENSG00000164736,N,N,N,Y,Y
ENSG00000176641.11,transcript-rna-seq,220441,RNF152,ENSG00000176641,N,N,N,N,N
ENSG00000163132.8,transcript-rna-seq,4487,MSX1,ENSG00000163132,N,N,N,N,N
ENSG00000270069.2,transcript-rna-seq,NA,MIR222HG,ENSG00000270069,N,Y,N,N,Y
ENSG00000043462.13,transcript-rna-seq,3937,LCP2,ENSG00000043462,N,N,N,N,N
ENSG00000173276.14,transcript-rna-seq,49854,ZBTB21,ENSG00000173276,N,N,N,N,N
ENSG00000105538.10,transcript-rna-seq,54922,RASIP1,ENSG00000105538,N,N,N,N,N
ENSG00000125753.14,transcript-rna-seq,7408,VASP,ENSG00000125753,Y,N,N,N,Y
ENSG00000120738.8,transcript-rna-seq,1958,EGR1,ENSG00000120738,N,N,N,N,N
ENSG00000164741.15,transcript-rna-seq,10395,DLC1,ENSG00000164741,N,Y,N,Y,Y
ENSG00000188785.12,transcript-rna-seq,147694,ZNF548,ENSG00000188785,N,N,N,N,N
ENSG00000171223.6,transcript-rna-seq,3726,JUNB,ENSG00000171223,N,N,N,N,N
ENSG00000167604.15,transcript-rna-seq,84807,NFKBID,ENSG00000167604,Y,N,N,N,Y
ENSG00000177606.8,transcript-rna-seq,3725,JUN,ENSG00000177606,Y,N,N,Y,Y
ENSG00000139146.14,transcript-rna-seq,58516,SINHCAF,ENSG00000139146,N,N,N,N,N
ENSG00000161010.16,transcript-rna-seq,51149,MRNIP,ENSG00000161010,N,N,N,Y,Y
ENSG00000086061.16,transcript-rna-seq,3301,DNAJA1,ENSG00000086061,Y,N,N,N,Y
ENSG00000197245.6,transcript-rna-seq,79927,FAM110D,ENSG00000197245,N,N,N,N,N
ENSG00000110172.12,transcript-rna-seq,26973,CHORDC1,ENSG00000110172,N,N,N,Y,Y
ENSG00000165507.9,transcript-rna-seq,11067,DEPP1,ENSG00000165507,N,N,N,N,N
ENSG00000185022.12,transcript-rna-seq,23764,MAFF,ENSG00000185022,Y,N,N,Y,Y
ENSG00000232656.9,transcript-rna-seq,55853,IDI2-AS1,ENSG00000232656,N,N,N,N,N
ENSG00000112763.17,transcript-rna-seq,11120,BTN2A1,ENSG00000112763,N,N,N,N,N
ENSG00000261150.3,transcript-rna-seq,83481,EPPK1,ENSG00000261150,N,N,N,N,N
ENSG00000161638.11,transcript-rna-seq,3678,ITGA5,ENSG00000161638,N,Y,N,Y,Y
ENSG00000169252.6,transcript-rna-seq,154,ADRB2,ENSG00000169252,N,N,N,N,N
ENSG00000183808.12,transcript-rna-seq,389677,RBM12B,ENSG00000183808,Y,N,N,N,Y
ENSG00000122877.18,transcript-rna-seq,1959,EGR2,ENSG00000122877,N,N,N,N,N
ENSG00000118523.6,transcript-rna-seq,1490,CCN2,ENSG00000118523,N,N,N,Y,Y
ENSG00000109920.13,transcript-rna-seq,23360,FNBP4,ENSG00000109920,Y,Y,N,Y,Y
ENSG00000112081.17,transcript-rna-seq,6428,SRSF3,ENSG00000112081,Y,N,N,N,Y
ENSG00000132002.9,transcript-rna-seq,3337,DNAJB1,ENSG00000132002,Y,N,N,Y,Y
ENSG00000125810.10,transcript-rna-seq,22918,CD93,ENSG00000125810,N,N,N,Y,Y
ENSG00000099622.14,transcript-rna-seq,1153,CIRBP,ENSG00000099622,Y,N,N,N,Y
ENSG00000158615.10,transcript-rna-seq,84919,PPP1R15B,ENSG00000158615,Y,N,N,N,Y
ENSG00000075426.12,transcript-rna-seq,2355,FOSL2,ENSG00000075426,N,Y,N,Y,Y
ENSG00000128283.7,transcript-rna-seq,11135,CDC42EP1,ENSG00000128283,N,N,N,N,N
ENSG00000168005.9,transcript-rna-seq,144097,SPINDOC,ENSG00000168005,N,N,N,N,N
ENSG00000125740.14,transcript-rna-seq,2354,FOSB,ENSG00000125740,N,N,N,Y,Y
ENSG00000120694.20,transcript-rna-seq,10808,HSPH1,ENSG00000120694,N,N,N,N,N
ENSG00000175197.13,transcript-rna-seq,1649,DDIT3,ENSG00000175197,Y,Y,N,Y,Y
ENSG00000158792.16,transcript-rna-seq,124044,SPATA2L,ENSG00000158792,N,N,N,N,N
ENSG00000198719.9,transcript-rna-seq,28514,DLL1,ENSG00000198719,N,N,N,N,N
ENSG00000064666.15,transcript-rna-seq,1265,CNN2,ENSG00000064666,N,N,N,N,N
ENSG00000125845.7,transcript-rna-seq,650,BMP2,ENSG00000125845,N,N,N,N,N
ENSG00000175592.9,transcript-rna-seq,8061,FOSL1,ENSG00000175592,N,N,N,N,N
ENSG00000023041.12,transcript-rna-seq,64429,ZDHHC6,ENSG00000023041,N,N,N,N,N
ENSG00000049130.16,transcript-rna-seq,4254,KITLG,ENSG00000049130,N,N,N,N,N
ENSG00000259884.1,transcript-rna-seq,115409980,NR4A1AS,ENSG00000259884,N,N,N,N,N
ENSG00000115738.10,transcript-rna-seq,3398,ID2,ENSG00000115738,Y,Y,N,Y,Y
ENSG00000170340.11,transcript-rna-seq,10678,B3GNT2,ENSG00000170340,Y,N,N,N,Y
ENSG00000204388.7,transcript-rna-seq,3304,HSPA1B,ENSG00000204388,N,N,N,N,N
ENSG00000230970.4,transcript-rna-seq,100874044,HHATL-AS1,ENSG00000230970,N,N,N,N,N
ENSG00000267534.4,transcript-rna-seq,9294,S1PR2,ENSG00000267534,N,N,N,N,N
ENSG00000188215.10,transcript-rna-seq,123879,DCUN1D3,ENSG00000188215,N,N,N,Y,Y
ENSG00000152049.7,transcript-rna-seq,23704,KCNE4,ENSG00000152049,N,N,N,N,N
ENSG00000131979.20,transcript-rna-seq,2643,GCH1,ENSG00000131979,N,N,N,N,N
ENSG00000187140.6,transcript-rna-seq,27022,FOXD3,ENSG00000187140,N,N,N,N,N
ENSG00000179820.16,transcript-rna-seq,91663,MYADM,ENSG00000179820,N,N,N,Y,Y
ENSG00000119523.10,transcript-rna-seq,85365,ALG2,ENSG00000119523,Y,N,N,Y,Y
ENSG00000143622.11,transcript-rna-seq,6016,RIT1,ENSG00000143622,N,N,N,Y,Y
ENSG00000106366.9,transcript-rna-seq,5054,SERPINE1,ENSG00000106366,N,Y,N,Y,Y
ENSG00000169242.12,transcript-rna-seq,1942,EFNA1,ENSG00000169242,N,N,N,N,N
ENSG00000088986.11,transcript-rna-seq,8655,DYNLL1,ENSG00000088986,N,N,N,N,N
ENSG00000109046.15,transcript-rna-seq,26118,WSB1,ENSG00000109046,Y,N,N,Y,Y
ENSG00000104689.10,transcript-rna-seq,8797,TNFRSF10A,ENSG00000104689,N,N,N,N,N
ENSG00000225880.5,transcript-rna-seq,79854,LINC00115,ENSG00000225880,N,N,N,N,N
ENSG00000248489.3,transcript-rna-seq,100289230,CHD1-DT,ENSG00000248489,N,N,N,N,N
ENSG00000180884.10,transcript-rna-seq,126375,ZNF792,ENSG00000180884,Y,N,N,N,Y
ENSG00000009724.17,transcript-rna-seq,10747,MASP2,ENSG00000009724,N,N,N,N,N
ENSG00000116754.14,transcript-rna-seq,9295,SRSF11,ENSG00000116754,Y,N,N,N,Y
ENSG00000124762.14,transcript-rna-seq,1026,CDKN1A,ENSG00000124762,N,N,N,Y,Y
ENSG00000168398.7,transcript-rna-seq,624,BDKRB2,ENSG00000168398,N,N,N,N,N
ENSG00000125812.16,transcript-rna-seq,64412,GZF1,ENSG00000125812,Y,Y,N,Y,Y
ENSG00000170345.10,transcript-rna-seq,2353,FOS,ENSG00000170345,N,N,N,N,N
ENSG00000213203.3,transcript-rna-seq,170575,GIMAP1,ENSG00000213203,N,N,N,Y,Y
ENSG00000067082.15,transcript-rna-seq,1316,KLF6,ENSG00000067082,N,Y,N,Y,Y
ENSG00000163874.11,transcript-rna-seq,80149,ZC3H12A,ENSG00000163874,N,N,N,Y,Y
ENSG00000099860.9,transcript-rna-seq,4616,GADD45B,ENSG00000099860,N,N,N,Y,Y
ENSG00000116001.17,transcript-rna-seq,7072,TIA1,ENSG00000116001,Y,N,N,N,Y
ENSG00000197182.15,transcript-rna-seq,400931,MIRLET7BHG,ENSG00000197182,N,N,N,N,N
ENSG00000165782.11,transcript-rna-seq,90809,PIP4P1,ENSG00000165782,N,Y,N,Y,Y
ENSG00000085644.14,transcript-rna-seq,7760,ZNF213,ENSG00000085644,N,N,N,N,N
ENSG00000189266.13,transcript-rna-seq,55629,PNRC2,ENSG00000189266,N,N,N,N,N
ENSG00000197019.5,transcript-rna-seq,29950,SERTAD1,ENSG00000197019,Y,N,N,N,Y
ENSG00000163909.8,transcript-rna-seq,26508,HEYL,ENSG00000163909,N,N,N,N,N
ENSG00000078401.7,transcript-rna-seq,1906,EDN1,ENSG00000078401,N,Y,N,Y,Y
ENSG00000099337.5,transcript-rna-seq,9424,KCNK6,ENSG00000099337,Y,N,N,Y,Y
ENSG00000162772.17,transcript-rna-seq,467,ATF3,ENSG00000162772,N,N,N,Y,Y
ENSG00000204389.10,transcript-rna-seq,3303,HSPA1A,ENSG00000204389,N,N,N,N,N
ENSG00000168264.11,transcript-rna-seq,359948,IRF2BP2,ENSG00000168264,Y,Y,N,Y,Y
ENSG00000130307.12,transcript-rna-seq,83878,USHBP1,ENSG00000130307,Y,Y,N,Y,Y
ENSG00000108691.9,transcript-rna-seq,6347,CCL2,ENSG00000108691,N,N,N,Y,Y
ENSG00000228649.10,transcript-rna-seq,109729180,SNHG26,ENSG00000228649,N,N,N,N,N
ENSG00000100221.11,transcript-rna-seq,9929,JOSD1,ENSG00000100221,N,Y,N,Y,Y
ENSG00000076604.16,transcript-rna-seq,9618,TRAF4,ENSG00000076604,Y,N,N,N,Y
ENSG00000204390.10,transcript-rna-seq,3305,HSPA1L,ENSG00000204390,N,N,N,N,N
ENSG00000279331.1,transcript-rna-seq,55472,RBM12B-AS1,ENSG00000279331,N,N,N,N,N
ENSG00000087448.11,transcript-rna-seq,57542,KLHL42,ENSG00000087448,Y,N,N,N,Y
ENSG00000101665.10,transcript-rna-seq,4092,SMAD7,ENSG00000101665,Y,N,N,N,Y
ENSG00000118707.11,transcript-rna-seq,60436,TGIF2,ENSG00000118707,N,N,N,N,N
ENSG00000149798.5,transcript-rna-seq,10435,CDC42EP2,ENSG00000149798,N,N,N,N,N
ENSG00000124019.10,transcript-rna-seq,79843,FAM124B,ENSG00000124019,N,Y,N,Y,Y
ENSG00000130052.14,transcript-rna-seq,9754,STARD8,ENSG00000130052,N,N,N,N,N
ENSG00000181788.4,transcript-rna-seq,6478,SIAH2,ENSG00000181788,N,N,N,Y,Y
ENSG00000163659.13,transcript-rna-seq,25976,TIPARP,ENSG00000163659,Y,N,N,Y,Y
ENSG00000166886.13,transcript-rna-seq,4665,NAB2,ENSG00000166886,N,Y,N,Y,Y
ENSG00000162601.11,transcript-rna-seq,114803,MYSM1,ENSG00000162601,Y,N,N,Y,Y
ENSG00000197622.13,transcript-rna-seq,56882,CDC42SE1,ENSG00000197622,N,N,N,N,N
ENSG00000142867.14,transcript-rna-seq,8915,BCL10,ENSG00000142867,N,N,N,Y,Y
ENSG00000118263.15,transcript-rna-seq,8609,KLF7,ENSG00000118263,N,N,N,Y,Y
ENSG00000171488.15,transcript-rna-seq,84230,LRRC8C,ENSG00000171488,N,N,N,N,N
ENSG00000160051.12,transcript-rna-seq,55721,IQCC,ENSG00000160051,N,N,N,N,N
ENSG00000130522.6,transcript-rna-seq,3727,JUND,ENSG00000130522,N,N,N,Y,Y
ENSG00000163602.12,transcript-rna-seq,23429,RYBP,ENSG00000163602,N,N,N,N,N
ENSG00000121858.11,transcript-rna-seq,8743,TNFSF10,ENSG00000121858,N,N,N,N,N
ENSG00000100288.20,transcript-rna-seq,1120,CHKB,ENSG00000100288,Y,N,N,N,Y
ENSG00000179094.16,transcript-rna-seq,5187,PER1,ENSG00000179094,N,N,N,Y,Y
ENSG00000182903.16,transcript-rna-seq,170960,ZNF721,ENSG00000182903,Y,N,N,N,Y
ENSG00000149573.9,transcript-rna-seq,10205,MPZL2,ENSG00000149573,N,N,N,N,N
ENSG00000103044.11,transcript-rna-seq,3038,HAS3,ENSG00000103044,N,N,N,Y,Y
ENSG00000225434.4,transcript-rna-seq,100507540,LINC01504,ENSG00000225434,N,N,N,N,N
ENSG00000144136.11,transcript-rna-seq,6574,SLC20A1,ENSG00000144136,Y,N,N,Y,Y
ENSG00000122482.22,transcript-rna-seq,84146,ZNF644,ENSG00000122482,Y,N,N,Y,Y
ENSG00000130589.16,transcript-rna-seq,85441,HELZ2,ENSG00000130589,N,N,N,N,N
ENSG00000167565.13,transcript-rna-seq,29946,SERTAD3,ENSG00000167565,Y,N,N,N,Y
ENSG00000142178.9,transcript-rna-seq,150094,SIK1,ENSG00000142178,N,N,N,N,N
ENSG00000274925.1,transcript-rna-seq,NA,ZKSCAN2-DT,ENSG00000274925,N,N,N,N,N
ENSG00000131016.17,transcript-rna-seq,9590,AKAP12,ENSG00000131016,N,N,N,Y,Y
ENSG00000109079.10,transcript-rna-seq,7126,TNFAIP1,ENSG00000109079,N,N,N,N,N
ENSG00000177352.10,transcript-rna-seq,64925,CCDC71,ENSG00000177352,N,N,N,Y,Y
ENSG00000099625.14,transcript-rna-seq,255057,CBARP,ENSG00000099625,N,N,N,Y,Y
ENSG00000174365.21,transcript-rna-seq,128439,SNHG11,ENSG00000174365,Y,N,N,N,Y
ENSG00000137193.14,transcript-rna-seq,5292,PIM1,ENSG00000137193,Y,N,N,N,Y
ENSG00000159840.16,transcript-rna-seq,7791,ZYX,ENSG00000159840,N,N,N,Y,Y
ENSG00000148339.13,transcript-rna-seq,114789,SLC25A25,ENSG00000148339,N,N,N,N,N
ENSG00000117036.12,transcript-rna-seq,2117,ETV3,ENSG00000117036,Y,N,N,N,Y
ENSG00000160570.14,transcript-rna-seq,162989,DEDD2,ENSG00000160570,Y,N,N,Y,Y
ENSG00000128245.15,transcript-rna-seq,7533,YWHAH,ENSG00000128245,N,N,N,N,N
ENSG00000198840.2,transcript-rna-seq,4537,MT-ND3,ENSG00000198840,N,N,N,N,N
ENSG00000223959.9,transcript-rna-seq,172,AFG3L1P,ENSG00000223959,Y,N,N,N,Y
ENSG00000179348.12,transcript-rna-seq,2624,GATA2,ENSG00000179348,N,N,N,N,N
ENSG00000155760.3,transcript-rna-seq,8324,FZD7,ENSG00000155760,N,N,N,N,N
ENSG00000185650.10,transcript-rna-seq,677,ZFP36L1,ENSG00000185650,N,N,N,Y,Y
ENSG00000166398.14,transcript-rna-seq,9710,GARRE1,ENSG00000166398,N,N,N,N,N
ENSG00000166148.4,transcript-rna-seq,552,AVPR1A,ENSG00000166148,N,N,N,N,N
ENSG00000165494.12,transcript-rna-seq,51585,PCF11,ENSG00000165494,Y,N,N,N,Y
ENSG00000059588.10,transcript-rna-seq,6894,TARBP1,ENSG00000059588,N,N,N,N,N
ENSG00000065135.12,transcript-rna-seq,2773,GNAI3,ENSG00000065135,Y,N,N,Y,Y
ENSG00000179403.12,transcript-rna-seq,64856,VWA1,ENSG00000179403,N,N,N,N,N
ENSG00000120093.12,transcript-rna-seq,3213,HOXB3,ENSG00000120093,Y,N,N,Y,Y
ENSG00000106560.11,transcript-rna-seq,26157,GIMAP2,ENSG00000106560,N,N,N,N,N
ENSG00000198805.12,transcript-rna-seq,4860,PNP,ENSG00000198805,N,N,N,Y,Y
ENSG00000117461.15,transcript-rna-seq,8503,PIK3R3,ENSG00000117461,N,N,N,Y,Y
ENSG00000167173.19,transcript-rna-seq,56905,C15orf39,ENSG00000167173,Y,N,N,Y,Y
ENSG00000165997.5,transcript-rna-seq,221079,ARL5B,ENSG00000165997,Y,N,N,Y,Y
ENSG00000075624.17,transcript-rna-seq,60,ACTB,ENSG00000075624,N,N,N,N,N
ENSG00000154640.15,transcript-rna-seq,10950,BTG3,ENSG00000154640,Y,N,N,N,Y
ENSG00000023445.16,transcript-rna-seq,330,BIRC3,ENSG00000023445,N,N,N,N,N
ENSG00000059728.11,transcript-rna-seq,4084,MXD1,ENSG00000059728,Y,N,N,N,Y
ENSG00000116044.16,transcript-rna-seq,4780,NFE2L2,ENSG00000116044,N,N,N,Y,Y
ENSG00000101367.9,transcript-rna-seq,22919,MAPRE1,ENSG00000101367,Y,N,N,N,Y
ENSG00000146112.12,transcript-rna-seq,170954,PPP1R18,ENSG00000146112,N,Y,N,Y,Y
ENSG00000101187.16,transcript-rna-seq,28231,SLCO4A1,ENSG00000101187,N,N,N,Y,Y
ENSG00000140406.4,transcript-rna-seq,59274,TLNRD1,ENSG00000140406,N,N,N,Y,Y
ENSG00000178502.6,transcript-rna-seq,55175,KLHL11,ENSG00000178502,Y,N,N,N,Y
ENSG00000161265.15,transcript-rna-seq,199746,U2AF1L4,ENSG00000161265,N,N,N,N,N
ENSG00000248019.3,transcript-rna-seq,285512,FAM13A-AS1,ENSG00000248019,N,N,N,N,N
ENSG00000177410.13,transcript-rna-seq,441951,ZFAS1,ENSG00000177410,Y,N,N,N,Y
ENSG00000135604.10,transcript-rna-seq,8676,STX11,ENSG00000135604,N,N,N,N,N
ENSG00000251595.7,transcript-rna-seq,79963,ABCA11P,ENSG00000251595,N,N,N,N,N
ENSG00000266777.1,transcript-rna-seq,NA,SH3GL1P1,ENSG00000266777,N,N,N,N,N
ENSG00000204256.14,transcript-rna-seq,6046,BRD2,ENSG00000204256,Y,N,N,Y,Y
ENSG00000105287.13,transcript-rna-seq,25865,PRKD2,ENSG00000105287,N,N,N,N,N
ENSG00000103067.14,transcript-rna-seq,80004,ESRP2,ENSG00000103067,N,Y,N,Y,Y
ENSG00000162231.14,transcript-rna-seq,10482,NXF1,ENSG00000162231,N,N,N,N,N
ENSG00000174429.4,transcript-rna-seq,137735,ABRA,ENSG00000174429,N,N,N,Y,Y
ENSG00000133574.10,transcript-rna-seq,55303,GIMAP4,ENSG00000133574,N,N,N,Y,Y
ENSG00000053438.11,transcript-rna-seq,4826,NNAT,ENSG00000053438,N,N,N,N,N
ENSG00000265666.1,transcript-rna-seq,101929693,RARA-AS1,ENSG00000265666,N,N,N,N,N
ENSG00000168310.11,transcript-rna-seq,3660,IRF2,ENSG00000168310,N,N,N,Y,Y
ENSG00000234678.2,transcript-rna-seq,NA,ELF3-AS1,ENSG00000234678,N,N,N,N,N
ENSG00000187479.8,transcript-rna-seq,387763,C11orf96,ENSG00000187479,N,N,N,N,N
ENSG00000159176.14,transcript-rna-seq,1465,CSRP1,ENSG00000159176,N,N,N,N,N
ENSG00000272636.4,transcript-rna-seq,8447,DOC2B,ENSG00000272636,N,N,N,N,N
ENSG00000150048.10,transcript-rna-seq,51267,CLEC1A,ENSG00000150048,N,N,N,N,N
ENSG00000262097.3,transcript-rna-seq,NA,LINC02185,ENSG00000262097,N,N,N,N,N
ENSG00000117000.9,transcript-rna-seq,6018,RLF,ENSG00000117000,Y,N,N,N,Y
ENSG00000183010.17,transcript-rna-seq,5831,PYCR1,ENSG00000183010,N,N,N,N,N
ENSG00000168092.14,transcript-rna-seq,5049,PAFAH1B2,ENSG00000168092,N,N,N,N,N
ENSG00000233237.8,transcript-rna-seq,79940,LINC00472,ENSG00000233237,N,N,N,N,N
ENSG00000133874.2,transcript-rna-seq,79845,RNF122,ENSG00000133874,N,N,N,Y,Y
ENSG00000148175.13,transcript-rna-seq,2040,STOM,ENSG00000148175,N,N,N,Y,Y
ENSG00000130640.15,transcript-rna-seq,10844,TUBGCP2,ENSG00000130640,N,N,N,Y,Y
ENSG00000109436.8,transcript-rna-seq,23158,TBC1D9,ENSG00000109436,N,Y,N,Y,Y
ENSG00000107485.18,transcript-rna-seq,2625,GATA3,ENSG00000107485,N,N,N,Y,Y
ENSG00000147065.17,transcript-rna-seq,4478,MSN,ENSG00000147065,N,N,N,Y,Y
ENSG00000120949.15,transcript-rna-seq,943,TNFRSF8,ENSG00000120949,N,N,N,N,N
ENSG00000206337.12,transcript-rna-seq,10866,HCP5,ENSG00000206337,N,N,N,N,N
ENSG00000120742.11,transcript-rna-seq,27230,SERP1,ENSG00000120742,N,N,N,N,N
ENSG00000188290.11,transcript-rna-seq,57801,HES4,ENSG00000188290,Y,N,N,Y,Y
ENSG00000170542.6,transcript-rna-seq,5272,SERPINB9,ENSG00000170542,N,N,N,Y,Y
ENSG00000067048.17,transcript-rna-seq,8653,DDX3Y,ENSG00000067048,N,N,N,N,N
ENSG00000090339.9,transcript-rna-seq,3383,ICAM1,ENSG00000090339,N,Y,N,Y,Y
ENSG00000143079.15,transcript-rna-seq,55917,CTTNBP2NL,ENSG00000143079,N,N,N,Y,Y
ENSG00000198712.1,transcript-rna-seq,4513,MT-CO2,ENSG00000198712,N,N,N,N,N
ENSG00000125878.7,transcript-rna-seq,6939,TCF15,ENSG00000125878,N,N,N,N,N
ENSG00000117479.15,transcript-rna-seq,10560,SLC19A2,ENSG00000117479,N,N,N,N,N
ENSG00000159208.16,transcript-rna-seq,148523,CIART,ENSG00000159208,N,N,N,Y,Y
ENSG00000249709.8,transcript-rna-seq,163050,ZNF564,ENSG00000249709,Y,N,N,N,Y
ENSG00000198695.2,transcript-rna-seq,4541,MT-ND6,ENSG00000198695,N,N,N,N,N
ENSG00000162616.9,transcript-rna-seq,11080,DNAJB4,ENSG00000162616,N,N,N,Y,Y
