"Cluster","interaction","modality","name","regulator_id","selected","shared interaction","shared name","site","target_id","tissue","Weight"
"1","regulates","RE","Creatine (regulates) BICRA",,"false","regulates","Creatine (regulates) BICRA",,"ENSG00000063169.12","blood.muscle","0.110497691370734"
"1","regulates","RE","Creatine (regulates) CTSA",,"false","regulates","Creatine (regulates) CTSA",,"ENSG00000064601.21","blood.muscle","0.154829151707304"
"1","regulates","RE","Creatine (regulates) OAT",,"false","regulates","Creatine (regulates) OAT",,"ENSG00000065154.12","blood.muscle","0.185038467463131"
"1","regulates","RE","Creatine (regulates) PKN2",,"false","regulates","Creatine (regulates) PKN2",,"ENSG00000065243.20","blood.muscle","0.257182561295608"
"1","regulates","RE","Creatine (regulates) NEO1",,"false","regulates","Creatine (regulates) NEO1",,"ENSG00000067141.17","blood.muscle","0.221749261638603"
"1","regulates","RE","Creatine (regulates) NUP133",,"false","regulates","Creatine (regulates) NUP133",,"ENSG00000069248.12","blood.muscle","0.264269550877632"
"1","regulates","RE","Creatine (regulates) NUCKS1",,"false","regulates","Creatine (regulates) NUCKS1",,"ENSG00000069275.13","blood.muscle","0.21149436651137"
"1","regulates","RE","Creatine (regulates) ABCC9",,"false","regulates","Creatine (regulates) ABCC9",,"ENSG00000069431.14","blood.muscle","0.185996078308487"
"1","regulates","RE","Creatine (regulates) RORA",,"false","regulates","Creatine (regulates) RORA",,"ENSG00000069667.16","blood.muscle","0.114755809018696"
"1","regulates","RE","Creatine (regulates) TGFBR3",,"false","regulates","Creatine (regulates) TGFBR3",,"ENSG00000069702.11","blood.muscle","0.119758526562326"
"1","regulates","RE","Creatine (regulates) NCK2",,"false","regulates","Creatine (regulates) NCK2",,"ENSG00000071051.14","blood.muscle","0.153277459538776"
"1","regulates","RE","Creatine (regulates) ZFYVE26",,"false","regulates","Creatine (regulates) ZFYVE26",,"ENSG00000072121.17","blood.muscle","0.127920184781985"
"1","regulates","RE","Creatine (regulates) MCM2",,"false","regulates","Creatine (regulates) MCM2",,"ENSG00000073111.14","blood.muscle","0.130466802714796"
"1","regulates","RE","Creatine (regulates) SEC31B",,"false","regulates","Creatine (regulates) SEC31B",,"ENSG00000075826.17","blood.muscle","0.123699054492674"
"1","regulates","RE","Creatine (regulates) NT5C2",,"false","regulates","Creatine (regulates) NT5C2",,"ENSG00000076685.19","blood.muscle","0.104183021740484"
"1","regulates","RE","Creatine (regulates) TOP2B",,"false","regulates","Creatine (regulates) TOP2B",,"ENSG00000077097.16","blood.muscle","0.110497788929087"
"1","regulates","RE","Creatine (regulates) USP33",,"false","regulates","Creatine (regulates) USP33",,"ENSG00000077254.14","blood.muscle","0.36348424590377"
"1","regulates","RE","Creatine (regulates) AMPH",,"false","regulates","Creatine (regulates) AMPH",,"ENSG00000078053.17","blood.muscle","0.137018960189166"
"1","regulates","RE","Creatine (regulates) ADCY2",,"false","regulates","Creatine (regulates) ADCY2",,"ENSG00000078295.17","blood.muscle","0.223858999511364"
"1","regulates","RE","Creatine (regulates) PPP2R5C",,"false","regulates","Creatine (regulates) PPP2R5C",,"ENSG00000078304.19","blood.muscle","0.22264446702024"
"1","regulates","RE","Creatine (regulates) RBFOX1",,"false","regulates","Creatine (regulates) RBFOX1",,"ENSG00000078328.23","blood.muscle","0.12465529678487"
"1","regulates","RE","Creatine (regulates) CNOT4",,"false","regulates","Creatine (regulates) CNOT4",,"ENSG00000080802.20","blood.muscle","0.100261955931998"
"1","regulates","RE","Creatine (regulates) COL4A4",,"false","regulates","Creatine (regulates) COL4A4",,"ENSG00000081052.14","blood.muscle","0.116022885017726"
"1","regulates","RE","Creatine (regulates) PKP1",,"false","regulates","Creatine (regulates) PKP1",,"ENSG00000081277.13","blood.muscle","0.126983334502053"
"1","regulates","RE","Creatine (regulates) NFE2L1",,"false","regulates","Creatine (regulates) NFE2L1",,"ENSG00000082641.16","blood.muscle","0.114114587184432"
"1","regulates","RE","Creatine (regulates) ULK2",,"false","regulates","Creatine (regulates) ULK2",,"ENSG00000083290.20","blood.muscle","0.151473200179992"
"1","regulates","RE","Creatine (regulates) APLP2",,"false","regulates","Creatine (regulates) APLP2",,"ENSG00000084234.18","blood.muscle","0.124360592617671"
"1","regulates","RE","Creatine (regulates) HADHA",,"false","regulates","Creatine (regulates) HADHA",,"ENSG00000084754.12","blood.muscle","0.112837450434434"
"1","regulates","RE","Creatine (regulates) ADD1",,"false","regulates","Creatine (regulates) ADD1",,"ENSG00000087274.19","blood.muscle","0.158778964694822"
"1","regulates","RE","Creatine (regulates) AAMDC",,"false","regulates","Creatine (regulates) AAMDC",,"ENSG00000087884.15","blood.muscle","0.125167368196381"
"1","regulates","RE","Creatine (regulates) TPX2",,"false","regulates","Creatine (regulates) TPX2",,"ENSG00000088325.16","blood.muscle","0.241919816591162"
"1","regulates","RE","Creatine (regulates) MAVS",,"false","regulates","Creatine (regulates) MAVS",,"ENSG00000088888.18","blood.muscle","0.234753641597751"
"1","regulates","RE","Creatine (regulates) CFAP61",,"false","regulates","Creatine (regulates) CFAP61",,"ENSG00000089101.19","blood.muscle","0.133865237595491"
"1","regulates","RE","Creatine (regulates) ANKRD24",,"false","regulates","Creatine (regulates) ANKRD24",,"ENSG00000089847.13","blood.muscle","0.373200530323184"
"1","regulates","RE","Creatine (regulates) RCOR1",,"false","regulates","Creatine (regulates) RCOR1",,"ENSG00000089902.10","blood.muscle","0.305524355099554"
"1","regulates","RE","Creatine (regulates) YPEL3",,"false","regulates","Creatine (regulates) YPEL3",,"ENSG00000090238.12","blood.muscle","0.11351862207993"
"1","regulates","RE","Creatine (regulates) GLG1",,"false","regulates","Creatine (regulates) GLG1",,"ENSG00000090863.12","blood.muscle","0.129023328599259"
"1","regulates","RE","Creatine (regulates) DTX2",,"false","regulates","Creatine (regulates) DTX2",,"ENSG00000091073.20","blood.muscle","0.154782033047978"
"1","regulates","RE","Creatine (regulates) WAC",,"false","regulates","Creatine (regulates) WAC",,"ENSG00000095787.24","blood.muscle","0.105349422724569"
"1","regulates","RE","Creatine (regulates) IFT74",,"false","regulates","Creatine (regulates) IFT74",,"ENSG00000096872.17","blood.muscle","0.157409383346019"
"1","regulates","RE","Creatine (regulates) SH3GLB1",,"false","regulates","Creatine (regulates) SH3GLB1",,"ENSG00000097033.14","blood.muscle","0.20208949358276"
"1","regulates","RE","Creatine (regulates) MAST3",,"false","regulates","Creatine (regulates) MAST3",,"ENSG00000099308.11","blood.muscle","0.316519478324564"
"1","regulates","RE","Creatine (regulates) CRKL",,"false","regulates","Creatine (regulates) CRKL",,"ENSG00000099942.13","blood.muscle","0.115169831724887"
"1","regulates","RE","Creatine (regulates) SNRPD3",,"false","regulates","Creatine (regulates) SNRPD3",,"ENSG00000100028.12","blood.muscle","0.196065723581207"
"1","regulates","RE","Creatine (regulates) TTC28",,"false","regulates","Creatine (regulates) TTC28",,"ENSG00000100154.15","blood.muscle","0.103688751647451"
"1","regulates","RE","Creatine (regulates) TOM1",,"false","regulates","Creatine (regulates) TOM1",,"ENSG00000100284.22","blood.muscle","0.245664066401452"
"1","regulates","RE","Creatine (regulates) FAM118A",,"false","regulates","Creatine (regulates) FAM118A",,"ENSG00000100376.12","blood.muscle","0.129554589632675"
"1","regulates","RE","Creatine (regulates) SOS2",,"false","regulates","Creatine (regulates) SOS2",,"ENSG00000100485.12","blood.muscle","0.337498493693132"
"1","regulates","RE","Creatine (regulates) PPM1A",,"false","regulates","Creatine (regulates) PPM1A",,"ENSG00000100614.18","blood.muscle","0.141638351449806"
"1","regulates","RE","Creatine (regulates) RPS6KA5",,"false","regulates","Creatine (regulates) RPS6KA5",,"ENSG00000100784.12","blood.muscle","0.238479323932804"
"1","regulates","RE","Creatine (regulates) DHX35",,"false","regulates","Creatine (regulates) DHX35",,"ENSG00000101452.15","blood.muscle","0.169187134181394"
"1","regulates","RE","Creatine (regulates) SMCHD1",,"false","regulates","Creatine (regulates) SMCHD1",,"ENSG00000101596.17","blood.muscle","0.512938612786684"
"1","regulates","RE","Creatine (regulates) POLA1",,"false","regulates","Creatine (regulates) POLA1",,"ENSG00000101868.13","blood.muscle","0.225509982911079"
"1","regulates","RE","Creatine (regulates) ATP1B4",,"false","regulates","Creatine (regulates) ATP1B4",,"ENSG00000101892.12","blood.muscle","0.283251145558474"
"1","regulates","RE","Creatine (regulates) SEC14L5",,"false","regulates","Creatine (regulates) SEC14L5",,"ENSG00000103184.12","blood.muscle","0.267843695658379"
"1","regulates","RE","Creatine (regulates) CLUAP1",,"false","regulates","Creatine (regulates) CLUAP1",,"ENSG00000103351.13","blood.muscle","0.130783517534638"
"1","regulates","RE","Creatine (regulates) UBFD1",,"false","regulates","Creatine (regulates) UBFD1",,"ENSG00000103353.16","blood.muscle","0.160495839896195"
"1","regulates","RE","Creatine (regulates) NBN",,"false","regulates","Creatine (regulates) NBN",,"ENSG00000104320.14","blood.muscle","0.15933771973577"
"1","regulates","RE","Creatine (regulates) NCALD",,"false","regulates","Creatine (regulates) NCALD",,"ENSG00000104490.18","blood.muscle","0.434268415975108"
"1","regulates","RE","Creatine (regulates) SNRNP70",,"false","regulates","Creatine (regulates) SNRNP70",,"ENSG00000104852.15","blood.muscle","0.187066258069092"
"1","regulates","RE","Creatine (regulates) TBC1D17",,"false","regulates","Creatine (regulates) TBC1D17",,"ENSG00000104946.14","blood.muscle","0.231056214487299"
"1","regulates","RE","Creatine (regulates) MED25",,"false","regulates","Creatine (regulates) MED25",,"ENSG00000104973.19","blood.muscle","0.105147111627638"
"1","regulates","RE","Creatine (regulates) BABAM1",,"false","regulates","Creatine (regulates) BABAM1",,"ENSG00000105393.16","blood.muscle","0.12262969973991"
"1","regulates","RE","Creatine (regulates) KDELR1",,"false","regulates","Creatine (regulates) KDELR1",,"ENSG00000105438.9","blood.muscle","0.102241522704748"
"1","regulates","RE","Creatine (regulates) BCAT2",,"false","regulates","Creatine (regulates) BCAT2",,"ENSG00000105552.15","blood.muscle","0.229565296273036"
"1","regulates","RE","Creatine (regulates) HPN",,"false","regulates","Creatine (regulates) HPN",,"ENSG00000105707.15","blood.muscle","0.151572030749763"
"1","regulates","RE","Creatine (regulates) SCN1B",,"false","regulates","Creatine (regulates) SCN1B",,"ENSG00000105711.14","blood.muscle","0.131254462647128"
"1","regulates","RE","Creatine (regulates) PALS2",,"false","regulates","Creatine (regulates) PALS2",,"ENSG00000105926.16","blood.muscle","0.174812129020561"
"1","regulates","RE","Creatine (regulates) CYP3A5",,"false","regulates","Creatine (regulates) CYP3A5",,"ENSG00000106258.15","blood.muscle","0.132594250328339"
"1","regulates","RE","Creatine (regulates) UBE2R2",,"false","regulates","Creatine (regulates) UBE2R2",,"ENSG00000107341.5","blood.muscle","0.263740146196422"
"1","regulates","RE","Creatine (regulates) SORCS1",,"false","regulates","Creatine (regulates) SORCS1",,"ENSG00000108018.16","blood.muscle","0.159769440501922"
"1","regulates","RE","Creatine (regulates) CSF3",,"false","regulates","Creatine (regulates) CSF3",,"ENSG00000108342.13","blood.muscle","0.192352768408731"
"1","regulates","RE","Creatine (regulates) SUPT6H",,"false","regulates","Creatine (regulates) SUPT6H",,"ENSG00000109111.15","blood.muscle","0.422517769774265"
"1","regulates","RE","Creatine (regulates) ANAPC15",,"false","regulates","Creatine (regulates) ANAPC15",,"ENSG00000110200.9","blood.muscle","0.19406831229573"
"1","regulates","RE","Creatine (regulates) BCL7A",,"false","regulates","Creatine (regulates) BCL7A",,"ENSG00000110987.9","blood.muscle","0.107593927201551"
"1","regulates","RE","Creatine (regulates) ALDH2",,"false","regulates","Creatine (regulates) ALDH2",,"ENSG00000111275.13","blood.muscle","0.255179625448116"
"1","regulates","RE","Creatine (regulates) SERINC1",,"false","regulates","Creatine (regulates) SERINC1",,"ENSG00000111897.7","blood.muscle","0.122994584939084"
"1","regulates","RE","Creatine (regulates) ALDH5A1",,"false","regulates","Creatine (regulates) ALDH5A1",,"ENSG00000112294.14","blood.muscle","0.129786921917531"
"1","regulates","RE","Creatine (regulates) ERBIN",,"false","regulates","Creatine (regulates) ERBIN",,"ENSG00000112851.15","blood.muscle","0.176966333450899"
"1","regulates","RE","Creatine (regulates) GHR",,"false","regulates","Creatine (regulates) GHR",,"ENSG00000112964.14","blood.muscle","0.118326004253498"
"1","regulates","RE","Creatine (regulates) KAT2B",,"false","regulates","Creatine (regulates) KAT2B",,"ENSG00000114166.8","blood.muscle","0.171149336232539"
"1","regulates","RE","Creatine (regulates) CISH",,"false","regulates","Creatine (regulates) CISH",,"ENSG00000114737.16","blood.muscle","0.17807853831845"
"1","regulates","RE","Creatine (regulates) WDR48",,"false","regulates","Creatine (regulates) WDR48",,"ENSG00000114742.14","blood.muscle","0.110083130331159"
"1","regulates","RE","Creatine (regulates) IGFBP5",,"false","regulates","Creatine (regulates) IGFBP5",,"ENSG00000115461.5","blood.muscle","0.187508723190022"
"1","regulates","RE","Creatine (regulates) SF3B1",,"false","regulates","Creatine (regulates) SF3B1",,"ENSG00000115524.17","blood.muscle","0.190341587065315"
"1","regulates","RE","Creatine (regulates) CHMP3",,"false","regulates","Creatine (regulates) CHMP3",,"ENSG00000115561.16","blood.muscle","0.183624304351461"
"2","regulates","EE","Creatine (regulates) PRKAG3",,"false","regulates","Creatine (regulates) PRKAG3",,"ENSG00000115592.11","blood.muscle","0.182017448827119"
"1","regulates","RE","Creatine (regulates) MSH6",,"false","regulates","Creatine (regulates) MSH6",,"ENSG00000116062.18","blood.muscle","0.303694910898363"
"1","regulates","RE","Creatine (regulates) RHOU",,"false","regulates","Creatine (regulates) RHOU",,"ENSG00000116574.6","blood.muscle","0.158597697872326"
"1","regulates","RE","Creatine (regulates) SLC35D1",,"false","regulates","Creatine (regulates) SLC35D1",,"ENSG00000116704.8","blood.muscle","0.365021310032084"
"1","regulates","RE","Creatine (regulates) PRPF3",,"false","regulates","Creatine (regulates) PRPF3",,"ENSG00000117360.13","blood.muscle","0.116852986466797"
"2","regulates","EE","Creatine (regulates) DR1",,"false","regulates","Creatine (regulates) DR1",,"ENSG00000117505.13","blood.muscle","0.222612428940272"
"1","regulates","RE","Creatine (regulates) AKAP7",,"false","regulates","Creatine (regulates) AKAP7",,"ENSG00000118507.18","blood.muscle","0.116628743901475"
"1","regulates","RE","Creatine (regulates) FBXL5",,"false","regulates","Creatine (regulates) FBXL5",,"ENSG00000118564.15","blood.muscle","0.197646437332895"
"2","regulates","EE","Creatine (regulates) MED28",,"false","regulates","Creatine (regulates) MED28",,"ENSG00000118579.13","blood.muscle","0.168248756142221"
"1","regulates","RE","Creatine (regulates) KLF9",,"false","regulates","Creatine (regulates) KLF9",,"ENSG00000119138.5","blood.muscle","0.10235030223041"
"1","regulates","RE","Creatine (regulates) HSDL2",,"false","regulates","Creatine (regulates) HSDL2",,"ENSG00000119471.15","blood.muscle","0.222078025708311"
"1","regulates","RE","Creatine (regulates) ACOT2",,"false","regulates","Creatine (regulates) ACOT2",,"ENSG00000119673.16","blood.muscle","0.155737961399116"
"1","regulates","RE","Creatine (regulates) ALDH6A1",,"false","regulates","Creatine (regulates) ALDH6A1",,"ENSG00000119711.13","blood.muscle","0.144774330100178"
"1","regulates","RE","Creatine (regulates) YPEL5",,"false","regulates","Creatine (regulates) YPEL5",,"ENSG00000119801.13","blood.muscle","0.278396374633779"
"1","regulates","RE","Creatine (regulates) MXI1",,"false","regulates","Creatine (regulates) MXI1",,"ENSG00000119950.21","blood.muscle","0.138024223236025"
"1","regulates","RE","Creatine (regulates) TMPO",,"false","regulates","Creatine (regulates) TMPO",,"ENSG00000120802.14","blood.muscle","0.131522337773471"
"1","regulates","RE","Creatine (regulates) COIL",,"false","regulates","Creatine (regulates) COIL",,"ENSG00000121058.5","blood.muscle","0.137461801501608"
"1","regulates","RE","Creatine (regulates) POPDC2",,"false","regulates","Creatine (regulates) POPDC2",,"ENSG00000121577.14","blood.muscle","0.140251576242389"
"1","regulates","RE","Creatine (regulates) ZC3H7A",,"false","regulates","Creatine (regulates) ZC3H7A",,"ENSG00000122299.12","blood.muscle","0.110564752899399"
"1","regulates","RE","Creatine (regulates) SEPTIN7",,"false","regulates","Creatine (regulates) SEPTIN7",,"ENSG00000122545.21","blood.muscle","0.19014839516422"
"1","regulates","RE","Creatine (regulates) EEPD1",,"false","regulates","Creatine (regulates) EEPD1",,"ENSG00000122547.11","blood.muscle","0.151029287135069"
"1","regulates","RE","Creatine (regulates) HERPUD2",,"false","regulates","Creatine (regulates) HERPUD2",,"ENSG00000122557.11","blood.muscle","0.145958387696144"
"1","regulates","RE","Creatine (regulates) BICC1",,"false","regulates","Creatine (regulates) BICC1",,"ENSG00000122870.12","blood.muscle","0.101235987006537"
"1","regulates","RE","Creatine (regulates) NLN",,"false","regulates","Creatine (regulates) NLN",,"ENSG00000123213.23","blood.muscle","0.132754706865298"
"1","regulates","RE","Creatine (regulates) FAM210B",,"false","regulates","Creatine (regulates) FAM210B",,"ENSG00000124098.10","blood.muscle","0.215410511332332"
"1","regulates","RE","Creatine (regulates) DEK",,"false","regulates","Creatine (regulates) DEK",,"ENSG00000124795.17","blood.muscle","0.119326411665853"
"1","regulates","RE","Creatine (regulates) NUP85",,"false","regulates","Creatine (regulates) NUP85",,"ENSG00000125450.11","blood.muscle","0.134713745024105"
"1","regulates","RE","Creatine (regulates) RBCK1",,"false","regulates","Creatine (regulates) RBCK1",,"ENSG00000125826.21","blood.muscle","0.160381357784094"
"1","regulates","RE","Creatine (regulates) TBC1D20",,"false","regulates","Creatine (regulates) TBC1D20",,"ENSG00000125875.15","blood.muscle","0.10678126712185"
"1","regulates","RE","Creatine (regulates) MAX",,"false","regulates","Creatine (regulates) MAX",,"ENSG00000125952.20","blood.muscle","0.147629729496603"
"1","regulates","RE","Creatine (regulates) TSPAN8",,"false","regulates","Creatine (regulates) TSPAN8",,"ENSG00000127324.9","blood.muscle","0.285787725385961"
"1","regulates","RE","Creatine (regulates) METTL16",,"false","regulates","Creatine (regulates) METTL16",,"ENSG00000127804.13","blood.muscle","0.360854863646055"
"1","regulates","RE","Creatine (regulates) DOCK4",,"false","regulates","Creatine (regulates) DOCK4",,"ENSG00000128512.24","blood.muscle","0.238686133125631"
"1","regulates","RE","Creatine (regulates) PDE11A",,"false","regulates","Creatine (regulates) PDE11A",,"ENSG00000128655.19","blood.muscle","0.323450352359408"
"1","regulates","RE","Creatine (regulates) CALML4",,"false","regulates","Creatine (regulates) CALML4",,"ENSG00000129007.16","blood.muscle","0.178080888311549"
"1","regulates","RE","Creatine (regulates) E2F8",,"false","regulates","Creatine (regulates) E2F8",,"ENSG00000129173.13","blood.muscle","0.215973210202025"
"1","regulates","RE","Creatine (regulates) USP6",,"false","regulates","Creatine (regulates) USP6",,"ENSG00000129204.17","blood.muscle","0.206346284637426"
"1","regulates","RE","Creatine (regulates) FGF13",,"false","regulates","Creatine (regulates) FGF13",,"ENSG00000129682.16","blood.muscle","0.124049448284073"
"1","regulates","RE","Creatine (regulates) EIF2S3",,"false","regulates","Creatine (regulates) EIF2S3",,"ENSG00000130741.11","blood.muscle","0.328037576258176"
"1","regulates","RE","Creatine (regulates) ZC3H4",,"false","regulates","Creatine (regulates) ZC3H4",,"ENSG00000130749.10","blood.muscle","0.212301384270774"
"2","regulates","EE","Creatine (regulates) ATP5IF1",,"false","regulates","Creatine (regulates) ATP5IF1",,"ENSG00000130770.18","blood.muscle","0.221944020266954"
"1","regulates","RE","Creatine (regulates) PRRG1",,"false","regulates","Creatine (regulates) PRRG1",,"ENSG00000130962.18","blood.muscle","0.2102189398501"
"1","regulates","RE","Creatine (regulates) SLC6A6",,"false","regulates","Creatine (regulates) SLC6A6",,"ENSG00000131389.18","blood.muscle","0.218783336572517"
"1","regulates","RE","Creatine (regulates) EXOC4",,"false","regulates","Creatine (regulates) EXOC4",,"ENSG00000131558.15","blood.muscle","0.110656885082666"
"2","regulates","EE","Creatine (regulates) PPFIA1",,"false","regulates","Creatine (regulates) PPFIA1",,"ENSG00000131626.19","blood.muscle","0.614591786060334"
"1","regulates","RE","Creatine (regulates) IL13RA1",,"false","regulates","Creatine (regulates) IL13RA1",,"ENSG00000131724.11","blood.muscle","0.118803127632427"
"1","regulates","RE","Creatine (regulates) PRKAA1",,"false","regulates","Creatine (regulates) PRKAA1",,"ENSG00000132356.12","blood.muscle","0.104633488594555"
"1","regulates","RE","Creatine (regulates) SERPINF1",,"false","regulates","Creatine (regulates) SERPINF1",,"ENSG00000132386.11","blood.muscle","0.184421846339458"
"1","regulates","RE","Creatine (regulates) UBE2G1",,"false","regulates","Creatine (regulates) UBE2G1",,"ENSG00000132388.13","blood.muscle","0.310799571077878"
"1","regulates","RE","Creatine (regulates) MTSS2",,"false","regulates","Creatine (regulates) MTSS2",,"ENSG00000132613.16","blood.muscle","0.186679750891593"
"1","regulates","RE","Creatine (regulates) BTBD3",,"false","regulates","Creatine (regulates) BTBD3",,"ENSG00000132640.15","blood.muscle","0.1659483563314"
"1","regulates","RE","Creatine (regulates) VHL",,"false","regulates","Creatine (regulates) VHL",,"ENSG00000134086.8","blood.muscle","0.14835215672016"
"1","regulates","RE","Creatine (regulates) GSTM1",,"false","regulates","Creatine (regulates) GSTM1",,"ENSG00000134184.13","blood.muscle","0.228719674596373"
"1","regulates","RE","Creatine (regulates) KLHL36",,"false","regulates","Creatine (regulates) KLHL36",,"ENSG00000135686.13","blood.muscle","0.186415486982078"
"1","regulates","RE","Creatine (regulates) AGT",,"false","regulates","Creatine (regulates) AGT",,"ENSG00000135744.9","blood.muscle","0.182552714875855"
"1","regulates","RE","Creatine (regulates) RC3H1",,"false","regulates","Creatine (regulates) RC3H1",,"ENSG00000135870.12","blood.muscle","0.150353267228827"
"1","regulates","RE","Creatine (regulates) CYP27A1",,"false","regulates","Creatine (regulates) CYP27A1",,"ENSG00000135929.9","blood.muscle","0.282893107532178"
"2","regulates","EE","Creatine (regulates) C2orf49",,"false","regulates","Creatine (regulates) C2orf49",,"ENSG00000135974.10","blood.muscle","0.13661604111891"
"1","regulates","RE","Creatine (regulates) EPC2",,"false","regulates","Creatine (regulates) EPC2",,"ENSG00000135999.12","blood.muscle","0.178560076915815"
"1","regulates","RE","Creatine (regulates) RCBTB2",,"false","regulates","Creatine (regulates) RCBTB2",,"ENSG00000136161.13","blood.muscle","0.2088207227493"
"1","regulates","RE","Creatine (regulates) DGKB",,"false","regulates","Creatine (regulates) DGKB",,"ENSG00000136267.14","blood.muscle","0.166166799597049"
"1","regulates","RE","Creatine (regulates) TM6SF1",,"false","regulates","Creatine (regulates) TM6SF1",,"ENSG00000136404.16","blood.muscle","0.223025018826856"
"1","regulates","RE","Creatine (regulates) CHAD",,"false","regulates","Creatine (regulates) CHAD",,"ENSG00000136457.10","blood.muscle","0.285745871693082"
"1","regulates","RE","Creatine (regulates) KCTD3",,"false","regulates","Creatine (regulates) KCTD3",,"ENSG00000136636.13","blood.muscle","0.314163256376831"
"1","regulates","RE","Creatine (regulates) CDK5RAP2",,"false","regulates","Creatine (regulates) CDK5RAP2",,"ENSG00000136861.19","blood.muscle","0.118143465858172"
"1","regulates","RE","Creatine (regulates) KIF13A",,"false","regulates","Creatine (regulates) KIF13A",,"ENSG00000137177.20","blood.muscle","0.122246940332896"
"1","regulates","RE","Creatine (regulates) CPEB2",,"false","regulates","Creatine (regulates) CPEB2",,"ENSG00000137449.17","blood.muscle","0.180964458391341"
"1","regulates","RE","Creatine (regulates) BUD13",,"false","regulates","Creatine (regulates) BUD13",,"ENSG00000137656.12","blood.muscle","0.113659993937053"
"1","regulates","RE","Creatine (regulates) YAP1",,"false","regulates","Creatine (regulates) YAP1",,"ENSG00000137693.14","blood.muscle","0.276605723837356"
"1","regulates","RE","Creatine (regulates) UNC13C",,"false","regulates","Creatine (regulates) UNC13C",,"ENSG00000137766.18","blood.muscle","0.152240495977967"
"1","regulates","RE","Creatine (regulates) SLC44A5",,"false","regulates","Creatine (regulates) SLC44A5",,"ENSG00000137968.17","blood.muscle","0.277881722913586"
