GeneSym,ZEB1
ASXL3,0
ASZ1,0
ATAD1,1
ATAD2,1
ATAD2B,1
ATAD3A,1
ATAD3B,1
ATAD3C,0
ATAD5,0
ATAT1,0
ATCAY,0
ATE1,1
ATF1,1
ATF2,1
ATF3,0
ATF4,1
ATF5,1
ATF6,1
ATF6B,1
ATF7,1
ATF7IP,1
ATF7IP2,0
ATG10,0
ATG101,1
ATG12,0
ATG13,1
ATG14,1
ATG16L1,1
ATG16L2,1
ATG2A,1
ATG2B,1
ATG3,1
ATG4A,1
ATG4B,1
ATG4C,1
ATG4D,1
ATG5,1
ATG7,0
ATG9A,1
ATG9B,0
ATHL1,1
ATIC,1
ATL1,1
ATL2,1
ATL3,1
ATM,1
ATMIN,1
ATN1,0
ATOH1,0
ATOH7,1
ATOH8,0
ATOX1,0
ATP10A,0
ATP10B,0
ATP10D,0
ATP11A,0
ATP11AUN,0
ATP11B,0
ATP11C,0
ATP12A,1
ATP13A1,1
ATP13A2,1
ATP13A3,0
ATP13A4,0
ATP13A5,0
ATP1A1,1
ATP1A1-AS1,1
ATP1A2,0
ATP1A3,0
ATP1A4,0
ATP1B1,1
ATP1B2,0
ATP1B3,1
ATP1B4,0
ATP2A1,0
ATP2A2,1
ATP2A3,1
ATP2B1,0
ATP2B2,0
ATP2B3,0
ATP2B4,0
ATP2C1,0
ATP2C2,1
ATP4A,0
ATP4B,0
ATP5A1,0
ATP5B,1
ATP5C1,1
ATP5D,1
ATP5E,1
ATP5EP2,0
ATP5F1,0
ATP5G1,1
ATP5G2,1
ATP5G3,1
ATP5H,0
ATP5I,1
ATP5J,1
ATP5J2,1
ATP5J2-PTCD1,1
ATP5L,0
ATP5L2,0
ATP5O,1
ATP5S,1
ATP5SL,1
ATP6AP1,0
ATP6AP1L,0
ATP6AP2,0
ATP6V0A1,0
ATP6V0A2,1
ATP6V0A4,0
ATP6V0B,1
ATP6V0C,1
ATP6V0CP3,0
ATP6V0D1,1
ATP6V0D2,0
ATP6V0E1,0
ATP6V0E2,1
ATP6V1A,1
ATP6V1B1,0
ATP6V1B2,0
ATP6V1C1,1
ATP6V1C2,1
ATP6V1D,0
ATP6V1E1,0
ATP6V1E2,0
ATP6V1F,1
ATP6V1G1,1
ATP6V1G2,1
ATP6V1G3,0
ATP6V1H,1
ATP7A,0
ATP7B,1
ATP8A1,1
ATP8A2,0
ATP8B1,1
ATP8B2,1
ATP8B3,1
ATP8B4,0
ATP8B5P,0
ATP9A,1
ATP9B,1
ATPAF1,1
ATPAF2,1
ATPIF1,1
ATR,1
ATRAID,1
ATRIP,1
ATRN,0
ATRNL1,1
ATRX,0
ATXN1,1
ATXN10,1
ATXN1L,1
ATXN2,1
ATXN2L,1
ATXN3,0
ATXN3L,0
ATXN7,1
ATXN7L1,0
ATXN7L2,1
ATXN7L3,0
ATXN7L3B,1
ATXN8OS,0
AUH,1
AUNIP,1
AUP1,1
AURKA,1
AURKAIP1,1
AURKAPS1,0
AURKB,1
AURKC,0
AUTS2,1
AVEN,0
AVIL,0
AVL9,1
AVP,0
AVPI1,1
AVPR1A,0
AVPR1B,0
AVPR2,0
AWAT1,0
AWAT2,0
AXDND1,0
AXIN1,1
AXIN2,0
AXL,0
AZGP1,0
AZGP1P1,0
AZI2,1
AZIN1,1
AZU1,0
B2M,0
B3GALNT1,0
B3GALNT2,1
B3GALT1,0
B3GALT2,0
B3GALT4,1
B3GALT5,0
B3GALT6,1
B3GALTL,1
B3GAT1,0
B3GAT2,1
B3GAT3,1
B3GNT1,1
B3GNT2,1
B3GNT3,1
B3GNT4,1
B3GNT5,0
B3GNT6,0
B3GNT7,1
B3GNT8,0
B3GNT9,0
B3GNTL1,1
B4GALNT1,0
B4GALNT2,0
B4GALNT3,0
B4GALNT4,0
B4GALT1,1
B4GALT2,0
B4GALT3,1
B4GALT4,1
B4GALT5,0
B4GALT6,1
B4GALT7,1
B9D1,0
B9D2,0
BAALC,0
BAALCOS,0
BAAT,0
BABAM1,0
BACE1,0
BACE1-AS,0
BACE2,0
BACH1,0
BACH2,0
BAD,1
BAG1,1
BAG2,1
BAG3,0
BAG4,1
BAG5,1
BAG6,0
BAGE,0
BAGE2,0
BAGE3,0
BAGE4,0
BAGE5,0
BAHCC1,0
BAHD1,0
BAI1,0
BAI2,0
BAI3,0
BAIAP2,0
BAIAP2L1,1
BAIAP2L2,1
BAIAP3,0
BAK1,0
BAMBI,1
BANF1,1
BANF2,0
BANK1,1
BANP,1
BAP1,0
BARD1,0
BARHL1,1
BARHL2,0
BARX1,0
BARX2,0
BASP1,1
BASP1P1,0
BATF,1
BATF2,0
BATF3,1
BAX,1
BAZ1A,1
BAZ1B,0
BAZ2A,1
BAZ2B,0
BBC3,0
BBIP1,0
BBOX1,0
BBS1,1
BBS10,1
BBS12,0
BBS2,1
BBS4,0
BBS5,0
BBS7,1
BBS9,1
BBX,1
BCAM,1
BCAN,0
BCAP29,1
BCAP31,1
BCAR1,0
BCAR3,1
BCAR4,0
BCAS1,0
BCAS2,1
BCAS3,0
BCAS4,1
BCAT1,0
BCAT2,1
BCCIP,1
BCDIN3D,0
BCHE,0
BCKDHA,0
BCKDHB,1
BCKDK,1
BCL10,1
BCL11A,0
BCL11B,0
BCL2,1
BCL2A1,0
BCL2L1,1
BCL2L10,1
BCL2L11,1
BCL2L12,1
BCL2L13,1
BCL2L14,1
BCL2L15,0
BCL2L2,1
BCL2L2-PABPN1,1
BCL3,0
BCL6,0
BCL6B,0
BCL7A,1
BCL7B,1
BCL7C,0
BCL9,0
BCL9L,1
BCLAF1,0
BCO1,0
BCO2,0
BCOR,0
BCORL1,0
BCORP1,0
BCR,1
BCRP2,1
BCRP3,0
BCS1L,1
BCYRN1,0
BDH1,0
BDH2,0
BDKRB1,0
BDKRB2,0
BDNF,0
BDNF-AS,1
BDP1,0
BEAN1,0
BECN1,1
BEGAIN,0
BEND2,0
BEND3,1
BEND4,1
BEND5,0
BEND6,1
BEND7,0
BEST1,0
BEST2,0
BEST3,0
BEST4,1
BET1,0
BET1L,0
BEX1,0
BEX2,1
BEX4,0
BEX5,1
BFAR,0
BFSP1,0
BFSP2,0
BGLAP,0
BGN,0
BHLHA15,0
BHLHA9,0
BHLHB9,1
BHLHE22,0
BHLHE23,0
BHLHE40,1
BHLHE41,0
BHMT,0
BHMT2,0
BICC1,0
BICD1,1
BICD2,1
BID,1
BIK,1
BIN1,0
BIN2,1
BIN3,0
BIRC2,1
BIRC3,1
BIRC5,1
BIRC6,1
BIRC7,0
BIRC8,0
BIVM,1
BIVM-ERCC5,0
BLCAP,1
BLID,0
BLK,1
BLM,0
BLMH,1
BLNK,1
BLOC1S1,1
BLOC1S1-RDH5,1
BLOC1S2,1
BLOC1S3,1
BLOC1S4,0
BLOC1S5,1
BLOC1S5-TXNDC5,1
BLOC1S6,1
BLVRA,1
BLVRB,0
BLZF1,0
BMF,0
BMI1,0
BMP1,1
BMP10,0
BMP15,0
BMP2,0
BMP2K,1
BMP3,0
BMP4,1
BMP5,0
BMP6,0
BMP7,0
BMP8A,1
BMP8B,1
BMPER,0
BMPR1A,0
BMPR1B,0
BMPR2,1
BMS1,1
BMS1P4,1
BMS1P5,0
BMX,0
BNC1,0
BNC2,0
BNIP1,1
BNIP2,0
BNIP3,0
BNIP3L,1
BNIPL,0
BOC,0
BOD1,0
BOD1L1,1
BOD1L2,0
BOK,0
BOK-AS1,0
BOLA1,0
BOLA2,0
BOLA2B,0
BOLA3,0
BOLA3-AS1,0
BOLL,1
BOP1,0
BORA,0
BPESC1,0
BPGM,1
BPHL,1
BPI,0
BPIFA1,0
BPIFA2,0
BPIFA3,0
BPIFA4P,0
BPIFB1,0
BPIFB2,0
BPIFB3,0
BPIFB4,0
BPIFB6,0
BPIFC,0
BPNT1,1
BPTF,1
