"feature_id","uniprot","gene_symbol","correlation","p_value_corr","n_obs"
"OID20091","Q92558","WASF1",-0.0427317870497582,0.785561805329948,43
"OID20092","Q99549","MPHOSPH8",0.0379911883996452,0.808880010832579,43
"OID20093","Q8NHS0","DNAJB8",-0.0367855634531887,0.814837300377813,43
"OID20094","Q9H5Y7","SLITRK6",-0.190997339952638,0.219867798763401,43
"OID20095","O15354","GPR37",0.0176562972620032,0.910524455667338,43
"OID20096","P20718","GZMH",-0.16090517884108,0.302648700061961,43
"OID20097","P13807","GYS1",-0.0518903358930633,0.741049587125097,43
"OID20098","P40225","THPO",-0.0617042797818063,0.694264881957228,43
"OID20099","Q8NC01","CLEC1A",-0.1771370580489,0.255809396511727,43
"OID20100","O75354","ENTPD6",-0.0105021733265673,0.946709226919229,43
"OID20101","P05231","IL6",0.230036743750415,0.13781278324763,43
"OID20102","P31997","CEACAM8",-0.0707229265681111,0.652234184642444,43
"OID20103","P25815","S100P",-0.251167188430687,0.104238574242041,43
"OID20104","O75356","ENTPD5",0.182665865180522,0.241028509352487,43
"OID20105","Q9BYF1","ACE2",0.0170421445215057,0.913624806273152,43
"OID20106","P07585","DCN",-0.124348720977289,0.426920693342054,43
"OID20107","Q04760","GLO1",-0.247695492566856,0.109276409997855,43
"OID20108","Q9NWQ8","PAG1",-0.0767228809564818,0.624840025897838,43
"OID20109","Q13444","ADAM15",-0.215347840214992,0.165486684743972,43
"OID20110","P40818","USP8",-0.105011739535712,0.502747232668296,43
"OID20111","P22004","BMP6",-0.0386295563822456,0.805729968673127,43
"OID20112","Q9UKP3","ITGB1BP2",-0.0930758771101439,0.552749284671048,43
"OID20113","P09668","CTSH",-0.223923409930244,0.148880044593877,43
"OID20114","P46379","BAG6",-0.20642600462198,0.1841468699272,43
"OID20115","O14793","MSTN",0.00794462019143897,0.959674560733939,43
"OID20116","Q9BWV1","BOC",0.0409414949753336,0.794347376872547,43
"OID20117","P08319","ADH4",-0.137098070766303,0.38066547697128,43
"OID20118","P09496","CLTA",-0.125833450693865,0.421377422398244,43
"OID20119","P34913","EPHX2",-0.11420122383413,0.465884622591099,43
"OID20121","Q9Y4X3","CCL27",-0.281984526390782,0.0669538680767308,43
"OID20122","P00568","AK1",-0.254044615008164,0.10019934817786,43
"OID20123","P09525","ANXA4",-0.0116907005975714,0.940688492844486,43
"OID20124","Q15067","ACOX1",0.0584473868097964,0.709676960753203,43
"OID20125","P16860","NPPB",-0.207704722422419,0.181384135946334,43
"OID20126","Q05315","CLC",-0.233204635734376,0.132323834960049,43
"OID20127","Q6PJW8","CNST",-0.0455514700513398,0.771778229980642,43
"OID20128","P48357","LEPR",-0.0499689829836423,0.750324159163714,43
"OID20129","P01222","TSHB",0.0991525636272931,0.527001708226123,43
"OID20130","P31949","S100A11",-0.246565328534425,0.110955769301505,43
"OID20131","Q9H7M9","VSIR",-0.0207707842300087,0.89482310622339,43
"OID20132","O14917","PCDH17",0.00369803727725567,0.981223406842071,43
"OID20133","P16234","PDGFRA",0.110551773586163,0.480348282280507,43
"OID20134","Q12864","CDH17",0.0104071019674954,0.947190961842598,43
"OID20135","Q9Y5X1","SNX9",-0.139603422602043,0.371938164362682,43
"OID20136","Q16620","NTRK2",0.0337379631760949,0.829941556487533,43
"OID20137","Q03154","ACY1",-0.0941589945260163,0.548116842862835,43
"OID20138","O60496","DOK2",-0.0369874397977934,0.813839051146307,43
"OID20139","P21549","AGXT",-0.030809491243675,0.844512704587045,43
"OID20140","Q13043","STK4",-0.03537376918943,0.821826426629906,43
"OID20141","P21980","TGM2",-0.210373482739084,0.175713825281554,43
"OID20142","Q9UHL4","DPP7",0.241908947910923,0.118082400640215,43
"OID20143","O60664","PLIN3",0.0658921272626585,0.67462564922974,43
"OID20144","O94903","PLPBP",-0.212707355647581,0.17086035421937,43
"OID20145","Q9UMF0","ICAM5",-0.18085524515491,0.24580385870704,43
"OID20146","P10644","PRKAR1A",-0.0916286036046896,0.558967912464677,43
"OID20147","P40189","IL6ST",0.0656511623119066,0.675750056066867,43
"OID20148","Q9H773","DCTPP1",-0.0554771401306262,0.723833201496819,43
"OID20149","Q6GTS8","PM20D1",0.262151357606577,0.0894643533837335,43
"OID20150","Q53H82","LACTB2",-0.113192546378936,0.469858797949395,43
"OID20151","Q13158","FADD",-0.0197017894170678,0.900208161880548,43
"OID20152","Q99674","CGREF1",0.0027644573464566,0.98596306025551,43
"OID20153","P10145","CXCL8",-0.0381173986593413,0.808256985016362,43
"OID20154","P09382","LGALS1",-0.0480319384097846,0.759709780496727,43
"OID20155","Q8WX77","IGFBPL1",-0.248103848630164,0.108674398817724,43
"OID20156","P41218","MNDA",-0.105032045628093,0.502664174048533,43
"OID20157","P55285","CDH6",-0.16738513309741,0.283331339664262,43
"OID20158","Q9UHD0","IL19",0.10916706583369,0.485897217529395,43
"OID20159","P16112","ACAN",0.0713463893923115,0.649365692543997,43
"OID20160","Q9ULL4","PLXNB3",0.0443842521549246,0.777475845090299,43
"OID20161","Q06418","TYRO3",0.20100514802845,0.196191986958813,43
"OID20162","Q13541","EIF4EBP1",-0.258813423924537,0.0937710026390441,43
"OID20163","O75340","PDCD6",-0.0907079347455417,0.56294077689419,43
"OID20164","P51693","APLP1",0.209262015872976,0.17805968536886,43
"OID20165","Q9NY25","CLEC5A",-0.13055239810625,0.404031536162603,43
"OID20166","P08263","GSTA1",-0.12529630806237,0.423378146041519,43
"OID20167","Q969P0","IGSF8",0.0238052352793327,0.879563267959678,43
"OID20168","Q16820","MEP1B",-0.0209937240932028,0.893700627666308,43
"OID20169","P18827","SDC1",0.148608178820063,0.341569494970763,43
"OID20170","P19022","CDH2",-0.08793872823348,0.5749688326829,43
"OID20171","Q8NI22","MCFD2",0.0670594393519391,0.669188594133021,43
"OID20172","Q96LA6","FCRL1",-0.0823887177580488,0.599420896014844,43
"OID20173","Q14956","GPNMB",-0.0993209734496104,0.526296628038137,43
"OID20174","P09417","QDPR",-0.170197979408328,0.275202148490861,43
"OID20175","Q9UBU3","GHRL",-0.078951999411413,0.614785787569848,43
"OID20176","P41236","PPP1R2",-0.124965749308072,0.424612051825374,43
"OID20177","Q9Y5K6","CD2AP",-0.087847680513695,0.575366277020351,43
"OID20178","O95544","NADK",-0.372547415258049,0.0138838750970744,43
"OID20179","P27352","CBLIF",-0.144900624714635,0.353883150007875,43
"OID20180","Q9GZM7","TINAGL1",0.0146278583078248,0.925824390025607,43
"OID20181","Q8WVQ1","CANT1",0.0563854955300049,0.719494048093701,43
"OID20182","Q8WTU2","SSC4D",0.0647012407960945,0.680189412224204,43
"OID20183","P78380","OLR1",-0.183220765923628,0.239577688256536,43
"OID20184","Q9NR28","DIABLO",-0.0463800124416317,0.767740973929946,43
"OID20185","Q86VZ4","LRP11",0.182185811620514,0.242288434378048,43
"OID20186","Q13275","SEMA3F",0.0971082304002569,0.535597548173935,43
"OID20187","P41159","LEP",0.00761109199568911,0.961366186371308,43
"OID20188","P06858","LPL",0.0569489128777436,0.716806997854872,43
"OID20189","Q8IZP9","ADGRG2",0.127092992763373,0.416706942959049,43
"OID20190","Q9Y286","SIGLEC7",-0.0131095958057393,0.933505081451561,43
"OID20191","O95502","NPTXR",0.232396424752587,0.133708456186983,43
"OID20192","O75791","GRAP2",-0.155363330982005,0.319822706662129,43
"OID20193","Q9HBB8","CDHR5",-0.00382452041987266,0.980581315311504,43
"OID20194","P52888","THOP1",-0.208853270050459,0.178928002596589,43
"OID20195","P35754","GLRX",-0.110923518709782,0.478864272990246,43
"OID20196","P21583","KITLG",-0.0863754561848296,0.581810157955388,43
"OID20197","Q9UKJ0","PILRB",-0.121341898610496,0.438271151853864,43
"OID20198","Q15846","CLUL1",-0.172807920253495,0.267797827083201,43
"OID20199","P23526","AHCY",-0.101293312054137,0.518073749902645,43
"OID20200","P12104","FABP2",0.231723203136651,0.134870029670835,43
"OID20201","P00797","REN",0.0109623887251906,0.944377543359835,43
"OID20202","Q9UK05","GDF2",-0.244657651968967,0.113834872272767,43
"OID20203","P12724","RNASE3",-0.0554730309156175,0.723852850492912,43
"OID20204","Q9BQB4","SOST",-0.242878329169136,0.116570981649846,43
"OID20205","Q9NQX5","NPDC1",-0.028301333426145,0.85703355438967,43
"OID20206","Q07108","CD69",-0.0316714146223211,0.840218497046716,43
"OID20207","P42830","CXCL5",-0.122568829376155,0.433619565621155,43
"OID20208","P02462","COL4A1",-0.0366050423430789,0.815730196340579,43
"OID20209","A6NI73","LILRA5",-0.0556396052513147,0.723056484044798,43
"OID20210","Q9UEW3","MARCO",-0.0588099366777613,0.707955520860722,43
"OID20211","O95841","ANGPTL1",-0.100161414644639,0.522784910144074,43
"OID20212","Q9BQR3","PRSS27",0.17443954099097,0.263236568907551,43
"OID20213","Q99523","SORT1",-0.0419368340894141,0.789459733968848,43
"OID20214","P35247","SFTPD",-0.110285279789206,0.48141361079632,43
"OID20215","P20711","DDC",-0.302568142762482,0.0485977784039914,43
"OID20216","P31431","SDC4",-0.0739211399990729,0.637572836513334,43
"OID20217","P09601","HMOX1",-0.226346478722955,0.144417843081651,43
"OID20218","O00161","SNAP23",-0.0773157544331019,0.622159253276628,43
"OID20219","Q8IW75","SERPINA12",0.0967303381675653,0.537193891117636,43
"OID20220","P01241","GH1",-0.19423439089211,0.212003456750172,43
"OID20221","Q9BUD6","SPON2",0.113589244094269,0.468293666285924,43
"OID20222","Q92692","NECTIN2",0.207126362303263,0.182630020305404,43
"OID20223","Q6WN34","CHRDL2",0.263218950721675,0.0881197988683568,43
"OID20224","Q01973","ROR1",0.186625446805807,0.230805786080492,43
"OID20225","Q8N1Q1","CA13",-0.0863796949456746,0.581791558504606,43
"OID20226","Q76M96","CCDC80",-0.0377777651714717,0.809933821074341,43
"OID20227","P09467","FBP1",-0.0140752855393403,0.928619049604042,43
"OID20228","P07711","CTSL",0.0902309297370806,0.565004291065341,43
"OID20229","Q92823","NRCAM",0.130758832422241,0.40328224804995,43
"OID20230","P04792","HSPB1",-0.158362797225367,0.310452718672475,43
"OID20231","P07204","THBD",-0.011569599252389,0.941301813384301,43
"OID20232","Q16773","KYAT1",-0.187848543975247,0.227708924851871,43
"OID20233","Q92520","FAM3C",-0.033057667585537,0.833321660239666,43
"OID20234","P19971","TYMP",-0.0422242639142341,0.788049775304769,43
"OID20235","Q8NBP7","PCSK9",-0.234717948136115,0.129760038354311,43
"OID20236","Q16270","IGFBP7",-0.214583935744442,0.167028560803484,43
"OID20237","P07911","UMOD",0.1487259031991,0.341182882497437,43
"OID20238","P55058","PLTP",-0.32513296773895,0.0333874715084182,43
"OID20239","Q13361","MFAP5",-0.209150076278357,0.178297182862448,43
"OID20240","P01130","LDLR",-0.150140744868265,0.336557596297822,43
"OID20241","P22748","CA4",-0.189387667672698,0.223852565290462,43
"OID20242","P54760","EPHB4",-0.187321933346441,0.22903878031077,43
"OID20243","P33151","CDH5",-0.25345517582773,0.10101683763299,43
"OID20244","P23141","CES1",-0.217249358276653,0.161693465618865,43
"OID20245","P15090","FABP4",-0.250554324646283,0.105114753662111,43
"OID20246","P08833","IGFBP1",-0.0592633155961017,0.705804832676726,43
"OID20247","P00750","PLAT",-0.180822567120275,0.245890626685588,43
"OID20248","P13598","ICAM2",-0.197197846265246,0.204977332725119,43
"OID20249","Q76LX8","ADAMTS13",-0.185104156784569,0.234697716141192,43
"OID20250","Q01638","IL1RL1",-0.00628081469277027,0.968114829368439,43
"OID20251","Q99988","GDF15",-0.458282256877005,0.00199845394611931,43
"OID20252","P04054","PLA2G1B",-0.295842378921072,0.0540837806398014,43
"OID20253","Q9UM47","NOTCH3",-0.255055225314819,0.0988095682295445,43
"OID20254","Q14767","LTBP2",-0.305328221962945,0.0464808352516245,43
"OID20255","Q03167","TGFBR3",-0.186120750237017,0.232092029100614,43
"OID20256","P04275","VWF",-0.187460299304205,0.228688848908583,43
"OID20257","Q5VY43","PEAR1",-0.180916910006242,0.245640180126288,43
"OID20258","Q06141","REG3A",-0.277099686102855,0.0720296813198999,43
"OID20259","P55808","XG",-0.343020585531631,0.0243309812656627,43
"OID20260","P48960","ADGRE5",-0.376027442696121,0.0129524678547355,43
"OID20261","P04066","FUCA1",-0.18440120933326,0.236511101599594,43
"OID20262","Q9NNX6","CD209",-0.263519909852782,0.0877436118993443,43
"OID20263","P02144","MB",-0.162946792958342,0.296473598103373,43
"OID20264","Q9UBP4","DKK3",-0.317939905432471,0.0377379949398713,43
"OID20265","O14798","TNFRSF10C",-0.264769531874928,0.0861949579248866,43
"OID20266","P48304","REG1B",-0.287399626605047,0.0616628753654802,43
"OID20267","P01589","IL2RA",-0.143890500563396,0.357284238922512,43
"OID20268","P09619","PDGFRB",-0.13563253044713,0.385826292591743,43
"OID20269","P08581","MET",-0.252386196817384,0.102512437030056,43
"OID20270","Q96AP7","ESAM",-0.301310020839537,0.0495882635016288,43
"OID20271","P07451","CA3",-0.360818806058454,0.0174532839645991,43
"OID20272","Q9Y275","TNFSF13B",-0.17714863647002,0.255777822557042,43
"OID20273","Q13740","ALCAM",-0.285885824618465,0.0631072371622036,43
"OID20274","P14555","PLA2G2A",-0.359823280883783,0.0177890276580694,43
"OID20275","P08118","MSMB",-0.0641181667638505,0.682919653466904,43
"OID20276","P07858","CTSB",-0.239557832110817,0.121809598617111,43
"OID20277","P32942","ICAM3",-0.302713116983379,0.0484846792062131,43
"OID20278","Q07507","DPT",-0.13097343166601,0.402504174268047,43
"OID20279","Q9NQ79","CRTAC1",-0.283971073106313,0.064972575432049,43
"OID20280","P15085","CPA1",-0.198856792534362,0.201116062148639,43
"OID20281","Q86U17","SERPINA11",-0.160806565526347,0.302949037511897,43
"OID20282","Q9H2A7","CXCL16",-0.117049294699557,0.454760953754677,43
"OID20283","O75326","SEMA7A",-0.335698387449394,0.027753176342459,43
"OID20284","P17931","LGALS3",-0.279893827152841,0.0690904453257598,43
"OID20285","Q9H1U4","MEGF9",-0.0950971192847467,0.544119516201995,43
"OID20286","P31146","CORO1A",-0.138465420001652,0.375887449988663,43
"OID20287","P17813","ENG",-0.265059190018073,0.0858390385157556,43
"OID20288","Q13822","ENPP2",-0.146964992915578,0.346993947792869,43
"OID20289","P15086","CPB1",-0.233630333734667,0.131598845700319,43
"OID20290","P16581","SELE",-0.12808508728891,0.413048973353752,43
"OID20291","P19021","PAM",-0.233659246129458,0.131549713872177,43
"OID20292","P12111","COL6A3",-0.240027472800486,0.121058093572818,43
"OID20293","Q15828","CST6",-0.238936835428302,0.122808683857569,43
"OID20294","P04080","CSTB",-0.208874787388519,0.178882216872218,43
"OID20295","P80370","DLK1",-0.33075296900085,0.0302834466700097,43
"OID20296","P08236","GUSB",-0.0153474571814076,0.922186314747087,43
"OID20297","Q14162","SCARF1",-0.149418576773219,0.338913575967248,43
"OID20298","P09093","CELA3A",-0.24903371936175,0.107312982719028,43
"OID20299","P48745","CCN3",-0.293621187278565,0.056001102972295,43
"OID20300","Q9Y4L1","HYOU1",-0.183936728346352,0.237714537835228,43
"OID20301","Q8N423","LILRB2",-0.323761232944503,0.0341836159043386,43
"OID20302","P15907","ST6GAL1",-0.299340765963826,0.0511712715132964,43
"OID20303","P35590","TIE1",-0.21172955694723,0.172881858319382,43
"OID20304","P78324","SIRPA",-0.24263102356249,0.116955172710828,43
"OID20305","P42574","CASP3",-0.191374556328857,0.218941127789616,43
"OID20306","Q13332","PTPRS",-0.121811194549673,0.436488685845308,43
"OID20307","Q12860","CNTN1",-0.239558049291052,0.121809250282077,43
"OID20308","Q8TDL5","BPIFB1",-0.19413403076731,0.212244299574727,43
"OID20309","P20160","AZU1",-0.391337906226936,0.0094601528263161,43
"OID20310","P10586","PTPRF",-0.225963708606766,0.145116090402596,43
"OID20311","P46531","NOTCH1",-0.261668566522958,0.0900775913785921,43
"OID20312","Q13231","CHIT1",-0.177968921151122,0.253547568386895,43
"OID20313","P04085","PDGFA",-0.234984332124613,0.129312610648889,43
"OID20314","P13686","ACP5",-0.301234197589421,0.0496484740294699,43
"OID20315","P05107","ITGB2",-0.247464501289771,0.109618066819595,43
"OID20316","P25445","FAS",-0.0273473104028786,0.861805366849945,43
"OID20317","O15031","PLXNB2",-0.177023087548812,0.25612032928929,43
"OID20318","Q14393","GAS6",-0.22107552489128,0.154253144810578,43
"OID20319","P00533","EGFR",-0.14724386717476,0.346069633988505,43
"OID20320","Q16769","QPCT",-0.18131364449754,0.244588877636297,43
"OID20321","O00584","RNASET2",-0.16087105210194,0.302752615132124,43
"OID20322","P10451","SPP1",-0.165598810893413,0.288574330463691,43
"OID20323","Q8NHL6","LILRB1",-0.287498608528406,0.0615693593129108,43
"OID20324","O75023","LILRB5",-0.144303517989514,0.355891221166204,43
"OID20325","P18065","IGFBP2",-0.292039086336139,0.0573997067798692,43
"OID20326","P19957","PI3",-0.274865394936808,0.07445021003865,43
"OID20327","Q9HD89","RETN",-0.316388394197573,0.0387347562678196,43
"OID20328","Q16663","CCL15",-0.297004385366577,0.0531019620047446,43
"OID20329","P24158","PRTN3",-0.246309708417884,0.11133831201536,43
"OID20330","Q12884","FAP",-0.227771994352828,0.141839227688784,43
"OID20331","P23284","PPIB",-0.144344613792831,0.355752794615376,43
"OID20332","P39060","COL18A1",-0.346022839017073,0.0230334442211175,43
"OID20333","P04746","AMY1C",-0.240705229259661,0.11997973167101,43
"OID20334","O15467","CCL16",-0.243701965934871,0.115298336905495,43
"OID20335","P02452","COL1A1",-0.0664168581053563,0.672179536555506,43
"OID20336","Q13867","BLMH",-0.333774670079073,0.0287157324140584,43
"OID20337","P42785","PRCP",-0.280197910677955,0.0687763805822192,43
"OID20338","O75594","PGLYRP1",-0.228066407280767,0.14131093373773,43
"OID20339","P13987","CD59",-0.354397953747715,0.0197159724356274,43
"OID20340","P19961","AMY2B",-0.220374875980065,0.155596532817866,43
"OID20341","P20062","TCN2",-0.199122626716524,0.200502103369656,43
"OID20342","P05121","SERPINE1",-0.244646436208979,0.113851965167349,43
"OID20343","P43121","MCAM",-0.192429351877802,0.216364259537454,43
"OID20344","P59665","DEFA1",0.00169701785086328,0.991382874933336,43
"OID20345","Q6EMK4","VASN",-0.0356718937380466,0.820349399131562,43
"OID20346","Q13508","ART3",0.0777253427873573,0.620310045423221,43
"OID20347","Q96KN2","CNDP1",0.0733269949906101,0.640286441675112,43
"OID20348","O95998","IL18BP",-0.278349924759902,0.0707025617659904,43
"OID20349","P00740","F9",-0.0354130485094563,0.821631786364923,43
"OID20350","P15144","ANPEP",-0.115412410575327,0.461136418446415,43
"OID20351","A1L4H1","SSC5D",-0.237725394002491,0.124775421293307,43
"OID20352","Q06033","ITIH3",0.0418673060495316,0.789800896832464,43
"OID20353","P12830","CDH1",-0.275945686261234,0.0732720037716115,43
"OID20354","P13591","NCAM1",-0.0969750394441914,0.536159928531819,43
"OID20355","P18428","LBP",0.0610512468700785,0.697345621480128,43
"OID20356","Q99650","OSMR",-0.161294646293335,0.301464399303287,43
"OID20357","Q12794","HYAL1",-0.0227598651943485,0.884815712439259,43
"OID20358","P07339","CTSD",-0.0434660912556864,0.78196584988985,43
"OID20359","P24821","TNC",0.156830032603509,0.31521887613168,43
"OID20360","Q86VB7","CD163",-0.188983416994671,0.224861054965645,43
"OID20361","Q14515","SPARCL1",-0.00634199834808768,0.967804386146031,43
"OID20362","P14543","NID1",-0.0343472756358239,0.826916706741564,43
"OID20363","P30530","AXL",-0.244054731173526,0.114756489642396,43
"OID20364","P07478","PRSS2",-0.0918842006065783,0.557867291847818,43
"OID20365","Q9UBR2","CTSZ",-0.204078086255933,0.189297518615342,43
"OID20366","O00533","CHL1",-0.0539261032844448,0.731262126694573,43
"OID20367","Q9BXJ1","C1QTNF1",-0.065147498551675,0.678102534011504,43
"OID20368","P35443","THBS4",-0.213107115282662,0.170038818352013,43
"OID20369","P02786","TFRC",0.0404724818203038,0.796653190218384,43
"OID20370","P10721","KIT",-0.134174525014503,0.391001178436823,43
"OID20371","Q07654","TFF3",0.149477112603761,0.338722231819617,43
"OID20372","P08709","F7",-0.227036944841244,0.143164572882494,43
"OID20373","Q99969","RARRES2",-0.0978476611576439,0.532480618086236,43
"OID20374","O95445","APOM",-0.188106499184013,0.227059444837538,43
"OID20375","Q96H15","TIMD4",-0.110816612449668,0.47929079644629,43
"OID20376","P05556","ITGB1",-0.22112479042757,0.154159005948403,43
"OID20377","P08174","CD55",-0.19444950283574,0.21148787480829,43
"OID20378","P08571","CD14",-0.0764692692638037,0.625988235740168,43
"OID20379","P16109","SELP",-0.117599645235335,0.452628197871373,43
"OID20380","P15529","CD46",-0.0972106551276034,0.535165268682583,43
"OID20381","P07359","GP1BA",0.0827579153803943,0.597780297509768,43
"OID20382","Q15485","FCN2",-0.162338833092799,0.298303895935703,43
"OID20383","P98160","HSPG2",-0.165022959085316,0.290277832456468,43
"OID20384","Q15113","PCOLCE",-0.122961954389162,0.432134971132958,43
"OID20385","P08887","IL6R",-0.173353285864577,0.266267454985115,43
"OID20386","P00441","SOD1",-0.243479654596619,0.115640800680304,43
"OID20387","O75015","FCGR3B",-0.00222012374941938,0.988726795536368,43
"OID20388","P10646","TFPI",-0.249582007167272,0.10651635728946,43
"OID20389","Q16853","AOC3",-0.215035092174736,0.166116688460884,43
"OID20390","O14786","NRP1",-0.195945269738486,0.207926935678813,43
"OID20391","P12318","FCGR2A",-0.159949883722551,0.305566179515518,43
"OID20392","P80188","LCN2",-0.19663523375822,0.206298544194382,43
"OID20393","P20023","CR2",0.108052559855046,0.490387504366714,43
"OID20394","Q9NZK5","ADA2",-0.295485468465722,0.0543882569367533,43
"OID20395","P55774","CCL18",-0.0238946502706223,0.87911423740961,43
"OID20396","P19320","VCAM1",-0.160997470350093,0.302367789137997,43
"OID20397","Q9NPY3","CD93",-0.100900726918912,0.519705361730419,43
"OID20398","P17936","IGFBP3",-0.0132356027654925,0.932867392289743,43
"OID20399","P36222","CHI3L1",-0.144629702367172,0.354793406517761,43
"OID20400","P01034","CST3",-0.198590850539086,0.201731590031273,43
"OID20401","Q16627","CCL14",-0.146392039959738,0.348897711177569,43
"OID20402","P04070","PROC",-0.0794521807760368,0.612539217407095,43
"OID20403","P03950","ANG",0.0657702889026043,0.675194092328398,43
"OID20404","Q9UGM5","FETUB",0.092815172877463,0.553867058536967,43
"OID20405","P49747","COMP",-0.382721677953226,0.0113097698792328,43
"OID20406","P27487","DPP4",-0.157956536472609,0.311711508456268,43
"OID20407","Q9Y5C1","ANGPTL3",-0.207377967112774,0.182087272960342,43
"OID20408","P41222","PTGDS",-0.00037626696473986,0.998089355864957,43
"OID20409","P00915","CA1",-0.311044055704198,0.042334315003369,43
"OID20410","P06681","C2",0.0998374461625515,0.524137213414964,43
"OID20411","P05362","ICAM1",-0.106018955573543,0.498635821794003,43
"OID20412","P13501","CCL5",-0.142419938970137,0.362270907275986,43
"OID20413","P24592","IGFBP6",-0.0293693173563534,0.851697704943174,43
"OID20414","Q12805","EFEMP1",-0.103399543314368,0.509363872036662,43
"OID20415","P05451","REG1A",-0.205844802059664,0.185412452665109,43
"OID20416","Q92820","GGH",0.00759598124606312,0.961442830783986,43
"OID20417","Q15582","TGFBI",0.0121397086965756,0.938414779358314,43
"OID20418","P01033","TIMP1",-0.211772116788052,0.172793513187957,43
"OID20420","Q13651","IL10RA",0.128263797687375,0.412391999527561,43
"OID20421","Q13219","PAPPA",0.0693878067685119,0.658393585740576,43
"OID20422","Q9UHF4","IL20RA",-0.0157477165866066,0.920163397236677,43
"OID20423","P63241","EIF5A",0.00865860085965731,0.956053910680394,43
"OID20424","P05412","JUN",0.207654148245402,0.181492838219585,43
"OID20425","Q96AX2","RAB37",0.050414192370588,0.748171937666144,43
"OID20427","P01584","IL1B",-0.0581086175933024,0.711286777434121,43
"OID20428","O95760","IL33",-0.085247811401737,0.586767675951259,43
"OID20429","Q8NHJ6","LILRB4",0.0203860275763008,0.896760790997168,43
"OID20430","P35225","IL13",0.110964555289098,0.478700602548821,43
"OID20431","P22301","IL10",-0.194460858434684,0.211460681895819,43
"OID20433","O95379","TNFAIP8",-0.0252384838952924,0.872370264677213,43
"OID20435","O43707","ACTN4",-0.0985192670711033,0.529657274312953,43
"OID20436","P28838","LAP3",-0.267959928367654,0.0823374790679502,43
"OID20437","Q9NP70","AMBN",0.115935907091767,0.459092249588835,43
"OID20438","Q6UXK5","LRRN1",-0.152792832100239,0.32799281354444,43
"OID20442","O60934","NBN",-0.0421968157329034,0.788184390851964,43
"OID20443","Q96P31","FCRL3",-0.321333953174645,0.0356306414248927,43
"OID20444","Q9Y478","PRKAB1",-0.0479020462680658,0.760340388349989,43
"OID20445","Q8TCS8","PNPT1",0.0996310988780733,0.52499944346419,43
"OID20447","Q5R372","RABGAP1L",-0.287419242896554,0.0616443333151978,43
"OID20449","Q8N6P7","IL22RA1",-0.10547332726838,0.500860913226237,43
"OID20450","P14784","IL2RB",-0.014625274416602,0.925837456137571,43
"OID20451","Q13459","MYO9B",0.0906760799722228,0.563078470840106,43
"OID20453","Q9NYY1","IL20",-0.18500032285025,0.234964976848361,43
"OID20455","P20809","IL11",0.0709915549109071,0.650997641190997,43
"OID20456","Q96PD4","IL17F",-0.0143112330210713,0.927425629816608,43
"OID20457","O76038","SCGN",-0.166244605869078,0.286671654552713,43
