GeneSym,NFIC
ADAD2,0
ADAL,1
ADAM10,1
ADAM11,0
ADAM12,0
ADAM15,1
ADAM17,1
ADAM18,0
ADAM19,1
ADAM1A,0
ADAM1B,0
ADAM2,0
ADAM20,0
ADAM20P1,0
ADAM21,0
ADAM21P1,0
ADAM22,1
ADAM23,0
ADAM28,0
ADAM29,0
ADAM30,0
ADAM32,0
ADAM33,0
ADAM3A,0
ADAM5,0
ADAM6,0
ADAM7,0
ADAM8,1
ADAM9,1
ADAMDEC1,1
ADAMTS1,1
ADAMTS10,0
ADAMTS12,1
ADAMTS13,0
ADAMTS14,1
ADAMTS15,1
ADAMTS16,0
ADAMTS17,0
ADAMTS18,0
ADAMTS19,0
ADAMTS2,0
ADAMTS20,0
ADAMTS3,1
ADAMTS4,1
ADAMTS5,1
ADAMTS6,1
ADAMTS7,1
ADAMTS8,0
ADAMTS9,1
ADAMTS9-AS2,1
ADAMTSL1,1
ADAMTSL2,0
ADAMTSL3,1
ADAMTSL4,0
ADAMTSL5,0
ADAP1,0
ADAP2,1
ADAR,1
ADARB1,1
ADARB2,1
ADARB2-AS1,0
ADAT1,1
ADAT2,1
ADAT3,1
ADC,0
ADCK1,1
ADCK2,1
ADCK3,1
ADCK4,1
ADCK5,1
ADCY1,0
ADCY10,1
ADCY2,0
ADCY3,0
ADCY4,1
ADCY5,0
ADCY6,0
ADCY7,0
ADCY8,0
ADCY9,0
ADCYAP1,0
ADCYAP1R1,0
ADD1,1
ADD2,0
ADD3,1
ADGB,0
ADH1A,0
ADH1B,0
ADH1C,0
ADH4,1
ADH5,1
ADH6,1
ADH7,0
ADHFE1,1
ADI1,1
ADIG,1
ADIPOQ,0
ADIPOR1,0
ADIPOR2,1
ADIRF,0
ADK,1
ADM,1
ADM2,1
ADM5,1
ADNP,1
ADNP2,1
ADO,1
ADORA1,1
ADORA2A,1
ADORA2A-AS1,0
ADORA2B,1
ADORA3,1
ADPGK,1
ADPRH,1
ADPRHL1,0
ADPRHL2,1
ADPRM,1
ADRA1A,0
ADRA1B,0
ADRA1D,0
ADRA2A,1
ADRA2B,0
ADRA2C,0
ADRB1,1
ADRB2,1
ADRB3,0
ADRBK1,1
ADRBK2,1
ADRM1,1
ADSL,1
ADSS,1
ADSSL1,1
ADTRP,0
AEBP1,0
AEBP2,1
AEN,1
AES,1
AFAP1,1
AFAP1-AS1,0
AFAP1L1,0
AFAP1L2,1
AFF1,1
AFF2,0
AFF3,1
AFF4,1
AFG3L1P,1
AFG3L2,1
AFM,1
AFMID,1
AFP,1
AFTPH,1
AGA,1
AGAP1,1
AGAP11,1
AGAP2,0
AGAP3,1
AGAP4,0
AGAP5,0
AGAP6,0
AGAP7P,0
AGAP9,0
AGBL1,0
AGBL2,1
AGBL3,1
AGBL4,0
AGBL5,1
AGER,1
AGFG1,1
AGFG2,1
AGGF1,1
AGK,1
AGL,1
AGMAT,1
AGMO,1
AGO1,0
AGO2,1
AGO3,1
AGO4,0
AGPAT1,1
AGPAT2,1
AGPAT3,1
AGPAT4,1
AGPAT4-IT1,1
AGPAT5,1
AGPAT6,0
AGPAT9,1
AGPS,1
AGR2,1
AGR3,0
AGRN,1
AGRP,0
AGT,1
AGTPBP1,1
AGTR1,0
AGTR2,0
AGTRAP,1
AGXT,1
AGXT2,1
AHCTF1,1
AHCY,1
AHCYL1,1
AHCYL2,1
AHDC1,1
AHI1,1
AHNAK,1
AHNAK2,1
AHR,1
AHRR,0
AHSA1,1
AHSA2,1
AHSG,1
AHSP,0
AICDA,1
AIDA,1
AIF1,0
AIF1L,0
AIFM1,0
AIFM2,1
AIFM3,1
AIG1,1
AIM1,1
AIM1L,1
AIM2,1
AIMP1,1
AIMP2,1
AIP,1
AIPL1,0
AIRE,0
AIRN,0
AJAP1,0
AJUBA,1
AK1,1
AK2,1
AK3,1
AK4,1
AK5,1
AK7,1
AK8,1
AK9,1
AKAP1,1
AKAP10,1
AKAP11,1
AKAP12,0
AKAP13,1
AKAP14,0
AKAP17A,1
AKAP2,1
AKAP3,0
AKAP4,0
AKAP5,0
AKAP6,0
AKAP7,1
AKAP8,1
AKAP8L,1
AKAP9,1
AKIP1,1
AKIRIN1,1
AKIRIN2,1
AKNA,0
AKNAD1,0
AKR1A1,1
AKR1B1,1
AKR1B10,1
AKR1B15,1
AKR1C1,0
AKR1C2,0
AKR1C3,1
AKR1C4,1
AKR1C6P,0
AKR1CL1,0
AKR1D1,0
AKR1E2,0
AKR7A2,0
AKR7A2P1,0
AKR7A3,0
AKR7L,0
AKT1,0
AKT1S1,1
AKT2,1
AKT3,0
AKTIP,1
ALAD,1
ALAS1,1
ALAS2,0
ALB,1
ALCAM,1
ALDH16A1,1
ALDH18A1,1
ALDH1A1,0
ALDH1A2,0
ALDH1A3,0
ALDH1B1,1
ALDH1L1,1
ALDH1L2,0
ALDH2,1
ALDH3A1,1
ALDH3A2,1
ALDH3B1,1
ALDH3B2,0
ALDH4A1,1
ALDH5A1,1
ALDH6A1,1
ALDH7A1,1
ALDH8A1,0
ALDH9A1,1
ALDOA,1
ALDOB,0
ALDOC,1
ALG1,1
ALG10,1
ALG10B,1
ALG11,1
ALG12,1
ALG13,1
ALG14,1
ALG1L,1
ALG1L2,0
ALG2,1
ALG3,1
ALG5,1
ALG6,1
ALG8,1
ALG9,1
ALK,0
ALKBH1,1
ALKBH2,1
ALKBH3,1
ALKBH4,1
ALKBH5,1
ALKBH6,1
ALKBH7,1
ALKBH8,1
ALLC,1
ALMS1,1
ALMS1P,0
ALOX12,0
ALOX12B,0
ALOX12P2,1
ALOX15,0
ALOX15B,1
ALOX15P1,0
ALOX5,1
ALOX5AP,0
ALOXE3,1
ALPI,0
ALPK1,1
ALPK2,0
ALPK3,0
ALPL,0
ALPP,0
ALPPL2,0
ALS2,1
ALS2CL,1
ALS2CR11,0
ALS2CR12,1
ALX1,0
ALX3,0
ALX4,0
ALYREF,1
AMACR,1
AMBN,0
AMBP,1
AMBRA1,0
AMD1,1
AMDHD1,1
AMDHD2,1
AMDP1,0
AMELX,0
AMELY,0
AMER1,1
AMER2,0
AMER3,0
AMFR,0
AMH,1
AMHR2,0
AMICA1,1
AMIGO1,1
AMIGO2,1
AMIGO3,1
AMMECR1,0
AMMECR1L,1
AMN,1
AMN1,1
AMOT,0
AMOTL1,1
AMOTL2,1
AMPD1,0
AMPD2,1
AMPD3,0
AMPH,1
AMT,1
AMTN,0
AMY1A,0
AMY1B,0
AMY1C,0
AMY2A,0
AMY2B,0
AMZ1,0
AMZ2,1
AMZ2P1,1
ANAPC1,1
ANAPC10,1
ANAPC11,1
ANAPC13,1
ANAPC15,1
ANAPC16,1
ANAPC2,1
ANAPC4,1
ANAPC5,1
ANAPC7,1
ANG,1
ANGEL1,1
ANGEL2,1
ANGPT1,0
ANGPT2,0
ANGPT4,0
ANGPTL1,1
ANGPTL2,1
ANGPTL3,0
ANGPTL4,1
ANGPTL5,0
ANGPTL6,1
ANGPTL7,0
ANK1,0
ANK2,1
ANK3,0
ANKAR,1
ANKDD1A,0
ANKDD1B,0
ANKEF1,0
ANKFN1,0
ANKFY1,1
ANKH,0
ANKHD1,1
ANKHD1-EIF4EBP3,1
ANKIB1,1
ANKK1,0
ANKLE1,1
ANKLE2,1
ANKMY1,0
ANKMY2,1
ANKRA2,1
ANKRD1,1
ANKRD10,1
ANKRD11,1
ANKRD12,1
ANKRD13A,1
ANKRD13B,1
ANKRD13C,1
ANKRD13D,1
ANKRD16,1
ANKRD17,1
ANKRD18A,1
ANKRD18B,0
ANKRD18DP,1
ANKRD19P,1
ANKRD2,1
ANKRD20A1,0
ANKRD20A11P,0
ANKRD20A2,0
ANKRD20A3,0
ANKRD20A4,0
ANKRD20A5P,0
ANKRD20A8P,0
ANKRD20A9P,0
ANKRD22,1
ANKRD23,0
ANKRD24,1
ANKRD26,1
ANKRD26P1,0
ANKRD26P3,0
ANKRD27,1
ANKRD28,1
ANKRD29,0
ANKRD30A,0
ANKRD30B,0
ANKRD30BL,0
ANKRD30BP2,0
ANKRD31,1
ANKRD32,1
ANKRD33,0
ANKRD33B,1
ANKRD34A,1
ANKRD34B,0
ANKRD34C,0
ANKRD35,0
ANKRD36,1
ANKRD36B,1
ANKRD36BP1,0
ANKRD36BP2,0
ANKRD37,1
ANKRD39,1
ANKRD40,1
ANKRD42,1
ANKRD44,0
ANKRD45,0
ANKRD46,1
ANKRD49,1
ANKRD50,1
ANKRD52,1
ANKRD53,0
ANKRD54,1
ANKRD55,0
ANKRD6,0
ANKRD60,0
ANKRD61,0
ANKRD62P1-PARP4P3,0
ANKRD63,1
ANKRD65,1
ANKRD7,0
ANKRD9,1
ANKS1A,1
ANKS1B,0
ANKS3,1
ANKS4B,1
ANKS6,0
ANKUB1,0
ANKZF1,1
ANLN,1
ANO1,1
ANO10,0
ANO2,0
ANO3,0
ANO4,0
ANO5,1
ANO6,1
ANO7,0
ANO8,1
ANO9,0
ANP32A,1
ANP32A-IT1,0
ANP32AP1,0
ANP32B,1
ANP32C,0
ANP32D,0
ANP32E,1
ANPEP,1
ANTXR1,0
ANTXR2,1
ANTXRL,1
ANXA1,1
ANXA10,0
ANXA11,1
ANXA13,0
ANXA2,1
ANXA2P1,0
ANXA2P2,0
ANXA2P3,0
ANXA2R,1
ANXA3,1
ANXA4,1
ANXA5,1
ANXA6,1
ANXA7,1
ANXA8,0
ANXA8L1,0
ANXA9,1
AOAH,0
AOC2,1
AOC3,1
AOC4P,1
AOX1,1
AOX2P,0
AP1AR,1
AP1B1,1
AP1B1P1,0
AP1G1,1
AP1G2,1
AP1M1,1
AP1M2,0
AP1S1,0
AP1S2,1
AP1S3,1
AP2A1,1
AP2A2,0
AP2B1,1
AP2M1,1
AP2S1,1
AP3B1,1
AP3B2,1
AP3D1,0
AP3M1,1
AP3M2,1
AP3S1,1
AP3S2,1
AP4B1,1
AP4E1,1
AP4M1,1
AP4S1,1
AP5B1,0
AP5M1,1
AP5S1,1
AP5Z1,1
APAF1,1
APBA1,0
APBA2,1
APBA3,1
APBB1,0
APBB1IP,1
APBB2,1
APBB3,1
APC,1
APC2,0
APCDD1,0
APCDD1L,0
APCS,0
APEH,1
APEX1,1
APEX2,0
APH1A,1
APH1B,0
API5,1
APIP,1
APITD1,1
APITD1-CORT,1
APLF,1
APLN,1
APLNR,0
APLP1,0
APLP2,1
APMAP,1
APOA1,1
APOA1BP,1
APOA2,1
APOA4,0
APOA5,1
APOB,1
APOBEC1,0
APOBEC2,0
APOBEC3A,0
APOBEC3B,1
APOBEC3C,1
APOBEC3D,1
APOBEC3F,1
APOBEC3G,1
APOBEC3H,1
APOBEC4,1
APOBR,1
APOC1,1
APOC1P1,1
APOC2,1
APOC3,1
APOC4,0
APOC4-APOC2,0
APOD,0
APOE,1
APOF,1
APOH,1
APOL1,1
APOL2,1
APOL3,0
APOL4,1
APOL5,0
APOL6,1
APOLD1,1
APOM,1
APOO,1
APOOL,1
APOPT1,1
APP,1
APPBP2,1
APPL1,1
APPL2,1
APRT,1
APTX,1
AQP1,0
AQP10,0
AQP11,1
AQP12A,0
AQP12B,0
AQP2,0
AQP3,1
AQP4,0
AQP4-AS1,1
AQP5,1
AQP6,1
AQP7,0
AQP7P1,0
AQP7P3,0
AQP8,0
AQP9,0
AQPEP,0
AQR,1
AR,0
ARAF,0
ARAP1,1
ARAP2,1
ARAP3,1
ARC,1
ARCN1,1
AREG,0
AREL1,1
ARF1,1
ARF3,1
ARF4,1
ARF5,1
ARF6,1
ARFGAP1,1
ARFGAP2,1
ARFGAP3,1
ARFGEF1,1
ARFGEF2,1
ARFIP1,1
ARFIP2,1
ARFRP1,1
ARG1,1
ARG2,1
ARGFX,0
ARGFXP2,0
ARGLU1,0
ARHGAP1,1
ARHGAP10,1
ARHGAP11A,1
ARHGAP11B,1
ARHGAP12,1
ARHGAP15,1
ARHGAP17,1
ARHGAP18,1
ARHGAP19,1
ARHGAP19-SLIT1,1
ARHGAP20,0
ARHGAP21,1
ARHGAP22,1
ARHGAP23,1
ARHGAP24,1
ARHGAP25,1
ARHGAP26,0
ARHGAP27,1
ARHGAP28,0
ARHGAP29,1
ARHGAP30,1
ARHGAP31,1
ARHGAP32,0
ARHGAP33,0
ARHGAP35,0
ARHGAP36,0
ARHGAP39,0
ARHGAP4,1
ARHGAP40,0
ARHGAP42,1
ARHGAP44,0
ARHGAP5,1
ARHGAP5-AS1,1
ARHGAP6,0
ARHGAP8,1
ARHGAP9,1
ARHGDIA,1
ARHGDIB,1
ARHGDIG,0
ARHGEF1,1
ARHGEF10,1
ARHGEF10L,0
ARHGEF11,0
ARHGEF12,1
ARHGEF15,0
ARHGEF16,1
ARHGEF17,1
ARHGEF18,0
ARHGEF19,1
ARHGEF2,1
ARHGEF25,0
ARHGEF26,0
ARHGEF26-AS1,0
ARHGEF28,1
ARHGEF3,1
ARHGEF33,0
ARHGEF35,1
ARHGEF37,1
ARHGEF38,0
ARHGEF39,1
ARHGEF4,0
ARHGEF40,1
ARHGEF5,1
ARHGEF6,0
ARHGEF7,0
ARHGEF9,0
ARID1A,1
ARID1B,1
ARID2,1
ARID3A,1
ARID3B,1
ARID3C,0
ARID4A,1
ARID4B,1
ARID5A,1
ARID5B,1
ARIH1,1
ARIH2,1
ARIH2OS,1
ARL1,1
ARL10,0
ARL11,1
ARL13A,0
ARL13B,0
ARL14,0
ARL14EP,1
ARL14EPL,0
ARL15,1
ARL16,1
ARL17A,1
ARL2,1
ARL2-SNX15,1
ARL2BP,1
ARL3,1
ARL4A,1
ARL4C,0
ARL4D,1
ARL5A,1
ARL5B,1
ARL5C,0
ARL6,1
ARL6IP1,1
ARL6IP4,1
ARL6IP5,1
ARL6IP6,1
ARL8A,1
ARL8B,1
ARL9,0
ARMC1,1
ARMC10,1
ARMC12,0
ARMC2,1
ARMC3,0
ARMC4,0
ARMC5,1
ARMC6,1
ARMC7,1
ARMC8,1
ARMC9,1
ARMCX1,0
ARMCX2,0
ARMCX3,1
ARMCX4,0
ARMCX5,1
ARMCX5-GPRASP2,1
ARMCX6,0
ARMS2,0
ARNT,1
ARNT2,0
ARNTL,0
ARNTL2,1
ARPC1A,1
ARPC1B,1
ARPC2,1
ARPC3,1
ARPC4,1
ARPC4-TTLL3,1
ARPC5,1
ARPC5L,1
ARPIN,0
ARPP19,1
ARPP21,0
ARR3,0
ARRB1,1
ARRB2,1
ARRDC1,1
ARRDC1-AS1,1
ARRDC2,1
ARRDC3,1
ARRDC4,1
ARRDC5,0
ARSA,0
ARSB,1
ARSD,1
ARSE,0
ARSF,1
ARSG,1
ARSH,0
ARSI,0
ARSJ,1
ARSK,1
ART1,0
ART3,1
ART4,1
ART5,0
ARTN,1
ARV1,1
ARVCF,0
ARX,0
AS3MT,1
ASAH1,1
ASAH2,1
ASAH2B,1
ASAP1,1
ASAP1-IT1,0
ASAP2,1
ASAP3,0
ASB1,1
ASB10,0
ASB11,0
ASB12,0
ASB13,1
ASB14,0
ASB15,0
ASB16,0
ASB16-AS1,1
ASB17,0
ASB18,0
ASB2,1
ASB3,1
ASB4,0
ASB5,1
ASB6,1
ASB7,1
ASB8,1
ASB9,1
ASB9P1,0
ASCC1,1
ASCC2,1
ASCC3,1
ASCL1,1
ASCL2,0
ASCL3,0
ASCL4,0
ASCL5,0
ASF1A,1
ASF1B,1
ASGR1,1
ASGR2,1
ASH1L,1
ASH2L,1
ASIC1,1
ASIC2,0
ASIC3,1
ASIC4,0
ASIC5,0
ASIP,0
ASL,1
ASMT,0
ASMTL-AS1,0
ASNA1,1
ASNS,1
ASNSD1,1
ASPA,1
ASPDH,0
ASPG,0
ASPH,1
ASPHD1,1
ASPHD2,1
ASPM,1
ASPN,1
ASPRV1,0
ASPSCR1,1
ASRGL1,0
ASS1,1
ASTE1,1
ASTL,1
ASTN1,0
ASTN2,0
ASUN,1
ASXL1,1
ASXL2,1
ASXL3,0
ASZ1,0
ATAD1,1
ATAD2,1
ATAD2B,1
ATAD3A,1
ATAD3B,1
ATAD3C,0
ATAD5,1
ATAT1,0
ATCAY,0
ATE1,1
ATF1,1
ATF2,1
ATF3,1
ATF4,1
ATF5,1
ATF6,1
ATF6B,1
ATF7,1
ATF7IP,1
ATF7IP2,1
ATG10,1
ATG101,1
ATG12,1
ATG13,1
ATG14,1
ATG16L1,1
ATG16L2,1
ATG2A,1
ATG2B,1
ATG3,1
ATG4A,0
ATG4B,1
ATG4C,1
ATG4D,1
ATG5,1
ATG7,0
ATG9A,1
ATG9B,0
ATHL1,0
ATIC,1
ATL1,1
ATL2,1
ATL3,1
ATM,1
ATMIN,1
ATN1,1
ATOH1,1
ATOH7,0
ATOH8,0
ATOX1,1
ATP10A,0
ATP10B,0
ATP10D,1
ATP11A,1
ATP11AUN,0
ATP11B,1
ATP11C,1
ATP12A,0
ATP13A1,1
ATP13A2,1
ATP13A3,0
ATP13A4,0
ATP13A5,0
ATP1A1,1
ATP1A1-AS1,1
ATP1A2,0
ATP1A3,1
ATP1A4,0
ATP1B1,1
ATP1B2,0
ATP1B3,1
ATP1B4,0
ATP2A1,0
ATP2A2,1
ATP2A3,0
ATP2B1,0
ATP2B2,0
ATP2B3,0
ATP2B4,1
ATP2C1,1
ATP2C2,0
ATP4A,0
ATP4B,0
ATP5A1,1
ATP5B,1
ATP5C1,1
ATP5D,1
ATP5E,1
ATP5EP2,0
ATP5F1,1
ATP5G1,1
ATP5G2,1
ATP5G3,1
ATP5H,1
ATP5I,1
ATP5J,1
ATP5J2,1
ATP5J2-PTCD1,1
ATP5L,1
ATP5L2,1
ATP5O,1
ATP5S,1
ATP5SL,1
ATP6AP1,1
ATP6AP1L,0
ATP6AP2,1
ATP6V0A1,1
ATP6V0A2,1
ATP6V0A4,0
ATP6V0B,1
ATP6V0C,1
ATP6V0CP3,1
ATP6V0D1,1
ATP6V0D2,0
ATP6V0E1,1
ATP6V0E2,1
ATP6V1A,1
ATP6V1B1,0
ATP6V1B2,0
ATP6V1C1,1
ATP6V1C2,0
ATP6V1D,1
ATP6V1E1,1
ATP6V1E2,1
ATP6V1F,0
ATP6V1G1,1
ATP6V1G2,1
ATP6V1G3,0
ATP6V1H,1
ATP7A,1
ATP7B,1
ATP8A1,1
ATP8A2,0
ATP8B1,1
ATP8B2,1
ATP8B3,1
ATP8B4,0
ATP8B5P,0
ATP9A,1
ATP9B,1
ATPAF1,1
ATPAF2,1
ATPIF1,1
ATR,1
ATRAID,1
ATRIP,1
ATRN,1
ATRNL1,0
ATRX,0
ATXN1,1
ATXN10,0
ATXN1L,1
ATXN2,1
ATXN2L,1
ATXN3,1
ATXN3L,0
ATXN7,1
ATXN7L1,0
ATXN7L2,1
ATXN7L3,1
ATXN7L3B,1
ATXN8OS,0
AUH,1
AUNIP,1
AUP1,1
AURKA,1
AURKAIP1,1
AURKAPS1,0
AURKB,1
AURKC,0
AUTS2,0
AVEN,1
AVIL,1
AVL9,1
AVP,0
AVPI1,1
AVPR1A,0
AVPR1B,0
AVPR2,1
AWAT1,0
AWAT2,0
AXDND1,1
AXIN1,0
AXIN2,1
AXL,0
AZGP1,0
AZGP1P1,0
AZI2,1
AZIN1,1
AZU1,0
B2M,1
B3GALNT1,0
B3GALNT2,1
B3GALT1,1
B3GALT2,0
B3GALT4,1
B3GALT5,0
B3GALT6,1
B3GALTL,1
B3GAT1,0
B3GAT2,1
B3GAT3,1
B3GNT1,1
B3GNT2,1
B3GNT3,1
B3GNT4,0
B3GNT5,1
B3GNT6,1
B3GNT7,1
B3GNT8,0
B3GNT9,1
B3GNTL1,1
B4GALNT1,0
B4GALNT2,0
B4GALNT3,0
B4GALNT4,0
B4GALT1,1
B4GALT2,1
B4GALT3,1
B4GALT4,1
B4GALT5,1
B4GALT6,1
B4GALT7,1
B9D1,1
B9D2,1
BAALC,0
BAALCOS,0
BAAT,0
BABAM1,1
BACE1,1
BACE1-AS,0
BACE2,1
BACH1,0
BACH2,0
BAD,1
BAG1,1
BAG2,1
BAG3,1
BAG4,1
BAG5,1
BAG6,0
BAGE,1
BAGE2,1
BAGE3,1
BAGE4,1
BAGE5,1
BAHCC1,0
BAHD1,0
BAI1,0
BAI2,1
BAI3,0
BAIAP2,1
BAIAP2L1,1
BAIAP2L2,0
BAIAP3,0
BAK1,1
BAMBI,0
BANF1,1
BANF2,0
BANK1,1
BANP,1
BAP1,1
BARD1,1
BARHL1,1
BARHL2,0
BARX1,1
BARX2,0
BASP1,1
BASP1P1,0
BATF,1
BATF2,1
BATF3,1
BAX,1
BAZ1A,1
BAZ1B,1
BAZ2A,1
BAZ2B,1
BBC3,1
BBIP1,1
BBOX1,0
BBS1,1
BBS10,1
BBS12,1
BBS2,1
BBS4,1
BBS5,1
BBS7,0
BBS9,0
BBX,1
BCAM,1
BCAN,0
BCAP29,1
BCAP31,0
BCAR1,1
BCAR3,1
BCAR4,0
BCAS1,1
BCAS2,1
BCAS3,1
BCAS4,1
BCAT1,1
BCAT2,1
BCCIP,1
BCDIN3D,1
BCHE,0
BCKDHA,1
BCKDHB,1
BCKDK,1
BCL10,1
BCL11A,0
BCL11B,0
BCL2,1
BCL2A1,1
BCL2L1,1
BCL2L10,0
BCL2L11,1
BCL2L12,1
BCL2L13,1
BCL2L14,0
BCL2L15,1
BCL2L2,1
BCL2L2-PABPN1,1
BCL3,1
BCL6,1
BCL6B,1
BCL7A,1
BCL7B,1
BCL7C,1
BCL9,1
BCL9L,1
BCLAF1,1
BCO1,0
BCO2,0
BCOR,1
BCORL1,0
BCORP1,0
BCR,1
BCRP2,0
BCRP3,0
BCS1L,1
BCYRN1,0
BDH1,1
BDH2,1
BDKRB1,1
BDKRB2,1
BDNF,0
BDNF-AS,1
BDP1,1
BEAN1,1
BECN1,1
BEGAIN,0
BEND2,0
BEND3,1
BEND4,0
BEND5,0
BEND6,1
BEND7,0
BEST1,1
BEST2,0
BEST3,0
BEST4,1
BET1,1
BET1L,1
BEX1,1
BEX2,0
BEX4,0
BEX5,0
BFAR,1
BFSP1,1
BFSP2,1
BGLAP,0
BGN,0
BHLHA15,1
BHLHA9,0
BHLHB9,1
BHLHE22,0
BHLHE23,0
BHLHE40,1
BHLHE41,1
BHMT,0
BHMT2,1
BICC1,0
BICD1,1
BICD2,1
BID,0
BIK,1
BIN1,1
BIN2,1
BIN3,1
BIRC2,1
BIRC3,1
BIRC5,1
BIRC6,1
BIRC7,0
BIRC8,0
BIVM,1
BIVM-ERCC5,0
BLCAP,1
BLID,0
BLK,1
BLM,1
BLMH,1
BLNK,1
BLOC1S1,1
BLOC1S1-RDH5,1
BLOC1S2,1
BLOC1S3,1
BLOC1S4,1
BLOC1S5,1
BLOC1S5-TXNDC5,1
BLOC1S6,1
BLVRA,1
BLVRB,0
BLZF1,1
BMF,1
BMI1,1
BMP1,0
BMP10,0
BMP15,0
BMP2,0
BMP2K,1
BMP3,0
BMP4,1
BMP5,0
BMP6,0
BMP7,0
BMP8A,0
BMP8B,0
BMPER,0
BMPR1A,1
BMPR1B,1
BMPR2,1
BMS1,1
BMS1P4,1
BMS1P5,0
BMX,0
BNC1,1
BNC2,1
BNIP1,1
BNIP2,1
BNIP3,1
BNIP3L,1
BNIPL,0
BOC,0
BOD1,1
BOD1L1,1
BOD1L2,0
BOK,1
BOK-AS1,1
BOLA1,1
BOLA2,1
BOLA2B,1
BOLA3,1
BOLA3-AS1,1
BOLL,0
BOP1,1
BORA,1
BPESC1,0
BPGM,1
BPHL,1
BPI,0
BPIFA1,0
BPIFA2,0
BPIFA3,0
BPIFA4P,0
BPIFB1,1
BPIFB2,1
BPIFB3,0
BPIFB4,0
BPIFB6,0
BPIFC,0
BPNT1,1
BPTF,1
BRAF,1
