GeneSym,ENCODE_2015,Pinar_2025,any
FDFT1,1,NA,1
PGM1,1,NA,1
AGAP9,0,NA,0
MPV17,1,NA,1
ZNF425,1,NA,1
WWC3,0,NA,0
NDUFS7,1,NA,1
SYNJ2BP,1,NA,1
EPAS1,1,NA,1
SLC4A11,0,NA,0
ANKRD24,1,NA,1
FLT3LG,1,NA,1
LINC01341,NA,NA,0
FABP3,1,NA,1
ENSG00000228327.4,NA,NA,0
GUSBP11,1,NA,1
CIRBP,1,NA,1
CCRL2,0,NA,0
PICK1,1,NA,1
PDC-AS1,NA,NA,0
CBX7,1,NA,1
CHST3,1,NA,1
ATP5F1E,NA,NA,0
ZNF879,0,NA,0
AFF4,1,NA,1
CDKL1,1,NA,1
ZNF736,0,NA,0
ENSG00000238035.8,NA,NA,0
AMOT,0,NA,0
SUV39H1,0,NA,0
SEC14L5,1,NA,1
CYB5B,1,NA,1
RAD51-AS1,NA,NA,0
TUBB4A,0,NA,0
FAM13A-AS1,0,NA,0
TMEM245,1,NA,1
DIAPH1,1,NA,1
PDHA1,1,NA,1
PRSS46P,NA,NA,0
RAI2,0,NA,0
RNF128,1,NA,1
XBP1,1,NA,1
LPIN1,1,NA,1
SUN2,1,NA,1
TFEB,1,NA,1
IAH1,1,NA,1
ALKBH1,1,NA,1
CLK4,1,NA,1
ENSG00000277758.6,NA,NA,0
BACE1-AS,0,NA,0
PCCB,1,NA,1
NPHP3,1,NA,1
TFDP2,0,NA,0
AMPD1,0,NA,0
FUCA2,1,NA,1
AGMAT,1,NA,1
NUMBL,1,NA,1
SRSF11,1,NA,1
HCCS,0,NA,0
ACOT2,1,NA,1
ZFAND5,1,NA,1
GGCT,1,NA,1
ZC3H3,1,NA,1
DDX11,1,NA,1
RNF10,1,NA,1
TOMM34,1,NA,1
NSUN2,1,NA,1
ARHGAP6,0,NA,0
KLF3,1,NA,1
CLPTM1L,1,NA,1
MRTO4,1,NA,1
MCUR1,1,NA,1
MON2,1,NA,1
ENSA,1,NA,1
DYNC2I1,NA,NA,0
METTL22,1,NA,1
RAB35,1,NA,1
ISOC1,1,NA,1
MASP1,1,NA,1
ARF1,1,NA,1
HSD17B10,0,NA,0
NFKB2,1,NA,1
SLC25A3,1,NA,1
HSP90AA1,1,NA,1
SRPRB,0,NA,0
SDF4,1,NA,1
CHRNA10,0,NA,0
MUL1,1,NA,1
MRPS30,1,NA,1
CDKN1C,1,NA,1
CTTN,1,NA,1
FH,1,NA,1
OSGEP,1,NA,1
RPA1,1,NA,1
MYO9B,1,NA,1
DESI1,1,NA,1
HES1,1,1,1
TRMU,1,NA,1
DOK5,0,NA,0
ABHD12,1,NA,1
CEBPZ,1,NA,1
HM13,1,NA,1
CMC2,1,NA,1
STX4,1,NA,1
TSNAX,1,NA,1
C19orf44,0,NA,0
PCDH8,0,NA,0
PRUNE2,1,NA,1
CAMSAP2,1,NA,1
CDK5RAP2,1,NA,1
ZPR1,1,NA,1
RAB5C,1,NA,1
DTX4,1,NA,1
HSPA8,1,NA,1
PITPNM1,1,NA,1
SMARCA5,1,NA,1
GPN3,1,NA,1
ATP5F1B,NA,NA,0
MTRF1L,1,NA,1
ATP6V0E1,1,NA,1
MARK1,1,NA,1
IGFBP2,0,NA,0
ATP5PB,NA,NA,0
SATB2,0,1,1
ZDHHC5,1,NA,1
UCHL3,1,NA,1
TMEM214,1,NA,1
TCTN3,1,NA,1
CUTC,1,NA,1
ESYT3,1,NA,1
ENY2,1,NA,1
COPA,1,NA,1
ADAMTSL4,0,NA,0
GTF3A,1,NA,1
NDUFAF4,1,NA,1
ANXA11,1,NA,1
ATAD3B,1,NA,1
RAB9B,0,NA,0
TIMM8A,1,NA,1
NYAP2,0,NA,0
KTN1,1,NA,1
PKMYT1,1,NA,1
HIVEP3,0,NA,0
FAM50B,1,NA,1
MMUT,NA,NA,0
UBA1,1,NA,1
ASB10,0,NA,0
EXOSC2,0,NA,0
CKMT2,1,NA,1
RLIM,1,NA,1
DPH2,1,NA,1
THUMPD3,1,NA,1
EIF4EBP2,1,NA,1
LAMTOR5,1,NA,1
NARS1,NA,NA,0
LRPAP1,1,NA,1
PSMB7,1,NA,1
SMPD4BP,NA,NA,0
GRHPR,1,NA,1
NUBPL,1,NA,1
APTX,1,NA,1
TTLL7,0,NA,0
FDX1,1,NA,1
ABI2,1,NA,1
ABCA6,0,NA,0
PIP4P1,NA,NA,0
SRP14,1,NA,1
FBH1,NA,NA,0
SNRPF,1,NA,1
KIFC3,1,NA,1
MIEN1,1,NA,1
TMEM237,1,NA,1
SLC14A1,0,NA,0
NUDT13,1,NA,1
AKT1,0,NA,0
PRDM15,1,NA,1
ARHGAP36,0,NA,0
DCDC2,1,NA,1
MRPS28,1,NA,1
VLDLR,1,NA,1
C16orf86,0,NA,0
PRDX2,1,NA,1
AOPEP,NA,NA,0
THAP12,NA,NA,0
SLC25A4,1,NA,1
ZYG11B,0,NA,0
ADGRF4,NA,NA,0
SPSB3,1,NA,1
C18orf25,0,NA,0
DDAH1,1,NA,1
CEP112,1,NA,1
ZNF507,1,NA,1
PXYLP1,0,NA,0
SLC16A1,1,NA,1
NPTN,1,NA,1
EIF5B,1,NA,1
NEK10,1,NA,1
MIX23,NA,NA,0
LIMS1,1,NA,1
KIAA1143,1,NA,1
SHKBP1,1,NA,1
DCXR,1,NA,1
KALRN,0,NA,0
SLC25A44,1,NA,1
STX8,1,NA,1
SELENON,NA,NA,0
AFG3L2,1,NA,1
CHCHD4,1,NA,1
STT3B,1,NA,1
FRMD3,1,NA,1
RPTOR,1,NA,1
IL31RA,0,NA,0
ZNF614,1,NA,1
COG5,1,NA,1
CTSB,1,NA,1
RPL36AL,1,NA,1
FUNDC2,1,NA,1
RET,0,NA,0
C16orf91,0,NA,0
RAPSN,0,NA,0
LMO1,0,NA,0
ABTB2,1,NA,1
PPP2R2D,0,NA,0
SCN3B,0,NA,0
TOMM5,1,NA,1
APBB1,0,NA,0
WSB2,0,NA,0
SRRM3,1,NA,1
GLUD1,1,NA,1
TMEM43,1,NA,1
THOP1,1,NA,1
ZNF366,1,NA,1
TUFM,1,NA,1
FAM83B,1,NA,1
ESRRA,1,NA,1
UQCRH,1,NA,1
FKRP,0,NA,0
ATP5MK,NA,NA,0
SPTBN2,1,NA,1
NRROS,1,NA,1
YIF1A,1,NA,1
DRAP1,1,NA,1
MRPS22,1,NA,1
FAM210A,1,NA,1
B3GALT6,1,NA,1
MAMDC4,1,NA,1
CMC4,1,NA,1
ZBTB42,1,NA,1
ABCA5,1,NA,1
COX5A,1,NA,1
KCND3,0,NA,0
TRAK1,1,NA,1
SLC25A18,0,NA,0
MAFA,1,NA,1
MYADML2,0,NA,0
NOC4L,1,NA,1
ADAMTSL5,0,NA,0
CHP1,1,NA,1
FSD2,1,NA,1
RRP7A,1,NA,1
C15orf61,0,NA,0
WDR45,1,NA,1
ENTPD7,0,NA,0
NOC2L,1,NA,1
EIF1AY,0,NA,0
LRRC37A,NA,NA,0
IARS1,NA,NA,0
DENND4B,1,NA,1
GDI1,0,NA,0
ZNF394,1,NA,1
LCAT,1,NA,1
POLE,1,1,1
SLC35B4,1,NA,1
SRA1,1,1,1
SLC35F6,1,NA,1
NDUFS3,1,NA,1
ENTPD4,1,NA,1
WSCD1,0,NA,0
SMTNL1,0,NA,0
ZBED1,0,NA,0
CITED4,1,NA,1
PHB2,1,1,1
MARCHF5,NA,NA,0
NUTM2A-AS1,NA,NA,0
PRF1,0,NA,0
UCN,1,NA,1
ANKRD28,1,NA,1
GLRX5,1,NA,1
ITIH4-AS1,NA,NA,0
AQP1,0,NA,0
ZNF623,1,NA,1
ARPC4,1,NA,1
RPLP0P2,0,NA,0
MGC16275,0,NA,0
DSTNP2,0,NA,0
ENSG00000248538.9,NA,NA,0
TMEM158,0,NA,0
ENSG00000252690.3,NA,NA,0
TEDC1,NA,NA,0
ENSG00000257252.6,NA,NA,0
DANCR,1,NA,1
BOP1,1,NA,1
ERVK13-1,0,NA,0
USP54,1,NA,1
LINC02185,NA,NA,0
BOLA2-SMG1P6,NA,NA,0
NNMT,1,NA,1
NFE2L1-DT,NA,NA,0
RRAD,1,NA,1
RGS9BP,1,NA,1
OST4,1,NA,1
TIMM23,1,NA,1
ENSG00000272789.1,NA,NA,0
CYFIP1,1,NA,1
ENSG00000272918.1,NA,NA,0
PLIN4,0,NA,0
ORAI1,1,NA,1
NATD1,0,NA,0
TGFB2-AS1,NA,NA,0
ENSG00000284747.1,NA,NA,0
ENSG00000288832.1,NA,NA,0
ENSG00000286067.1,NA,NA,0
SEMA3F,0,NA,0
CDKN2AIP,1,NA,1
ZBED5,1,NA,1
SP3,1,NA,1
RBM5,1,NA,1
FLNC-AS1,NA,NA,0
COL4A6,1,NA,1
MEF2C-AS1,NA,NA,0
FBXL3,1,NA,1
NPIPB12,NA,NA,0
CREBBP,0,NA,0
NUDT16,1,NA,1
MAP3K2,0,NA,0
ARHGAP44,0,NA,0
GTF2IRD1,1,NA,1
HNRNPA3,1,NA,1
AASS,0,NA,0
EMSY-DT,NA,NA,0
CYTH3,1,NA,1
FAM229B,1,NA,1
ANOS1,NA,NA,0
LDAF1,NA,NA,0
MATR3,1,NA,1
COPRS,1,NA,1
C1QTNF9B,0,NA,0
PIAS1,1,NA,1
SLC48A1,0,NA,0
COPS9,NA,NA,0
MIR133A1HG,NA,NA,0
ARID1B,1,NA,1
ENSG00000272447.1,NA,NA,0
ENSG00000272384.1,NA,NA,0
CDK17,1,NA,1
KMT2C,1,NA,1
VCPIP1,1,NA,1
SRP72,1,NA,1
BICRA,NA,NA,0
CTSA,1,NA,1
ENSG00000277196.4,NA,NA,0
VPS35,1,NA,1
DHRS11,1,NA,1
TGFBR3,0,1,1
ENSG00000279164.1,NA,NA,0
OSBPL3,1,NA,1
UBE2D1,0,NA,0
GRAMD4,0,NA,0
NT5C2,1,NA,1
AMPH,1,NA,1
TOP2B,1,NA,1
ADCY2,0,NA,0
MCCC1,1,NA,1
ENSG00000287059.1,NA,NA,0
PPP2R5C,0,NA,0
ITCH,1,NA,1
SELENOP,NA,NA,0
SAR1A,1,NA,1
PHLPP1,1,NA,1
ULK2,1,NA,1
WBP11,1,NA,1
C1orf112,0,NA,0
ARHGAP33,0,NA,0
RPUSD1,1,NA,1
NOS2,0,NA,0
ADAM22,1,NA,1
DNAJC11,1,NA,1
CELSR3,1,NA,1
MAVS,1,NA,1
CYB561,1,NA,1
NCAPD2,1,NA,1
C17orf113,NA,NA,0
HEATR5B,1,NA,1
LARS2,1,NA,1
SNAP23,1,NA,1
IFFO1,1,NA,1
POLA2,1,NA,1
IKZF5,1,NA,1
RFFL,1,NA,1
ABCC2,1,NA,1
ZDHHC6,1,NA,1
UBR2,1,NA,1
WASHC2A,NA,NA,0
ABL1,1,1,1
RANBP3,1,NA,1
IZUMO4,1,NA,1
SH3YL1,1,NA,1
ASTE1,1,NA,1
SF3A1,1,NA,1
TUBG2,1,NA,1
TFIP11,1,NA,1
XK,0,NA,0
OFD1,1,NA,1
DDX17,1,NA,1
LTBP1,0,NA,0
HMOX1,1,NA,1
TOM1,1,NA,1
SNW1,1,NA,1
MSMO1,1,NA,1
BRD1,0,NA,0
TARBP1,1,NA,1
DICER1,1,NA,1
TRAF1,1,NA,1
DHRS7,1,NA,1
ZNF112,1,NA,1
DIDO1,1,NA,1
TM7SF3,1,NA,1
MED29,1,NA,1
RFXANK,1,NA,1
LITAF,1,NA,1
NTHL1,1,NA,1
ENSG00000287978.1,NA,NA,0
GOLGA5,1,NA,1
SMARCA1,1,NA,1
ATXN3,1,NA,1
ATP1B4,0,NA,0
STOML1,1,NA,1
SLC7A6,1,NA,1
LAS1L,1,NA,1
SEL1L,1,NA,1
FBXO31,1,NA,1
FRMPD1,0,NA,0
SIDT1,1,NA,1
MRPS34,1,NA,1
GSDMB,0,NA,0
BCS1L,1,NA,1
MED26,1,NA,1
HTT,1,NA,1
NFYA,1,NA,1
ALDH3B1,1,NA,1
ANKRD27,1,NA,1
FAM76B,1,NA,1
BBC3,1,NA,1
PMS2P1,1,NA,1
HPN,1,NA,1
PALS2,NA,NA,0
ITSN2,1,NA,1
SLC35C2,1,NA,1
HBP1,1,NA,1
WASL,1,NA,1
MASP2,1,NA,1
H2AZ2,NA,NA,0
RBL1,1,NA,1
UBE2R2,1,NA,1
EIF4H,1,1,1
SEMA5B,0,NA,0
PDLIM1,1,1,1
CAD,1,NA,1
MKS1,1,NA,1
PILRA,0,NA,0
MED13,1,NA,1
ALG6,1,NA,1
ATXN7L3,1,NA,1
EPB41L1,0,NA,0
EDEM2,1,NA,1
COQ9,1,NA,1
C3orf18,0,NA,0
HIPK3,1,NA,1
PRDM11,0,NA,0
ZNF302,1,NA,1
USP48,1,NA,1
CC2D1A,1,NA,1
NUP98,1,NA,1
CEP85L,1,NA,1
ALDH2,1,NA,1
TBC1D2,1,NA,1
FBXL19,1,NA,1
ERBIN,NA,NA,0
SPDL1,1,NA,1
GGT1,1,NA,1
PRPF4B,1,NA,1
PPIL2,1,NA,1
MFNG,1,NA,1
CEP72,0,NA,0
PPM1F,0,NA,0
CERT1,NA,NA,0
RAD51,1,NA,1
DEPDC5,1,NA,1
GHR,0,NA,0
GGA1,1,NA,1
TTC17,1,NA,1
TCERG1,1,NA,1
CHKB,1,NA,1
L3MBTL2,1,NA,1
XRN1,1,NA,1
SYNGR1,0,NA,0
PLEKHH1,1,NA,1
CBLB,1,NA,1
STK4,1,NA,1
HDAC7,1,NA,1
NDRG3,1,NA,1
CLIP4,1,NA,1
NCL,1,NA,1
FHL2,0,NA,0
PORCN,0,NA,0
SF3B1,1,NA,1
KIF3B,1,NA,1
NUP93,1,NA,1
BIRC6,1,NA,1
ZNF629,1,NA,1
SRSF4,1,NA,1
DHODH,1,NA,1
FGF22,0,NA,0
CENPT,1,NA,1
CTH,1,NA,1
RNF19B,1,NA,1
ZNF821,1,NA,1
