contrast,collection,database,set_id,set,set_short,set_size,set_size_DB,size_ratio,set_size_in_input,input_size,background_size,p_value,adj_p_value
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15487,PTMSIGDB_PERT-P100-DIA2_BYL719,PTMSIGDB_PERT-P100-DIA2_BYL719,59,141,0.418,25,3836,15818,0.001633337,0.016885513
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15530,PTMSIGDB_PERT-P100-DIA2_IPI145,PTMSIGDB_PERT-P100-DIA2_IPI145,81,202,0.401,32,3836,15818,0.001636328,0.016885513
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15587,PTMSIGDB_PERT-P100-DIA2_VERAPAMIL,PTMSIGDB_PERT-P100-DIA2_VERAPAMIL,78,169,0.462,31,3836,15818,0.001714572,0.017324325
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15536,PTMSIGDB_PERT-P100-DIA2_LAPATINIB,PTMSIGDB_PERT-P100-DIA2_LAPATINIB,85,208,0.409,33,3836,15818,0.001963992,0.019439508
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15282,PTMSIGDB_KINASE-iKiP_MAPKAPK5,PTMSIGDB_KINASE-iKiP_MAPKAPK5,60,141,0.426,25,3836,15818,0.002163629,0.020693482
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15509,PTMSIGDB_PERT-P100-DIA2_ENDOTHELIN,PTMSIGDB_PERT-P100-DIA2_ENDOTHELIN,79,204,0.387,31,3836,15818,0.002176016,0.020693482
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15519,PTMSIGDB_PERT-P100-DIA2_FLECAINIDE,PTMSIGDB_PERT-P100-DIA2_FLECAINIDE,89,204,0.436,34,3836,15818,0.002322132,0.021658346
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15575,PTMSIGDB_PERT-P100-DIA2_TAXOL,PTMSIGDB_PERT-P100-DIA2_TAXOL,70,183,0.383,28,3836,15818,0.002507892,0.022949581
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15586,PTMSIGDB_PERT-P100-DIA2_VEMURAFENIB,PTMSIGDB_PERT-P100-DIA2_VEMURAFENIB,64,150,0.427,26,3836,15818,0.002728048,0.024501909
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15503,PTMSIGDB_PERT-P100-DIA2_DAUNORUBICIN,PTMSIGDB_PERT-P100-DIA2_DAUNORUBICIN,100,262,0.382,37,3836,15818,0.002934359,0.025875708
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15153,PTMSIGDB_KINASE-iKiP_CDK5-CDK5R1p25,PTMSIGDB_KINASE-iKiP_CDK5-CDK5R1p25,74,190,0.389,29,3836,15818,0.003041624,0.026342634
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15281,PTMSIGDB_KINASE-iKiP_MAPKAPK3,PTMSIGDB_KINASE-iKiP_MAPKAPK3,52,167,0.311,22,3836,15818,0.003107116,0.026437739
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15271,PTMSIGDB_KINASE-iKiP_MAPK11,PTMSIGDB_KINASE-iKiP_MAPK11,81,212,0.382,31,3836,15818,0.003424468,0.02863564
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15588,PTMSIGDB_PERT-P100-DIA2_VERTEPORFIN,PTMSIGDB_PERT-P100-DIA2_VERTEPORFIN,88,195,0.451,33,3836,15818,0.003764075,0.030941976
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-PSP,15644,PTMSIGDB_PERT-PSP_EGF,PTMSIGDB_PERT-PSP_EGF,56,165,0.339,23,3836,15818,0.003974142,0.032124314
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15572,PTMSIGDB_PERT-P100-DIA2_SP600125,PTMSIGDB_PERT-P100-DIA2_SP600125,72,158,0.456,28,3836,15818,0.004040953,0.03212889
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15571,PTMSIGDB_PERT-P100-DIA2_SOTRASTAURIN,PTMSIGDB_PERT-P100-DIA2_SOTRASTAURIN,82,170,0.482,31,3836,15818,0.004248577,0.033234835
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15490,PTMSIGDB_PERT-P100-DIA2_CALPAIN_INHIBITOR_II,PTMSIGDB_PERT-P100-DIA2_CALPAIN_INHIBITOR_II,66,139,0.475,26,3836,15818,0.004481658,0.033904381
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15561,PTMSIGDB_PERT-P100-DIA2_ROLIPRAM,PTMSIGDB_PERT-P100-DIA2_ROLIPRAM,79,164,0.482,30,3836,15818,0.004508757,0.033904381
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14920,PTMSIGDB_KINASE-PSP_DYRK1A,PTMSIGDB_KINASE-PSP_DYRK1A,13,39,0.333,8,3836,15818,0.004601625,0.033904381
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15498,PTMSIGDB_PERT-P100-DIA2_CRIZOTINIB,PTMSIGDB_PERT-P100-DIA2_CRIZOTINIB,89,234,0.38,33,3836,15818,0.004613792,0.033904381
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15146,PTMSIGDB_KINASE-iKiP_CDK1-CCNB1,PTMSIGDB_KINASE-iKiP_CDK1-CCNB1,93,253,0.368,34,3836,15818,0.005261908,0.038089931
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15148,PTMSIGDB_KINASE-iKiP_CDK2-CCNA2,PTMSIGDB_KINASE-iKiP_CDK2-CCNA2,48,151,0.318,20,3836,15818,0.005780984,0.041232016
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-PSP,15723,PTMSIGDB_PERT-PSP_UV,PTMSIGDB_PERT-PSP_UV,16,84,0.19,9,3836,15818,0.006002393,0.042190732
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14965,PTMSIGDB_KINASE-PSP_JNK2/MAPK9,PTMSIGDB_KINASE-PSP_JNK2/MAPK9,11,62,0.177,7,3836,15818,0.006297379,0.043631841
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15486,PTMSIGDB_PERT-P100-DIA2_BOSUTINIB,PTMSIGDB_PERT-P100-DIA2_BOSUTINIB,111,259,0.429,39,3836,15818,0.006413754,0.04381226
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15541,PTMSIGDB_PERT-P100-DIA2_MILRINONE,PTMSIGDB_PERT-P100-DIA2_MILRINONE,91,211,0.431,33,3836,15818,0.006803296,0.045827757
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15583,PTMSIGDB_PERT-P100-DIA2_UNC-0646,PTMSIGDB_PERT-P100-DIA2_UNC-0646,65,145,0.448,25,3836,15818,0.007514743,0.049926718
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15480,PTMSIGDB_PERT-P100-DIA2_BELINOSTAT,PTMSIGDB_PERT-P100-DIA2_BELINOSTAT,46,111,0.414,19,3836,15818,0.007875512,0.051616531
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15528,PTMSIGDB_PERT-P100-DIA2_IBRUTINIB,PTMSIGDB_PERT-P100-DIA2_IBRUTINIB,82,207,0.396,30,3836,15818,0.008322407,0.053614303
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15557,PTMSIGDB_PERT-P100-DIA2_REGORAFENIB,PTMSIGDB_PERT-P100-DIA2_REGORAFENIB,99,253,0.391,35,3836,15818,0.008505891,0.053614303
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-PSP,15720,PTMSIGDB_PERT-PSP_TORIN1,PTMSIGDB_PERT-PSP_TORIN1,9,12,0.75,6,3836,15818,0.008511961,0.053614303
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15523,PTMSIGDB_PERT-P100-DIA2_GOSSYPETIN,PTMSIGDB_PERT-P100-DIA2_GOSSYPETIN,69,155,0.445,26,3836,15818,0.008804166,0.05474385
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15570,PTMSIGDB_PERT-P100-DIA2_SORAFENIB,PTMSIGDB_PERT-P100-DIA2_SORAFENIB,80,209,0.383,29,3836,15818,0.010787175,0.065549938
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15500,PTMSIGDB_PERT-P100-DIA2_CYCLOSPORINE,PTMSIGDB_PERT-P100-DIA2_CYCLOSPORINE,104,240,0.433,36,3836,15818,0.01108867,0.065549938
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15485,PTMSIGDB_PERT-P100-DIA2_BORTEZOMIB,PTMSIGDB_PERT-P100-DIA2_BORTEZOMIB,57,141,0.404,22,3836,15818,0.011198144,0.065549938
Muscle_only,PTMSIGDB,PTMSIGDB_DISEASE-PSP,14811,PTMSIGDB_DISEASE-PSP_clear_cell_kidney_cancer,PTMSIGDB_DISEASE-PSP_clear_cell_kidney_cancer,7,10,0.7,5,3836,15818,0.011217824,0.065549938
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-PRM,15615,PTMSIGDB_PERT-P100-PRM_VORINOSTAT,PTMSIGDB_PERT-P100-PRM_VORINOSTAT,7,8,0.875,5,3836,15818,0.011217824,0.065549938
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15154,PTMSIGDB_KINASE-iKiP_CDK5-CDK5R1p35,PTMSIGDB_KINASE-iKiP_CDK5-CDK5R1p35,67,186,0.36,25,3836,15818,0.011567316,0.066001746
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15529,PTMSIGDB_PERT-P100-DIA2_IMATINIB,PTMSIGDB_PERT-P100-DIA2_IMATINIB,67,170,0.394,25,3836,15818,0.011567316,0.066001746
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15478,PTMSIGDB_PERT-P100-DIA2_AXITINIB,PTMSIGDB_PERT-P100-DIA2_AXITINIB,112,279,0.401,38,3836,15818,0.01312998,0.072616631
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14902,PTMSIGDB_KINASE-PSP_CK1D/CSNK1D,PTMSIGDB_KINASE-PSP_CK1D/CSNK1D,5,81,0.062,4,3836,15818,0.013924426,0.072616631
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14989,PTMSIGDB_KINASE-PSP_MKK6/MAP2K6,PTMSIGDB_KINASE-PSP_MKK6/MAP2K6,5,10,0.5,4,3836,15818,0.013924426,0.072616631
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,15019,PTMSIGDB_KINASE-PSP_P38G/MAPK12,PTMSIGDB_KINASE-PSP_P38G/MAPK12,5,27,0.185,4,3836,15818,0.013924426,0.072616631
Muscle_only,PTMSIGDB,PTMSIGDB_PATH-NP,15455,PTMSIGDB_PATH-NP_TNF_ALPHA_PATHWAY,PTMSIGDB_PATH-NP_TNF_ALPHA_PATHWAY,5,13,0.385,4,3836,15818,0.013924426,0.072616631
Muscle_only,PTMSIGDB,PTMSIGDB_PATH-NP,15456,PTMSIGDB_PATH-NP_TSH_PATHWAY,PTMSIGDB_PATH-NP_TSH_PATHWAY,5,13,0.385,4,3836,15818,0.013924426,0.072616631
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-PRM,15606,PTMSIGDB_PERT-P100-PRM_KN-93,PTMSIGDB_PERT-P100-PRM_KN-93,5,5,1,4,3836,15818,0.013924426,0.072616631
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-PSP,15629,PTMSIGDB_PERT-PSP_ARSENITE,PTMSIGDB_PERT-PSP_ARSENITE,5,9,0.556,4,3836,15818,0.013924426,0.072616631
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15544,PTMSIGDB_PERT-P100-DIA2_NICLOSAMIDE,PTMSIGDB_PERT-P100-DIA2_NICLOSAMIDE,55,118,0.466,21,3836,15818,0.01488676,0.076809347
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15559,PTMSIGDB_PERT-P100-DIA2_RGFP966,PTMSIGDB_PERT-P100-DIA2_RGFP966,82,161,0.509,29,3836,15818,0.01554854,0.079379388
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15489,PTMSIGDB_PERT-P100-DIA2_CABOZANTINIB,PTMSIGDB_PERT-P100-DIA2_CABOZANTINIB,86,188,0.457,30,3836,15818,0.017180387,0.08571938
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15494,PTMSIGDB_PERT-P100-DIA2_CHIR99021,PTMSIGDB_PERT-P100-DIA2_CHIR99021,59,148,0.399,22,3836,15818,0.017320617,0.08571938
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15532,PTMSIGDB_PERT-P100-DIA2_JQ1-S,PTMSIGDB_PERT-P100-DIA2_JQ1-S,59,131,0.45,22,3836,15818,0.017320617,0.08571938
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15569,PTMSIGDB_PERT-P100-DIA2_SMER-3,PTMSIGDB_PERT-P100-DIA2_SMER-3,76,157,0.484,27,3836,15818,0.017965103,0.088010857
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15535,PTMSIGDB_PERT-P100-DIA2_KU-55933,PTMSIGDB_PERT-P100-DIA2_KU-55933,56,110,0.509,21,3836,15818,0.018498686,0.089718627
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-PSP,15691,PTMSIGDB_PERT-PSP_OKADAIC_ACID,PTMSIGDB_PERT-PSP_OKADAIC_ACID,13,41,0.317,7,3836,15818,0.020563813,0.098747023
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15505,PTMSIGDB_PERT-P100-DIA2_DEXAMETHASONE,PTMSIGDB_PERT-P100-DIA2_DEXAMETHASONE,50,115,0.435,19,3836,15818,0.02104852,0.099019924
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15547,PTMSIGDB_PERT-P100-DIA2_OLAPARIB,PTMSIGDB_PERT-P100-DIA2_OLAPARIB,50,103,0.485,19,3836,15818,0.02104852,0.099019924
Muscle_only,PTMSIGDB,PTMSIGDB_PATH-NP,15457,PTMSIGDB_PATH-NP_TSLP_PATHWAY,PTMSIGDB_PATH-NP_TSLP_PATHWAY,60,182,0.33,22,3836,15818,0.021233138,0.099019924
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-PSP,14964,PTMSIGDB_KINASE-PSP_JNK1/MAPK8,PTMSIGDB_KINASE-PSP_JNK1/MAPK8,19,161,0.118,9,3836,15818,0.023688843,0.108776757
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15289,PTMSIGDB_KINASE-iKiP_MELK,PTMSIGDB_KINASE-iKiP_MELK,8,25,0.32,5,3836,15818,0.023963532,0.108776757
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15227,PTMSIGDB_KINASE-iKiP_HIPK3,PTMSIGDB_KINASE-iKiP_HIPK3,22,37,0.595,10,3836,15818,0.023998171,0.108776757
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15524,PTMSIGDB_PERT-P100-DIA2_GSK-J4,PTMSIGDB_PERT-P100-DIA2_GSK-J4,41,80,0.512,16,3836,15818,0.025306604,0.112977582
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15182,PTMSIGDB_KINASE-iKiP_DYRK1A,PTMSIGDB_KINASE-iKiP_DYRK1A,78,154,0.506,27,3836,15818,0.025390838,0.112977582
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15493,PTMSIGDB_PERT-P100-DIA2_CERITINIB,PTMSIGDB_PERT-P100-DIA2_CERITINIB,85,215,0.395,29,3836,15818,0.025682438,0.113236202
Muscle_only,PTMSIGDB,PTMSIGDB_KINASE-iKiP,15356,PTMSIGDB_KINASE-iKiP_PRKD3,PTMSIGDB_KINASE-iKiP_PRKD3,32,112,0.286,13,3836,15818,0.029790621,0.129546946
Muscle_only,PTMSIGDB,PTMSIGDB_PERT-P100-DIA2,15565,PTMSIGDB_PERT-P100-DIA2_SCH_900776,PTMSIGDB_PERT-P100-DIA2_SCH_900776,93,201,0.463,31,3836,15818,0.029915996,0.129546946
