"Cluster","EdgeBetweenness","interaction","modality","name","Peak_chr","Peak_end","Peak_start","regulator_id","selected","shared interaction","shared name","site","source","strand","Target_gene_id","target_id","TF_id","tissue","Weight"
,"22450.59999999821","binds","","IRF2 (binds) PIM1","chr6","37161482","37160832","","false","binds","IRF2 (binds) PIM1","","MAGICAL","+","ENSG00000137193.14","","ENSG00000168310.11","",
,"295273.6772019453","binds","","MEF2A (binds) OGDH","chr7","44671402","44671123","","false","binds","MEF2A (binds) OGDH","","MAGICAL","+","ENSG00000105953.16","","ENSG00000068305.18","",
"13","609621.9065657106","regulates","RE","NFIC (regulates) TAF5","",,,"P08651_S333s","false","regulates","NFIC (regulates) TAF5","S333s","SCION","","","ENSG00000148835.12","","muscle","0.22163983755992"
,"6378.059090909279","binds","","MEF2A (binds) ETS2","chr21","38823302","38822754","","false","binds","MEF2A (binds) ETS2","","MAGICAL","+","ENSG00000157557.13","","ENSG00000068305.18","",
"3","253610.29015016812","regulates","RE","NFIC (regulates) NFKBIA","",,,"P08651_S333sS339s","false","regulates","NFIC (regulates) NFKBIA","S333sS339s","SCION","","","ENSG00000100906.11","","muscle","0.101010187458275"
"13","590784.6667578454","regulates","RE","NFIC (regulates) MEPCE","",,,"P08651_S333s","false","regulates","NFIC (regulates) MEPCE","S333s","SCION","","","ENSG00000146834.14","","muscle","0.217408215322608"
,"6158.04201680632","binds","","MEF2A (binds) IRS2","chr13","109757126","109756551","","false","binds","MEF2A (binds) IRS2","","MAGICAL","-","ENSG00000185950.9","","ENSG00000068305.18","",
,"9766055.033931272","binds","","ELF1 (binds) FOSL2","chr2","28407518","28406738","","false","binds","ELF1 (binds) FOSL2","","MAGICAL","+","ENSG00000075426.12","","ENSG00000120690.16","",
"5","1185443.0883116648","regulates","RE","NFIB (regulates) UBALD1","",,,"O00712_S264s","false","regulates","NFIB (regulates) UBALD1","S264s","SCION","","","ENSG00000153443.13","","muscle","0.175280809077533"
,"18983.50000000029","binds","","IRF2 (binds) IRS2","chr13","109881338","109880167","","false","binds","IRF2 (binds) IRS2","","MAGICAL","-","ENSG00000185950.9","","ENSG00000168310.11","",
"13","73072.07619048054","regulates","RE","NFIC (regulates) RHOB","",,,"P08651_S333s","false","regulates","NFIC (regulates) RHOB","S333s","SCION","","","ENSG00000143878.10","","muscle","0.142536013845691"
,"14170.749999998628","binds","","IRF2 (binds) ABRA","chr8","106758387","106757106","","false","binds","IRF2 (binds) ABRA","","MAGICAL","-","ENSG00000174429.4","","ENSG00000168310.11","",
,"5842886.281263843","binds","","ELF1 (binds) NR4A1","chr12","52052246","52052046","","false","binds","ELF1 (binds) NR4A1","","MAGICAL","+","ENSG00000123358.20","","ENSG00000120690.16","",
"5","87346.12784992997","regulates","RE","NFIB (regulates) HOMER1","",,,"O00712_S264s","false","regulates","NFIB (regulates) HOMER1","S264s","SCION","","","ENSG00000152413.15","","muscle","0.144937055069047"
,"645031.5556849956","binds","","NR4A1 (binds) PLCL2","chr3","16809350","16808399","","false","binds","NR4A1 (binds) PLCL2","","MAGICAL","+","ENSG00000154822.18","","ENSG00000123358.20","",
"5","1082179.5602456543","regulates","RE","NFIB (regulates) OGT","",,,"O00712_S264s","false","regulates","NFIB (regulates) OGT","S264s","SCION","","","ENSG00000147162.14","","muscle","0.103430147760063"
,"275701.57674355095","binds","","FOSL2 (binds) GNA13","chr17","64989616","64989145","","false","binds","FOSL2 (binds) GNA13","","MAGICAL","-","ENSG00000120063.10","","ENSG00000075426.12","",
"11","23890.519107557124","regulates","EE","MEF2A (regulates) KLHL41","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) KLHL41","S98s","SCION","","","ENSG00000239474.7","","muscle","0.347546641116693"
"11","495144.2878788081","regulates","EE","MEF2A (regulates) SNHG7","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) SNHG7","S98s","SCION","","","ENSG00000233016.8","","muscle","0.127723575378404"
,"899442.945135419","binds","","NR4A1 (binds) CRIM1","chr2","36428042","36427302","","false","binds","NR4A1 (binds) CRIM1","","MAGICAL","+","ENSG00000150938.10","","ENSG00000123358.20","",
,"412695.2955904717","binds","","NR4A1 (binds) GNA13","chr17","64989616","64989145","","false","binds","NR4A1 (binds) GNA13","","MAGICAL","-","ENSG00000120063.10","","ENSG00000123358.20","",
"11","47332.618131863135","regulates","EE","MEF2A (regulates) CEBPD","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) CEBPD","S98sT108t","SCION","","","ENSG00000221869.5","","muscle","0.265603336769623"
"13","364231.02009169396","regulates","RE","NFIC (regulates) TBC1D4","",,,"P08651_S333s","false","regulates","NFIC (regulates) TBC1D4","S333s","SCION","","","ENSG00000136111.14","","muscle","0.115119334051208"
"11","992612.4666666451","regulates","EE","MEF2A (regulates) BRD2","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) BRD2","S98sT108t","SCION","","","ENSG00000204256.14","","muscle","0.263172402976436"
,"14662.931818183204","binds","","KLF9 (binds) ETS2","chr21","38821561","38820532","","false","binds","KLF9 (binds) ETS2","","MAGICAL","+","ENSG00000157557.13","","ENSG00000119138.5","",
,"12333.530952382238","binds","","CEBPD (binds) OST4","chr2","27011203","27010644","","false","binds","CEBPD (binds) OST4","","MAGICAL","-","ENSG00000228474.6","","ENSG00000221869.5","",
"13","507752.06673880987","regulates","RE","NFIC (regulates) EPC2","",,,"P08651_S333s","false","regulates","NFIC (regulates) EPC2","S333s","SCION","","","ENSG00000135999.12","","muscle","0.310874499516121"
,"249494.78683095385","binds","","NR4A1 (binds) LIMS1","chr2","108595498","108594169","","false","binds","NR4A1 (binds) LIMS1","","MAGICAL","+","ENSG00000169756.16","","ENSG00000123358.20","",
"11","1025424.1960785602","regulates","EE","MEF2A (regulates) MCMBP","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) MCMBP","S98sT108t","SCION","","","ENSG00000197771.13","","muscle","0.101417125271699"
,"369569.3676993694","binds","","FOSL2 (binds) BAG3","chr10","119678795","119678388","","false","binds","FOSL2 (binds) BAG3","","MAGICAL","+","ENSG00000151929.10","","ENSG00000075426.12","",
,"307947.65477267245","binds","","NR4A1 (binds) ARPP19","chr15","52558704","52558094","","false","binds","NR4A1 (binds) ARPP19","","MAGICAL","-","ENSG00000128989.11","","ENSG00000123358.20","",
"11","128184.5940476075","regulates","EE","MEF2A (regulates) TLE1","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) TLE1","S98sT108t","SCION","","","ENSG00000196781.16","","muscle","0.250866467484905"
"5","1155390.2609723636","regulates","RE","NFIB (regulates) HLX","",,,"O00712_S264s","false","regulates","NFIB (regulates) HLX","S264s","SCION","","","ENSG00000136630.13","","muscle","0.105991273379708"
,"224610.73678624482","binds","","FOSL2 (binds) ARPP19","chr15","52558704","52558094","","false","binds","FOSL2 (binds) ARPP19","","MAGICAL","-","ENSG00000128989.11","","ENSG00000075426.12","",
"6","9449034.04879381","regulates","EE","NFIC (regulates) NFIB","",,,"P08651_S343s","false","regulates","NFIC (regulates) NFIB","S343s","SCION","","","ENSG00000147862.18","","muscle","0.132575480909018"
,"35620.119380620155","binds","","CEBPD (binds) OSBPL8","chr12","76589509","76588761","","false","binds","CEBPD (binds) OSBPL8","","MAGICAL","-","ENSG00000091039.17","","ENSG00000221869.5","",
"11","1008336.1468252852","regulates","EE","MEF2A (regulates) ZC3H6","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) ZC3H6","S98sT108t","SCION","","","ENSG00000188177.14","","muscle","0.17062874844489"
,"18207.953544495344","binds","","CEBPD (binds) ARPP19","chr15","52482237","52481402","","false","binds","CEBPD (binds) ARPP19","","MAGICAL","-","ENSG00000128989.11","","ENSG00000221869.5","",
"5","269849.0596570126","regulates","RE","NFIB (regulates) CEMIP2","",,,"O00712_S264s","false","regulates","NFIB (regulates) CEMIP2","S264s","SCION","","","ENSG00000135048.14","","muscle","0.132542879745994"
,"573121.9733044654","binds","","NR4A1 (binds) HOMER1","chr5","79490266","79489860","","false","binds","NR4A1 (binds) HOMER1","","MAGICAL","-","ENSG00000152413.15","","ENSG00000123358.20","",
"4","971110.1777777041","regulates","EE","NFIB (regulates) SH3BGR","",,,"O00712_S333s","false","regulates","NFIB (regulates) SH3BGR","S333s","SCION","","","ENSG00000185437.15","","muscle","0.127294040887092"
,"99005.89989176739","binds","","FOSL2 (binds) NEDD4","chr15","55909965","55909123","","false","binds","FOSL2 (binds) NEDD4","","MAGICAL","-","ENSG00000069869.17","","ENSG00000075426.12","",
,"13401.32738095155","binds","","CEBPD (binds) TMEM214","chr2","27011203","27010644","","false","binds","CEBPD (binds) TMEM214","","MAGICAL","+","ENSG00000119777.20","","ENSG00000221869.5","",
"11","19510.672802197747","regulates","EE","MEF2A (regulates) PRR14L","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) PRR14L","S98s","SCION","","","ENSG00000183530.14","","muscle","0.167674599713097"
,"10558.653921569403","binds","","CEBPD (binds) CPEB4","chr5","173964430","173962338","","false","binds","CEBPD (binds) CPEB4","","MAGICAL","+","ENSG00000113742.14","","ENSG00000221869.5","",
"11","495539.1212121187","regulates","EE","MEF2A (regulates) TNRC18","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) TNRC18","S98sT108t","SCION","","","ENSG00000182095.15","","muscle","0.132304568711231"
,"569504.3103174928","binds","","NR4A1 (binds) SIK2","chr11","111695361","111694802","","false","binds","NR4A1 (binds) SIK2","","MAGICAL","+","ENSG00000170145.5","","ENSG00000123358.20","",
"11","915040.1119048123","regulates","EE","MEF2A (regulates) PCBP1-AS1","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) PCBP1-AS1","S98s","SCION","","","ENSG00000179818.16","","muscle","0.153189132930888"
,"3.437109858913723E7","binds","","KLF9 (binds) FOSL2","chr2","28407518","28406738","","false","binds","KLF9 (binds) FOSL2","","MAGICAL","+","ENSG00000075426.12","","ENSG00000119138.5","",
,"13217.96880952458","binds","","CEBPD (binds) NEAT1","chr11","65428579","65427766","","false","binds","CEBPD (binds) NEAT1","","MAGICAL","+","ENSG00000245532.10","","ENSG00000221869.5","",
"11","3756131.7095141415","regulates","EE","MEF2A (regulates) ZBTB7A","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) ZBTB7A","S98s","SCION","","","ENSG00000178951.9","","muscle","0.321849395420161"
"11","4783570.0932126595","regulates","EE","MEF2A (regulates) ZHX2","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) ZHX2","S98sT108t","SCION","","","ENSG00000178764.8","","muscle","0.13679590829976"
,"234734.7020641666","binds","","NR4A1 (binds) DIAPH1","chr5","141617484","141617284","","false","binds","NR4A1 (binds) DIAPH1","","MAGICAL","-","ENSG00000131504.18","","ENSG00000123358.20","",
,"77397.75621833964","binds","","FOSL2 (binds) ACSL1","chr4","184794052","184792423","","false","binds","FOSL2 (binds) ACSL1","","MAGICAL","-","ENSG00000151726.15","","ENSG00000075426.12","",
"11","498726.4175114719","regulates","EE","MEF2A (regulates) JUN","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) JUN","S98sT108t","SCION","","","ENSG00000177606.8","","muscle","0.21935016749133"
,"1.1293097509636104E7","regulates","EE","HES1 (regulates) NFIB","",,,"Q14469_S12s","false","regulates","HES1 (regulates) NFIB","S12s","SCION","","","ENSG00000147862.18","","muscle","0.148958428847938"
,"2.1573216847614627E7","binds","","KLF9 (binds) NR4A1","chr12","52059897","52059484","","false","binds","KLF9 (binds) NR4A1","","MAGICAL","+","ENSG00000123358.20","","ENSG00000119138.5","",
"10","6961.236111110785","regulates","EE","TMF1 (regulates) LINC00476","",,,"P82094_S344s","false","regulates","TMF1 (regulates) LINC00476","S344s","SCION","","","ENSG00000175611.13","","muscle","0.147194678998954"
,"11193.820512820816","binds","","CEBPD (binds) PDK4","chr7","95629426","95628141","","false","binds","CEBPD (binds) PDK4","","MAGICAL","-","ENSG00000004799.8","","ENSG00000221869.5","",
"11","1481065.639604523","regulates","EE","MEF2A (regulates) NR1D2","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) NR1D2","S98sT108t","SCION","","","ENSG00000174738.13","","muscle","0.105792831597672"
,"112561.8266827009","binds","","FOSL2 (binds) TP53BP2","chr1","223887218","223886495","","false","binds","FOSL2 (binds) TP53BP2","","MAGICAL","-","ENSG00000143514.17","","ENSG00000075426.12","",
"13","478560.5037618227","regulates","RE","NFIC (regulates) KLF9","",,,"P08651_S333s","false","regulates","NFIC (regulates) KLF9","S333s","SCION","","","ENSG00000119138.5","","muscle","0.148509768852693"
"11","746406.6598885023","regulates","EE","MEF2A (regulates) PPP1R3B","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) PPP1R3B","S98sT108t","SCION","","","ENSG00000173281.5","","muscle","0.129035558197339"
,"206006.13260073678","binds","","NR4A1 (binds) SLC25A30","chr13","45434142","45432847","","false","binds","NR4A1 (binds) SLC25A30","","MAGICAL","-","ENSG00000174032.17","","ENSG00000123358.20","",
,"524298.4955829293","binds","","NR4A1 (binds) USP31","chr16","23124728","23124075","","false","binds","NR4A1 (binds) USP31","","MAGICAL","-","ENSG00000103404.15","","ENSG00000123358.20","",
"11","9450.716450215605","regulates","EE","MEF2A (regulates) JMJD1C","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) JMJD1C","S98sT108t","SCION","","","ENSG00000171988.20","","muscle","0.174485426824513"
"11","249279.88291925364","regulates","EE","MEF2A (regulates) TRIM8","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) TRIM8","S98sT108t","SCION","","","ENSG00000171206.15","","muscle","0.124457409975839"
"4","30160.220833332678","regulates","EE","NFIB (regulates) SLC25A30","",,,"O00712_S333s","false","regulates","NFIB (regulates) SLC25A30","S333s","SCION","","","ENSG00000174032.17","","muscle","0.189729141494825"
,"151376.74921238463","binds","","NR4A1 (binds) CPEB4","chr5","173790009","173788991","","false","binds","NR4A1 (binds) CPEB4","","MAGICAL","+","ENSG00000113742.14","","ENSG00000123358.20","",
"11","14715.755555556243","regulates","EE","MEF2A (regulates) PKIA","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) PKIA","S98sT108t","SCION","","","ENSG00000171033.13","","muscle","0.11173411655035"
"11","997452.5095238171","regulates","EE","MEF2A (regulates) RNF139","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) RNF139","S98s","SCION","","","ENSG00000170881.5","","muscle","0.12305555976454"
,"363757.6023809684","binds","","FOSL2 (binds) ASB5","chr4","176188000","176187402","","false","binds","FOSL2 (binds) ASB5","","MAGICAL","-","ENSG00000164122.9","","ENSG00000075426.12","",
"11","49036.7122835486","regulates","EE","MEF2A (regulates) E2F6","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) E2F6","S98s","SCION","","","ENSG00000169016.17","","muscle","0.115669465669405"
"11","50086.99375902093","regulates","EE","MEF2A (regulates) SEMA4C","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) SEMA4C","S98s","SCION","","","ENSG00000168758.11","","muscle","0.116274103637399"
"5","775589.3652255812","regulates","RE","NFIB (regulates) TBC1D15","",,,"O00712_S264s","false","regulates","NFIB (regulates) TBC1D15","S264s","SCION","","","ENSG00000121749.16","","muscle","0.340176210626433"
,"55363.09558823076","binds","","FOSL2 (binds) CPEB4","chr5","173955581","173954255","","false","binds","FOSL2 (binds) CPEB4","","MAGICAL","+","ENSG00000113742.14","","ENSG00000075426.12","",
,"123062.73479854003","binds","","NR4A1 (binds) LMCD1","chr3","8551896","8551628","","false","binds","NR4A1 (binds) LMCD1","","MAGICAL","+","ENSG00000071282.12","","ENSG00000123358.20","",
"5","56245.68290238891","regulates","RE","NFIB (regulates) GNA13","",,,"O00712_S264s","false","regulates","NFIB (regulates) GNA13","S264s","SCION","","","ENSG00000120063.10","","muscle","0.129481884074247"
"11","1320212.5659535057","regulates","EE","MEF2A (regulates) IRF2","",,,"Q02078_S98sT108t","false","regulates","MEF2A (regulates) IRF2","S98sT108t","SCION","","","ENSG00000168310.11","","muscle","0.137919470777825"
,"234701.82261904515","binds","","NR4A1 (binds) ANKRD1","chr10","90989386","90988445","","false","binds","NR4A1 (binds) ANKRD1","","MAGICAL","-","ENSG00000148677.7","","ENSG00000123358.20","",
"13","585497.5716449926","regulates","RE","NFIC (regulates) CEP85L","",,,"P08651_S333s","false","regulates","NFIC (regulates) CEP85L","S333s","SCION","","","ENSG00000111860.14","","muscle","0.16486433940138"
,"238819.9884453787","binds","","FOSL2 (binds) PIM1","chr6","37240788","37239894","","false","binds","FOSL2 (binds) PIM1","","MAGICAL","+","ENSG00000137193.14","","ENSG00000075426.12","",
"13","170563.95912697903","regulates","RE","NFIC (regulates) NUP98","",,,"P08651_S333s","false","regulates","NFIC (regulates) NUP98","S333s","SCION","","","ENSG00000110713.17","","muscle","0.279191287956292"
,"32842.81245862102","binds","","FOSL2 (binds) LMCD1","chr3","8518538","8518117","","false","binds","FOSL2 (binds) LMCD1","","MAGICAL","+","ENSG00000071282.12","","ENSG00000075426.12","",
,"427626.426587315","binds","","NR4A1 (binds) RND3","chr2","150473092","150472084","","false","binds","NR4A1 (binds) RND3","","MAGICAL","-","ENSG00000115963.14","","ENSG00000123358.20","",
"11","5345.0","regulates","EE","MEF2A (regulates) OTUD1","",,,"Q02078_S98s","false","regulates","MEF2A (regulates) OTUD1","S98s","SCION","","","ENSG00000165312.7","","muscle","0.262877392387372"
