"feature_id","tissue","assay","Notes","Control_pre_exercise","Control_during_20_min","Control_during_40_min","Control_post_10_min","Control_post_15_30_45_min","Control_post_3.5_4_hr","Control_post_24_hr","Endur_pre_exercise","Endur_during_20_min","Endur_during_40_min","Endur_post_10_min","Endur_post_15_30_45_min","Endur_post_3.5_4_hr","Endur_post_24_hr","Resist_pre_exercise","Resist_post_10_min","Resist_post_15_30_45_min","Resist_post_3.5_4_hr","Resist_post_24_hr"
"N1-Acetylspermidine","blood","metab-u-hilicpos","",37,36,37,34,37,16,19,65,63,58,64,64,28,33,72,68,72,35,38
"Inosine","blood","metab-u-hilicpos","",37,36,37,34,37,16,19,65,63,58,64,64,28,33,72,68,72,35,38
"Lactic acid","blood","metab-u-ionpneg","",37,36,36,33,37,15,19,65,60,56,63,62,28,33,72,68,71,35,37
"Pyruvic acid","blood","metab-u-ionpneg","",37,36,36,33,37,15,19,65,60,56,63,62,28,33,72,68,71,35,37
"Hypoxanthine","blood","metab-u-ionpneg","",37,36,36,33,37,15,19,65,60,56,63,62,28,33,72,68,71,35,37
"Malic acid","blood","metab-u-ionpneg","",37,36,36,33,37,15,19,65,60,56,63,62,28,33,72,68,71,35,37
"CAR 11:0","blood","metab-u-lrppos","",37,36,37,34,37,16,19,65,63,58,64,64,28,33,72,68,72,35,38
"3-Hydroxybutyric acid","blood","metab-u-rpneg","",37,35,37,34,37,16,19,62,63,58,64,62,28,33,70,67,71,35,37
"Spermidine","blood","metab-u-rppos","",37,36,37,34,37,16,19,63,62,58,62,63,28,33,70,67,70,34,38
"OID20762","blood","prot-ol","CX3CL1",12,12,12,12,12,7,7,13,14,12,14,12,5,7,18,16,18,8,7
"OID21368","blood","prot-ol","CCN1",12,12,12,12,12,7,7,13,14,12,14,12,5,7,18,16,18,8,7
"OID20684","blood","prot-ol","TIMP3",12,12,12,12,12,7,7,13,14,12,14,12,5,7,18,16,18,8,7
"OID20726","blood","prot-ol","ANGPT2",12,12,12,12,12,7,7,13,14,12,14,12,5,7,18,16,18,8,7
"MYC","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"SIPA1L3","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"NR4A1","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"NR4A2","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"NEDD9","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"NFKBIZ","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"CRK","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"PI3KCA","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"GRB10","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"PTPN1","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"SDCBP","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"HLX","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"INPP4B","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"HSPH1","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"HNRNPU","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"DYRK1A","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"HSP90AA1","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"TAMALIN","blood","transcript-rna-seq","",33,31,35,33,35,15,19,58,56,54,59,60,27,28,66,61,68,33,36
"Carnitine","adipose","metab-u-hilicpos","",37,NA,NA,NA,10,16,11,61,NA,NA,NA,16,26,20,73,NA,16,34,17
"Glutamic acid","adipose","metab-u-hilicpos","",37,NA,NA,NA,10,16,11,61,NA,NA,NA,16,26,20,73,NA,16,34,17
"PC 33:2","adipose","metab-u-hilicpos","",37,NA,NA,NA,10,16,11,61,NA,NA,NA,16,26,20,73,NA,16,34,17
"Lactic acid","adipose","metab-u-ionpneg","",37,NA,NA,NA,10,15,11,58,NA,NA,NA,16,25,20,70,NA,14,33,17
"O60716-3_S920s","adipose","prot-ph","CTNND1 pS920",4,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,6,NA,7,NA,NA,7,NA
"Q53EU6_S68s","adipose","prot-ph","GPAT3 pS68",5,NA,NA,NA,NA,5,NA,8,NA,NA,NA,NA,5,NA,6,NA,NA,7,NA
"P41182_S366s","adipose","prot-ph","BCL6 p366",6,NA,NA,NA,NA,6,NA,8,NA,NA,NA,NA,7,NA,8,NA,NA,7,NA
"P49023","adipose","prot-pr","PXN",6,NA,NA,NA,NA,6,NA,8,NA,NA,NA,NA,7,NA,8,NA,NA,7,NA
"Q16254","adipose","prot-pr","E2F4",6,NA,NA,NA,NA,6,NA,8,NA,NA,NA,NA,7,NA,8,NA,NA,7,NA
"MYC","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
"SIPA1L3","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
"NR4A1","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
"NR4A2","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
"NEDD9","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
"NFKBIZ","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
"APOLD1","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
"ADAMTS1","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
"CCN2","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
"EGR1","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
"JUN","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
"TAMALIN","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
"CX3CL1","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
"CCN1","adipose","transcript-rna-seq","",37,NA,NA,NA,10,15,11,62,NA,NA,NA,16,27,19,73,NA,16,35,18
