"","EE_15min","EE_3.5hr","EE_24hr","RE_15min","RE_3.5hr","RE_24hr"
"PATH-NP_TSH_PATHWAY",0,1,0,0,0,0
"PATH-NP_TNF_ALPHA_PATHWAY",0,1,0,0,0,0
"PATH-NP_IL33_PATHWAY",0,1,1,0,0,0
"PATH-NP_CCR7_PATHWAY",0,1,0,0,0,0
"KINASE-PSP_PKCD/PRKCD",0,1,0,0,1,0
"KINASE-PSP_P38B/MAPK11",0,1,0,1,1,0
"KINASE-PSP_CDC7",0,1,0,0,0,0
"KINASE-iKiP_MLCK",0,1,0,0,0,0
"KINASE-iKiP_MAP2K2",0,1,0,0,0,0
"KINASE-iKiP_LIMK1",0,1,0,0,0,0
"KINASE-iKiP_DYRK4",0,1,0,0,0,0
"KINASE-iKiP_CSNK2A2.CK2A2",0,1,1,1,1,0
"KINASE-iKiP_CDK6-CCND3",0,1,0,0,0,0
"KINASE-iKiP_CDK3-CCNE1",0,1,0,0,0,0
"KINASE-iKiP_CDK2-CCNE1",0,1,0,0,0,0
"KINASE-iKiP_AURKA",0,1,0,0,0,0
"DISEASE-PSP_DLB",0,1,0,0,0,0
"PERT-PSP_WORTMANNIN",0,0,1,0,0,0
"PERT-PSP_GEFITINIB",0,0,1,0,1,0
"PERT-PSP_EPO",0,0,1,0,0,0
"PERT-P100-DIA2_RESVERATROL",0,0,1,0,0,0
"PERT-P100-DIA2_MS-275",0,0,1,1,0,0
"PERT-P100-DIA2_KU-55933",0,0,1,0,0,0
"PERT-P100-DIA2_EPZ004777",0,0,1,1,0,0
"PERT-P100-DIA2_EPZ-5676",0,0,1,0,0,0
"PERT-P100-DIA2_BIX-01338",0,0,1,0,0,0
"PERT-P100-DIA2_BIX-01294",0,0,1,0,0,0
"PATH-NP_AGE_RAGE_PATHWAY",0,0,1,1,0,0
"KINASE-PSP_RAF1",0,0,1,0,0,0
"KINASE-PSP_JNK1/MAPK8",0,0,1,0,0,0
"KINASE-PSP_CK1A/CSNK1A1",0,0,1,0,0,0
"KINASE-PSP_CDK5",0,0,1,0,0,0
"KINASE-iKiP_TNIK",0,0,1,0,0,0
"KINASE-iKiP_STK3",0,0,1,0,0,0
"KINASE-iKiP_PRKX",0,0,1,0,0,1
"KINASE-iKiP_PIM3",0,0,1,1,0,0
"KINASE-iKiP_PAK5",0,0,1,0,0,1
"KINASE-iKiP_NEK1",0,0,1,0,0,0
"KINASE-iKiP_MARK4",0,0,1,0,0,0
"KINASE-iKiP_MAP3K9.MLK1",0,0,1,0,0,0
"KINASE-iKiP_MAP3K10.MLK2",0,0,1,0,0,0
"KINASE-iKiP_DYRK1A",0,0,1,0,0,1
"DISEASE-PSP_breast_cancer",0,0,1,0,0,0
"PERT-PSP_VANADATE",0,0,0,1,0,0
"PERT-PSP_SII_ANGIOTENSIN_2",0,0,0,1,0,0
"PERT-PSP_PHORBOL_ESTER_IONOMYCIN",0,0,0,1,0,0
"PERT-PSP_NOCODAZOLE",0,0,0,1,0,1
"PERT-PSP_LPA",0,0,0,1,0,0
"PERT-PSP_IL_1A",0,0,0,1,0,0
"PERT-PSP_HGF",0,0,0,1,0,0
"PERT-PSP_ARSENITE",0,0,0,1,0,0
"PERT-P100-DIA2_ZEBULARINE",0,0,0,1,0,0
"PERT-P100-DIA2_VERAPAMIL",0,0,0,1,1,0
"PERT-P100-DIA2_VEMURAFENIB",0,0,0,1,0,0
"PERT-P100-DIA2_PRAVASTATIN",0,0,0,1,0,0
"PERT-P100-DIA2_GSK126",0,0,0,1,0,0
"PERT-P100-DIA2_GELDANAMYCIN",0,0,0,1,0,0
"PERT-P100-DIA2_BAFILOMYCIN_A1",0,0,0,1,1,0
"PATH-NP_FSH_PATHWAY",0,0,0,1,0,0
"KINASE-PSP_Ret/RET",0,0,0,1,0,0
"KINASE-PSP_P38A/MAPK14",0,0,0,1,1,0
"KINASE-PSP_MARK2",0,0,0,1,0,0
"KINASE-PSP_MARK1",0,0,0,1,0,0
"KINASE-PSP_ERK1/MAPK3",0,0,0,1,0,0
"KINASE-PSP_ATM",0,0,0,1,0,0
"KINASE-iKiP_TTBK1",0,0,0,1,0,0
"KINASE-iKiP_TGFBR1",0,0,0,1,0,0
"KINASE-iKiP_STK11",0,0,0,1,1,0
"KINASE-iKiP_SPHK2",0,0,0,1,0,0
"KINASE-iKiP_RIPK5",0,0,0,1,0,0
"KINASE-iKiP_MAPK9.JNK2",0,0,0,1,1,0
"KINASE-iKiP_MAPK8.JNK1",0,0,0,1,1,0
"KINASE-iKiP_MAPK3.ERK1",0,0,0,1,1,1
"KINASE-iKiP_MAPK14",0,0,0,1,1,0
"KINASE-iKiP_MAPK13",0,0,0,1,1,0
"KINASE-iKiP_MAPK12",0,0,0,1,1,1
"KINASE-iKiP_MAPK11",0,0,0,1,0,0
"KINASE-iKiP_MAPK10.JNK3",0,0,0,1,1,0
"KINASE-iKiP_GRK7",0,0,0,1,0,0
"KINASE-iKiP_GRK5",0,0,0,1,1,0
"KINASE-iKiP_GRK2",0,0,0,1,0,0
"KINASE-iKiP_EIF2AK1",0,0,0,1,1,0
"KINASE-iKiP_BMPR1B",0,0,0,1,0,0
"KINASE-iKiP_ALK",0,0,0,1,0,0
"KINASE-iKiP_AKT2",0,0,0,1,0,0
"PERT-P100-DIA2_PAZOPANIB",0,0,0,0,1,0
"PERT-P100-DIA2_OLMESARTAN",0,0,0,0,1,0
"PERT-P100-DIA2_CERITINIB",0,0,0,0,1,0
"PERT-P100-DIA2_AFURESERTIB",0,0,0,0,1,0
"KINASE-iKiP_ULK3",0,0,0,0,1,0
"KINASE-iKiP_PIK3R5",0,0,0,0,1,0
"KINASE-iKiP_GSK3B",0,0,0,0,1,0
"KINASE-iKiP_CLK1",0,0,0,0,1,0
"DISEASE-PSP_Parkinsons_disease",0,0,0,0,1,0
"PERT-PSP_SERUM",0,0,0,0,0,1
"KINASE-iKiP_PRKG1",0,0,0,0,0,1
