protein_id	gene_symbol	go_id	location	score
AC002511.2	AC002511.2	GO:0070062	Extracellular exosome	0.587
AC003092.1	AC003092.1	GO:0070062	Extracellular exosome	1.086
AC003092.1	AC003092.1	GO:1903561	Extracellular vesicle	1.018
AC003092.1	AC003092.1	GO:0005615	Extracellular space	0.790
AC003092.1	AC003092.1	GO:0005576	Extracellular region	0.693
AC004041.2	AC004041.2	GO:0005615	Extracellular space	1.149
AC004041.2	AC004041.2	GO:0005576	Extracellular region	1.081
AC004854.4	AC004854.4	GO:0070062	Extracellular exosome	0.879
AC004854.4	AC004854.4	GO:1903561	Extracellular vesicle	0.779
AC004854.4	AC004854.4	GO:0005615	Extracellular space	0.518
AC005013.5	AC005013.5	GO:0070062	Extracellular exosome	0.535
AC005625.1	AC005625.1	GO:1903561	Extracellular vesicle	0.677
AC007099.1	AC007099.1	GO:0070062	Extracellular exosome	0.745
AC007099.1	AC007099.1	GO:1903561	Extracellular vesicle	0.645
AC007271.3	AC007271.3	GO:0070062	Extracellular exosome	0.803
AC007271.3	AC007271.3	GO:1903561	Extracellular vesicle	0.766
AC007403.1	AC007403.1	GO:0070062	Extracellular exosome	1.086
AC007403.1	AC007403.1	GO:1903561	Extracellular vesicle	0.985
AC007403.1	AC007403.1	GO:0005615	Extracellular space	0.725
AC007403.1	AC007403.1	GO:0005576	Extracellular region	0.599
AC008277.1	AC008277.1	GO:0070062	Extracellular exosome	0.793
AC008277.1	AC008277.1	GO:1903561	Extracellular vesicle	0.693
AC008697.1	AC008697.1	GO:0005615	Extracellular space	0.696
AC008697.1	AC008697.1	GO:0005576	Extracellular region	0.570
AC009014.3	AC009014.3	GO:0070062	Extracellular exosome	0.958
AC009014.3	AC009014.3	GO:1903561	Extracellular vesicle	0.857
AC009014.3	AC009014.3	GO:0005615	Extracellular space	0.690
AC009014.3	AC009014.3	GO:0005576	Extracellular region	0.565
AC009495.2	AC009495.2	GO:0070062	Extracellular exosome	0.634
AC009495.2	AC009495.2	GO:1903561	Extracellular vesicle	0.533
AC009948.5	AC009948.5	GO:0005576	Extracellular region	0.582
AC012074.2	AC012074.2	GO:0070062	Extracellular exosome	1.245
AC012074.2	AC012074.2	GO:1903561	Extracellular vesicle	1.145
AC012074.2	AC012074.2	GO:0005615	Extracellular space	0.885
AC012074.2	AC012074.2	GO:0005576	Extracellular region	0.759
AC012456.3	AC012456.3	GO:0070062	Extracellular exosome	0.887
AC012456.3	AC012456.3	GO:1903561	Extracellular vesicle	0.787
AC012456.3	AC012456.3	GO:0005615	Extracellular space	0.527
AC015987.1	AC015987.1	GO:1903561	Extracellular vesicle	0.689
AC017053.1	AC017053.1	GO:0070062	Extracellular exosome	0.827
AC017053.1	AC017053.1	GO:1903561	Extracellular vesicle	0.727
AC024560.2	AC024560.2	GO:0070062	Extracellular exosome	0.646
AC024560.2	AC024560.2	GO:1903561	Extracellular vesicle	0.545
AC024592.9	AC024592.9	GO:0005615	Extracellular space	0.590
AC026904.1	AC026904.1	GO:0070062	Extracellular exosome	0.965
AC026904.1	AC026904.1	GO:1903561	Extracellular vesicle	0.865
AC026904.1	AC026904.1	GO:0005615	Extracellular space	0.650
AC026904.1	AC026904.1	GO:0005576	Extracellular region	0.605
AC053503.4	AC053503.4	GO:1903561	Extracellular vesicle	0.780
AC058791.1	AC058791.1	GO:0070062	Extracellular exosome	0.573
AC067945.2	AC067945.2	GO:1903561	Extracellular vesicle	0.513
AC073115.6	AC073115.6	GO:0070062	Extracellular exosome	0.562
AC090617.1	AC090617.1	GO:0070062	Extracellular exosome	0.852
AC090617.1	AC090617.1	GO:1903561	Extracellular vesicle	0.751
AC092171.4	AC092171.4	GO:0070062	Extracellular exosome	0.653
AC092171.4	AC092171.4	GO:1903561	Extracellular vesicle	0.552
AC093818.1	AC093818.1	GO:1903561	Extracellular vesicle	0.663
AC093818.1	AC093818.1	GO:0070062	Extracellular exosome	0.589
AC093818.1	AC093818.1	GO:0005576	Extracellular region	0.523
AC093850.2	AC093850.2	GO:0070062	Extracellular exosome	1.259
AC093850.2	AC093850.2	GO:1903561	Extracellular vesicle	1.159
AC093850.2	AC093850.2	GO:0005615	Extracellular space	0.999
AC093850.2	AC093850.2	GO:0005576	Extracellular region	0.985
AC100830.4	AC100830.4	GO:0005576	Extracellular region	0.568
AC104653.1	AC104653.1	GO:1903561	Extracellular vesicle	0.685
AC104699.1	AC104699.1	GO:1903561	Extracellular vesicle	0.532
AC106786.1	AC106786.1	GO:0070062	Extracellular exosome	0.610
AC106786.1	AC106786.1	GO:1903561	Extracellular vesicle	0.510
AC108463.1	AC108463.1	GO:0070062	Extracellular exosome	0.504
AC114812.8	AC114812.8	GO:0070062	Extracellular exosome	0.710
AC114812.8	AC114812.8	GO:1903561	Extracellular vesicle	0.609
AC129492.6	AC129492.6	GO:0005576	Extracellular region	0.677
AC145676.2	AC145676.2	GO:1903561	Extracellular vesicle	0.515
AC159540.1	AC159540.1	GO:1903561	Extracellular vesicle	0.835
AC159540.1	AC159540.1	GO:0070062	Extracellular exosome	0.771
AC159540.1	AC159540.1	GO:0005615	Extracellular space	0.705
AC159540.1	AC159540.1	GO:0005576	Extracellular region	0.579
AC195454.1	AC195454.1	GO:1903561	Extracellular vesicle	0.768
ACTA2-AS1	ACTA2-AS1	GO:0070062	Extracellular exosome	1.000
ACTA2-AS1	ACTA2-AS1	GO:1903561	Extracellular vesicle	0.960
ACTA2-AS1	ACTA2-AS1	GO:0005576	Extracellular region	0.747
ACTA2-AS1	ACTA2-AS1	GO:0005615	Extracellular space	0.670
ADAMTS9-AS1	ADAMTS9-AS1	GO:0070062	Extracellular exosome	1.275
ADAMTS9-AS1	ADAMTS9-AS1	GO:1903561	Extracellular vesicle	1.251
ADAMTS9-AS1	ADAMTS9-AS1	GO:0005576	Extracellular region	1.119
ADAMTS9-AS1	ADAMTS9-AS1	GO:0005615	Extracellular space	1.032
ADAMTS9-AS2	ADAMTS9-AS2	GO:0070062	Extracellular exosome	1.572
ADAMTS9-AS2	ADAMTS9-AS2	GO:1903561	Extracellular vesicle	1.539
ADAMTS9-AS2	ADAMTS9-AS2	GO:0005576	Extracellular region	1.325
ADAMTS9-AS2	ADAMTS9-AS2	GO:0005615	Extracellular space	1.322
ADARB2-AS1	ADARB2-AS1	GO:1903561	Extracellular vesicle	0.587
AF131217.1	AF131217.1	GO:0005615	Extracellular space	0.937
AF131217.1	AF131217.1	GO:0005576	Extracellular region	0.811
AF131217.1	AF131217.1	GO:1903561	Extracellular vesicle	0.659
AF131217.1	AF131217.1	GO:0070062	Extracellular exosome	0.555
AFAP1-AS1	AFAP1-AS1	GO:0070062	Extracellular exosome	2.174
AFAP1-AS1	AFAP1-AS1	GO:1903561	Extracellular vesicle	2.110
AFAP1-AS1	AFAP1-AS1	GO:0005615	Extracellular space	1.866
AFAP1-AS1	AFAP1-AS1	GO:0005576	Extracellular region	1.826
AGAP2-AS1	AGAP2-AS1	GO:0070062	Extracellular exosome	2.134
AGAP2-AS1	AGAP2-AS1	GO:1903561	Extracellular vesicle	2.103
AGAP2-AS1	AGAP2-AS1	GO:0005615	Extracellular space	1.863
AGAP2-AS1	AGAP2-AS1	GO:0005576	Extracellular region	1.834
AIRN	AIRN	GO:0070062	Extracellular exosome	0.978
AIRN	AIRN	GO:0005576	Extracellular region	0.948
AIRN	AIRN	GO:1903561	Extracellular vesicle	0.909
AIRN	AIRN	GO:0005615	Extracellular space	0.865
AL109763.2	AL109763.2	GO:1903561	Extracellular vesicle	0.693
AL109763.2	AL109763.2	GO:0005576	Extracellular region	0.617
AL928768.3	AL928768.3	GO:0070062	Extracellular exosome	0.602
AL928768.3	AL928768.3	GO:1903561	Extracellular vesicle	0.592
ALKBH3-AS1	ALKBH3-AS1	GO:0070062	Extracellular exosome	0.521
ALMS1-IT1	ALMS1-IT1	GO:0070062	Extracellular exosome	0.505
ANKRD10-IT1	ANKRD10-IT1	GO:0070062	Extracellular exosome	0.571
AP000439.2	AP000439.2	GO:1903561	Extracellular vesicle	1.184
AP000439.2	AP000439.2	GO:0070062	Extracellular exosome	1.147
AP000439.2	AP000439.2	GO:0005615	Extracellular space	0.954
AP000439.2	AP000439.2	GO:0005576	Extracellular region	0.870
AP000472.2	AP000472.2	GO:0005615	Extracellular space	0.671
AP000472.2	AP000472.2	GO:0005576	Extracellular region	0.545
AP000695.4	AP000695.4	GO:0070062	Extracellular exosome	0.713
AP000695.4	AP000695.4	GO:1903561	Extracellular vesicle	0.613
AP000892.4	AP000892.4	GO:0070062	Extracellular exosome	0.887
AP000892.4	AP000892.4	GO:1903561	Extracellular vesicle	0.787
AP000892.4	AP000892.4	GO:0005615	Extracellular space	0.527
AP001187.9	AP001187.9	GO:0070062	Extracellular exosome	0.506
AP001469.9	AP001469.9	GO:0070062	Extracellular exosome	0.632
AP001469.9	AP001469.9	GO:1903561	Extracellular vesicle	0.531
APCDD1L-AS1	APCDD1L-AS1	GO:0070062	Extracellular exosome	1.323
APCDD1L-AS1	APCDD1L-AS1	GO:1903561	Extracellular vesicle	1.223
APCDD1L-AS1	APCDD1L-AS1	GO:0005615	Extracellular space	0.987
APCDD1L-AS1	APCDD1L-AS1	GO:0005576	Extracellular region	0.862
APOA1-AS	APOA1-AS	GO:0005615	Extracellular space	1.305
APOA1-AS	APOA1-AS	GO:0005576	Extracellular region	1.234
APOA1-AS	APOA1-AS	GO:0070062	Extracellular exosome	0.966
APOA1-AS	APOA1-AS	GO:1903561	Extracellular vesicle	0.950
APTR	APTR	GO:0005576	Extracellular region	1.000
APTR	APTR	GO:0005615	Extracellular space	0.900
APTR	APTR	GO:0070062	Extracellular exosome	0.542
APTR	APTR	GO:1903561	Extracellular vesicle	0.542
ARAP1-AS1	ARAP1-AS1	GO:0070062	Extracellular exosome	0.994
ARAP1-AS1	ARAP1-AS1	GO:1903561	Extracellular vesicle	0.894
ARAP1-AS1	ARAP1-AS1	GO:0005576	Extracellular region	0.691
ARAP1-AS1	ARAP1-AS1	GO:0005615	Extracellular space	0.634
ARAP1-AS2	ARAP1-AS2	GO:1903561	Extracellular vesicle	0.804
ARAP1-AS2	ARAP1-AS2	GO:0070062	Extracellular exosome	0.730
ARAP1-AS2	ARAP1-AS2	GO:0005576	Extracellular region	0.512
ARHGAP31-AS1	ARHGAP31-AS1	GO:0070062	Extracellular exosome	0.602
ARHGAP31-AS1	ARHGAP31-AS1	GO:1903561	Extracellular vesicle	0.502
ARHGAP5-AS1	ARHGAP5-AS1	GO:0070062	Extracellular exosome	1.147
ARHGAP5-AS1	ARHGAP5-AS1	GO:1903561	Extracellular vesicle	1.089
ARHGAP5-AS1	ARHGAP5-AS1	GO:0005576	Extracellular region	0.892
ARHGAP5-AS1	ARHGAP5-AS1	GO:0005615	Extracellular space	0.868
ARRDC1-AS1	ARRDC1-AS1	GO:0005576	Extracellular region	0.512
ASB16-AS1	ASB16-AS1	GO:1903561	Extracellular vesicle	0.844
ASB16-AS1	ASB16-AS1	GO:0070062	Extracellular exosome	0.770
ASB16-AS1	ASB16-AS1	GO:0005576	Extracellular region	0.623
ASMTL-AS1	ASMTL-AS1	GO:0070062	Extracellular exosome	1.498
ASMTL-AS1	ASMTL-AS1	GO:1903561	Extracellular vesicle	1.397
ASMTL-AS1	ASMTL-AS1	GO:0005615	Extracellular space	1.167
ASMTL-AS1	ASMTL-AS1	GO:0005576	Extracellular region	1.069
ATP2A1-AS1	ATP2A1-AS1	GO:0005615	Extracellular space	0.585
ATP2A1-AS1	ATP2A1-AS1	GO:0005576	Extracellular region	0.528
B3GALT5-AS1	B3GALT5-AS1	GO:0070062	Extracellular exosome	0.875
B3GALT5-AS1	B3GALT5-AS1	GO:1903561	Extracellular vesicle	0.774
B3GALT5-AS1	B3GALT5-AS1	GO:0005576	Extracellular region	0.690
B3GALT5-AS1	B3GALT5-AS1	GO:0005615	Extracellular space	0.632
B4GALT1-AS1	B4GALT1-AS1	GO:0070062	Extracellular exosome	0.815
B4GALT1-AS1	B4GALT1-AS1	GO:0005576	Extracellular region	0.794
B4GALT1-AS1	B4GALT1-AS1	GO:1903561	Extracellular vesicle	0.759
B4GALT1-AS1	B4GALT1-AS1	GO:0005615	Extracellular space	0.745
BAALC-AS1	BAALC-AS1	GO:0070062	Extracellular exosome	0.841
BAALC-AS1	BAALC-AS1	GO:1903561	Extracellular vesicle	0.740
BAALC-AS1	BAALC-AS1	GO:0005615	Extracellular space	0.629
BAALC-AS1	BAALC-AS1	GO:0005576	Extracellular region	0.566
BACE1-AS	BACE1-AS	GO:0070062	Extracellular exosome	1.732
BACE1-AS	BACE1-AS	GO:1903561	Extracellular vesicle	1.696
BACE1-AS	BACE1-AS	GO:0005576	Extracellular region	1.631
BACE1-AS	BACE1-AS	GO:0005615	Extracellular space	1.523
BANCR	BANCR	GO:1903561	Extracellular vesicle	1.633
BANCR	BANCR	GO:0070062	Extracellular exosome	1.595
BANCR	BANCR	GO:0005576	Extracellular region	1.585
BANCR	BANCR	GO:0005615	Extracellular space	1.426
BBOX1-AS1	BBOX1-AS1	GO:0070062	Extracellular exosome	0.784
BBOX1-AS1	BBOX1-AS1	GO:0005576	Extracellular region	0.718
BBOX1-AS1	BBOX1-AS1	GO:1903561	Extracellular vesicle	0.683
BCAR4	BCAR4	GO:0070062	Extracellular exosome	1.811
BCAR4	BCAR4	GO:1903561	Extracellular vesicle	1.786
BCAR4	BCAR4	GO:0005576	Extracellular region	1.593
BCAR4	BCAR4	GO:0005615	Extracellular space	1.530
BCYRN1	BCYRN1	GO:0070062	Extracellular exosome	1.627
BCYRN1	BCYRN1	GO:1903561	Extracellular vesicle	1.617
BCYRN1	BCYRN1	GO:0005576	Extracellular region	1.605
BCYRN1	BCYRN1	GO:0005615	Extracellular space	1.502
BDNF-AS	BDNF-AS	GO:0005576	Extracellular region	1.550
BDNF-AS	BDNF-AS	GO:1903561	Extracellular vesicle	1.376
BDNF-AS	BDNF-AS	GO:0070062	Extracellular exosome	1.364
BDNF-AS	BDNF-AS	GO:0005615	Extracellular space	1.211
BGLT3	BGLT3	GO:0005576	Extracellular region	1.072
BGLT3	BGLT3	GO:1903561	Extracellular vesicle	0.639
BGLT3	BGLT3	GO:0070062	Extracellular exosome	0.577
BGLT3	BGLT3	GO:0005615	Extracellular space	0.507
BISPR	BISPR	GO:0070062	Extracellular exosome	1.039
BISPR	BISPR	GO:1903561	Extracellular vesicle	0.963
BISPR	BISPR	GO:0005576	Extracellular region	0.934
BISPR	BISPR	GO:0005615	Extracellular space	0.889
BTBD9-AS1	BTBD9-AS1	GO:0070062	Extracellular exosome	0.728
BTBD9-AS1	BTBD9-AS1	GO:1903561	Extracellular vesicle	0.627
BZRAP1-AS1	BZRAP1-AS1	GO:0005576	Extracellular region	0.961
BZRAP1-AS1	BZRAP1-AS1	GO:0005615	Extracellular space	0.931
BZRAP1-AS1	BZRAP1-AS1	GO:1903561	Extracellular vesicle	0.838
BZRAP1-AS1	BZRAP1-AS1	GO:0070062	Extracellular exosome	0.753
C15orf54	C15orf54	GO:1903561	Extracellular vesicle	0.533
C1QTNF1-AS1	C1QTNF1-AS1	GO:0005576	Extracellular region	0.520
C20orf197	C20orf197	GO:0070062	Extracellular exosome	0.840
C20orf197	C20orf197	GO:1903561	Extracellular vesicle	0.803
C20orf197	C20orf197	GO:0005576	Extracellular region	0.622
C20orf197	C20orf197	GO:0005615	Extracellular space	0.601
C5orf66	C5orf66	GO:0070062	Extracellular exosome	0.929
C5orf66	C5orf66	GO:1903561	Extracellular vesicle	0.880
C5orf66	C5orf66	GO:0005615	Extracellular space	0.754
C5orf66	C5orf66	GO:0005576	Extracellular region	0.703
C5orf66-AS1	C5orf66-AS1	GO:0070062	Extracellular exosome	1.510
C5orf66-AS1	C5orf66-AS1	GO:1903561	Extracellular vesicle	1.433
C5orf66-AS1	C5orf66-AS1	GO:0005615	Extracellular space	1.206
C5orf66-AS1	C5orf66-AS1	GO:0005576	Extracellular region	1.188
C8orf49	C8orf49	GO:0070062	Extracellular exosome	0.660
C8orf49	C8orf49	GO:0005615	Extracellular space	0.609
C8orf49	C8orf49	GO:1903561	Extracellular vesicle	0.559
C8orf49	C8orf49	GO:0005576	Extracellular region	0.541
C9orf106	C9orf106	GO:0070062	Extracellular exosome	0.680
C9orf106	C9orf106	GO:1903561	Extracellular vesicle	0.579
C9orf163	C9orf163	GO:0070062	Extracellular exosome	0.505
CACNA1C-IT3	CACNA1C-IT3	GO:0070062	Extracellular exosome	0.785
CACNA1C-IT3	CACNA1C-IT3	GO:1903561	Extracellular vesicle	0.685
CAHM	CAHM	GO:0070062	Extracellular exosome	0.879
CAHM	CAHM	GO:1903561	Extracellular vesicle	0.778
CAHM	CAHM	GO:0005576	Extracellular region	0.536
CAHM	CAHM	GO:0005615	Extracellular space	0.518
CALML3-AS1	CALML3-AS1	GO:0005576	Extracellular region	0.565
CALML3-AS1	CALML3-AS1	GO:0070062	Extracellular exosome	0.559
CARD8-AS1	CARD8-AS1	GO:1903561	Extracellular vesicle	0.707
CARD8-AS1	CARD8-AS1	GO:0070062	Extracellular exosome	0.591
CARD8-AS1	CARD8-AS1	GO:0005576	Extracellular region	0.567
CARD8-AS1	CARD8-AS1	GO:0005615	Extracellular space	0.505
CASC11	CASC11	GO:0070062	Extracellular exosome	1.364
CASC11	CASC11	GO:1903561	Extracellular vesicle	1.317
CASC11	CASC11	GO:0005576	Extracellular region	1.195
CASC11	CASC11	GO:0005615	Extracellular space	1.127
CASC15	CASC15	GO:0070062	Extracellular exosome	1.710
CASC15	CASC15	GO:1903561	Extracellular vesicle	1.638
CASC15	CASC15	GO:0005576	Extracellular region	1.451
CASC15	CASC15	GO:0005615	Extracellular space	1.437
CASC19	CASC19	GO:0070062	Extracellular exosome	1.206
CASC19	CASC19	GO:1903561	Extracellular vesicle	1.144
CASC19	CASC19	GO:0005615	Extracellular space	0.884
CASC19	CASC19	GO:0005576	Extracellular region	0.878
CASC2	CASC2	GO:0070062	Extracellular exosome	1.892
CASC2	CASC2	GO:1903561	Extracellular vesicle	1.861
CASC2	CASC2	GO:0005576	Extracellular region	1.690
CASC2	CASC2	GO:0005615	Extracellular space	1.664
CASC21	CASC21	GO:1903561	Extracellular vesicle	0.613
CASC8	CASC8	GO:1903561	Extracellular vesicle	0.946
CASC8	CASC8	GO:0005615	Extracellular space	0.912
CASC8	CASC8	GO:0005576	Extracellular region	0.911
CASC8	CASC8	GO:0070062	Extracellular exosome	0.864
CASC9	CASC9	GO:0070062	Extracellular exosome	1.809
CASC9	CASC9	GO:1903561	Extracellular vesicle	1.779
CASC9	CASC9	GO:0005576	Extracellular region	1.540
CASC9	CASC9	GO:0005615	Extracellular space	1.529
CBR3-AS1	CBR3-AS1	GO:0070062	Extracellular exosome	1.332
CBR3-AS1	CBR3-AS1	GO:1903561	Extracellular vesicle	1.312
CBR3-AS1	CBR3-AS1	GO:0005576	Extracellular region	1.072
CBR3-AS1	CBR3-AS1	GO:0005615	Extracellular space	1.030
CCAT1	CCAT1	GO:0070062	Extracellular exosome	2.087
CCAT1	CCAT1	GO:1903561	Extracellular vesicle	2.045
CCAT1	CCAT1	GO:0005576	Extracellular region	1.835
CCAT1	CCAT1	GO:0005615	Extracellular space	1.811
CCAT2	CCAT2	GO:0070062	Extracellular exosome	2.240
CCAT2	CCAT2	GO:1903561	Extracellular vesicle	2.175
CCAT2	CCAT2	GO:0005615	Extracellular space	1.920
CCAT2	CCAT2	GO:0005576	Extracellular region	1.902
CCDC144NL-AS1	CCDC144NL-AS1	GO:0070062	Extracellular exosome	1.211
CCDC144NL-AS1	CCDC144NL-AS1	GO:1903561	Extracellular vesicle	1.158
CCDC144NL-AS1	CCDC144NL-AS1	GO:0005615	Extracellular space	0.874
CCDC144NL-AS1	CCDC144NL-AS1	GO:0005576	Extracellular region	0.837
CCDC148-AS1	CCDC148-AS1	GO:0070062	Extracellular exosome	0.922
CCDC148-AS1	CCDC148-AS1	GO:1903561	Extracellular vesicle	0.821
CCDC148-AS1	CCDC148-AS1	GO:0005615	Extracellular space	0.561
CCDC18-AS1	CCDC18-AS1	GO:0005576	Extracellular region	0.768
CCDC18-AS1	CCDC18-AS1	GO:1903561	Extracellular vesicle	0.733
CCDC18-AS1	CCDC18-AS1	GO:0070062	Extracellular exosome	0.618
CCDC18-AS1	CCDC18-AS1	GO:0005615	Extracellular space	0.584
CCDC26	CCDC26	GO:0005576	Extracellular region	0.745
CCDC26	CCDC26	GO:1903561	Extracellular vesicle	0.707
CCDC26	CCDC26	GO:0070062	Extracellular exosome	0.672
CCDC26	CCDC26	GO:0005615	Extracellular space	0.633
CCEPR	CCEPR	GO:0070062	Extracellular exosome	0.808
CCEPR	CCEPR	GO:1903561	Extracellular vesicle	0.747
CCEPR	CCEPR	GO:0005576	Extracellular region	0.705
CCEPR	CCEPR	GO:0005615	Extracellular space	0.558
CDC42-IT1	CDC42-IT1	GO:0005615	Extracellular space	0.540
CDH23-AS1	CDH23-AS1	GO:0070062	Extracellular exosome	0.566
CDKN2A-AS1	CDKN2A-AS1	GO:0005615	Extracellular space	0.574
CDKN2A-AS1	CDKN2A-AS1	GO:0005576	Extracellular region	0.542
CDKN2B-AS1	CDKN2B-AS1	GO:0005615	Extracellular space	2.325
CDKN2B-AS1	CDKN2B-AS1	GO:0005576	Extracellular region	2.309
CDKN2B-AS1	CDKN2B-AS1	GO:0070062	Extracellular exosome	2.276
CDKN2B-AS1	CDKN2B-AS1	GO:1903561	Extracellular vesicle	2.269
CDR1-AS	CDR1-AS	GO:0070062	Extracellular exosome	2.483
CDR1-AS	CDR1-AS	GO:1903561	Extracellular vesicle	2.438
CDR1-AS	CDR1-AS	GO:0005615	Extracellular space	2.168
CDR1-AS	CDR1-AS	GO:0005576	Extracellular region	2.146
CDR1as	CDR1as	GO:0070062	Extracellular exosome	1.955
CDR1as	CDR1as	GO:1903561	Extracellular vesicle	1.886
CDR1as	CDR1as	GO:0005615	Extracellular space	1.636
CDR1as	CDR1as	GO:0005576	Extracellular region	1.535
CEBPA-AS1	CEBPA-AS1	GO:0070062	Extracellular exosome	1.618
CEBPA-AS1	CEBPA-AS1	GO:1903561	Extracellular vesicle	1.553
CEBPA-AS1	CEBPA-AS1	GO:0005615	Extracellular space	1.304
CEBPA-AS1	CEBPA-AS1	GO:0005576	Extracellular region	1.222
CECR7	CECR7	GO:0070062	Extracellular exosome	0.959
CECR7	CECR7	GO:1903561	Extracellular vesicle	0.859
CECR7	CECR7	GO:0005576	Extracellular region	0.645
CECR7	CECR7	GO:0005615	Extracellular space	0.637
CERS6-AS1	CERS6-AS1	GO:0070062	Extracellular exosome	0.782
CERS6-AS1	CERS6-AS1	GO:1903561	Extracellular vesicle	0.734
CERS6-AS1	CERS6-AS1	GO:0005576	Extracellular region	0.688
CERS6-AS1	CERS6-AS1	GO:0005615	Extracellular space	0.685
CH17-118O6.2	CH17-118O6.2	GO:1903561	Extracellular vesicle	1.133
CH17-118O6.2	CH17-118O6.2	GO:0070062	Extracellular exosome	0.979
CH17-118O6.2	CH17-118O6.2	GO:0005576	Extracellular region	0.885
CH17-118O6.2	CH17-118O6.2	GO:0005615	Extracellular space	0.818
CH507-513H4.4	CH507-513H4.4	GO:0070062	Extracellular exosome	0.831
CH507-513H4.4	CH507-513H4.4	GO:1903561	Extracellular vesicle	0.730
CH507-513H4.6	CH507-513H4.6	GO:1903561	Extracellular vesicle	0.865
CH507-513H4.6	CH507-513H4.6	GO:0070062	Extracellular exosome	0.719
CHL1-AS1	CHL1-AS1	GO:0070062	Extracellular exosome	1.410
CHL1-AS1	CHL1-AS1	GO:1903561	Extracellular vesicle	1.358
CHL1-AS1	CHL1-AS1	GO:0005615	Extracellular space	1.074
CHL1-AS1	CHL1-AS1	GO:0005576	Extracellular region	1.018
CKMT2-AS1	CKMT2-AS1	GO:1903561	Extracellular vesicle	0.702
CKMT2-AS1	CKMT2-AS1	GO:0070062	Extracellular exosome	0.517
CLDN10-AS1	CLDN10-AS1	GO:0005615	Extracellular space	0.914
CLDN10-AS1	CLDN10-AS1	GO:1903561	Extracellular vesicle	0.890
CLDN10-AS1	CLDN10-AS1	GO:0005576	Extracellular region	0.857
CLRN1-AS1	CLRN1-AS1	GO:0070062	Extracellular exosome	0.785
CLRN1-AS1	CLRN1-AS1	GO:1903561	Extracellular vesicle	0.685
CLRN1-AS1	CLRN1-AS1	GO:0005576	Extracellular region	0.587
COLCA1	COLCA1	GO:0005576	Extracellular region	0.854
COLCA1	COLCA1	GO:0005615	Extracellular space	0.853
COLCA1	COLCA1	GO:0070062	Extracellular exosome	0.508
COPG2IT1	COPG2IT1	GO:0005576	Extracellular region	0.944
COX10-AS1	COX10-AS1	GO:0070062	Extracellular exosome	0.564
CPS1-IT1	CPS1-IT1	GO:0070062	Extracellular exosome	1.118
CPS1-IT1	CPS1-IT1	GO:1903561	Extracellular vesicle	1.101
CPS1-IT1	CPS1-IT1	GO:0005576	Extracellular region	0.928
CPS1-IT1	CPS1-IT1	GO:0005615	Extracellular space	0.879
CRNDE	CRNDE	GO:0070062	Extracellular exosome	2.372
CRNDE	CRNDE	GO:1903561	Extracellular vesicle	2.316
CRNDE	CRNDE	GO:0005615	Extracellular space	2.076
CRNDE	CRNDE	GO:0005576	Extracellular region	2.045
CTA-373H7.7	CTA-373H7.7	GO:0070062	Extracellular exosome	0.826
CTA-373H7.7	CTA-373H7.7	GO:1903561	Extracellular vesicle	0.725
CTA-384D8.35	CTA-384D8.35	GO:0070062	Extracellular exosome	0.683
CTA-384D8.35	CTA-384D8.35	GO:1903561	Extracellular vesicle	0.582
