name,uniprot,n_measure,n_tissue,n_cell,n_common,hacells_label,emblcells_label,cell label score,cell label,haatlas_label,emblatlas_label,mspatlas_label,msratlas_label,tissue label score,tissue label,Gobal label score (GLS),Global label
cell death inducing DFFA like effector c,Q96AQ7,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
cerebellin 1 precursor,P23435,2,2,0,0,,,0,,,adiposetissue,,"brain,heart",1,adiposetissue,1,adiposetissue
chromosome 12 open reading frame 40,Q86WS4,2,1,1,0,,"tcellcd4,tcellcd8",0.9,tcellcd4.tcellcd8,,adiposetissue,,,1,adiposetissue,1,adiposetissue
chromosome 18 open reading frame 54,Q8IYD9,4,3,1,1,,"erythrocytes,platelets",0.9,erythrocytes.platelets,,adiposetissue,"artery,muscle",common,1,adiposetissue,1,adiposetissue
collagen type IV alpha 1 chain,P02462,6,4,2,1,platelets,"macrophage,neutrophils",1,platelets,"adiposetissue,lung",adiposetissue,nerve,common,1.45,adiposetissue,1.45,adiposetissue
CXADR like membrane protein,Q9H6B4,4,3,1,0,,"tcellcd4,tcellcd8",0.9,tcellcd4.tcellcd8,,adiposetissue,"artery,nerve","artery,ovary",1,adiposetissue,1,adiposetissue
cytochrome P450 family 26 subfamily B member 1,Q9NR63,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
DDB1 and CUL4 associated factor 12 like 2,Q5VW00,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
defensin beta 132,Q7Z7B7,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
dehydrodolichyl diphosphate synthase subunit,Q86SQ9,2,1,1,0,,"bcell,macrophage",0.9,bcell.macrophages,,adiposetissue,,,1,adiposetissue,1,adiposetissue
dickkopf like acrosomal protein 1,Q9UK85,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
DNA polymerase nu,Q7Z5Q5,2,1,1,1,,common,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
ELOVL fatty acid elongase 3,Q9HB03,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
endothelin 1,P05305,2,1,1,0,,"macrophage,neutrophils",0.9,macrophages.neutrophils,,adiposetissue,,,1,adiposetissue,1,adiposetissue
engrailed homeobox 1,Q05925,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
family with sequence similarity 228 member A,Q86W67,4,3,1,1,,"neutrophils,platelets",0.9,neutrophils.platelets,,adiposetissue,"brain,nerve",common,1,adiposetissue,1,adiposetissue
family with sequence similarity 76 member A,Q8TAV0,4,3,1,2,,common,0,,,adiposetissue,"heart,liver",common,1,adiposetissue,1,adiposetissue
forkhead box N3,O00409,2,1,1,1,,common,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
G protein-coupled receptor 146,Q96CH1,2,1,1,0,,"erythrocytes,macrophage",0.9,erythrocytes.macrophages,,adiposetissue,,,1,adiposetissue,1,adiposetissue
gap junction protein gamma 1,P36383,4,3,1,1,,"neutrophils,platelets",0.9,neutrophils.platelets,,adiposetissue,"colon,esophagus",common,1,adiposetissue,1,adiposetissue
GDNF family receptor alpha like,Q6UXV0,2,1,1,0,,"neutrophils,platelets",0.9,neutrophils.platelets,,adiposetissue,,,1,adiposetissue,1,adiposetissue
glucagon like peptide 2 receptor,O95838,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1,Q8IV16,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
glypican 3,P51654,2,1,1,0,,"macrophage,tcellcd8",0.9,macrophages.tcellcd8,,adiposetissue,,,1,adiposetissue,1,adiposetissue
goosecoid homeobox,P56915,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
growth arrest specific 2 like 2,Q8NHY3,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
homeobox C8,P31273,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
homeobox C9,P31274,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
hyaluronan synthase 2,Q92819,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
hydroxycarboxylic acid receptor 1,Q9BXC0,2,1,1,1,,common,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
inhibin subunit beta B,P09529,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
insulin like growth factor 1,P05019,2,1,1,0,,"erythrocytes,platelets",0.9,erythrocytes.platelets,,adiposetissue,,,1,adiposetissue,1,adiposetissue
interferon induced protein 44 like,Q53G44,2,1,1,0,,"tcellcd4,tcellcd8",0.9,tcellcd4.tcellcd8,,adiposetissue,,,1,adiposetissue,1,adiposetissue
IQCJ-SCHIP1 readthrough,B3KU38,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
ITPRIP like 1,Q6GPH6,2,1,1,0,,"tcellcd4,tcellcd8",0.9,tcellcd4.tcellcd8,,adiposetissue,,,1,adiposetissue,1,adiposetissue
kinesin family member 25,Q9UIL4,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
large tumor suppressor kinase 2,Q9NRM7,2,1,1,0,,"monocytes,neutrophils",0.9,monocytes.neutrophils,,adiposetissue,,,1,adiposetissue,1,adiposetissue
leptin,P41159,2,1,1,0,,"neutrophils,platelets",0.9,neutrophils.platelets,,adiposetissue,,,1,adiposetissue,1,adiposetissue
leucine rich repeats and IQ motif containing 3,A6PVS8,2,1,1,0,,"erythrocytes,platelets",0.9,erythrocytes.platelets,,adiposetissue,,,1,adiposetissue,1,adiposetissue
LIM homeobox transcription factor 1 alpha,Q8TE12,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
MAGE family member A4,P43358,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
MAX dimerization protein 4,Q14582,2,1,1,1,,common,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
mesoderm posterior bHLH transcription factor 1,Q9BRJ9,2,1,1,0,,"bcell,macrophage",0.9,bcell.macrophages,,adiposetissue,,,1,adiposetissue,1,adiposetissue
MyoD family inhibitor,Q99750,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
"myomixer, myoblast fusion factor",A0A1B0GTQ4,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
N-acetyltransferase domain containing 1,Q8N6N6,2,1,1,0,,"erythrocytes,neutrophils",0.9,erythrocytes.neutrophils,,adiposetissue,,,1,adiposetissue,1,adiposetissue
neuropeptide Y receptor Y5,Q15761,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
nucleotide binding oligomerization domain containing 1,Q9Y239,2,1,1,1,,common,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
olfactory receptor family 2 subfamily A member 5,Q96R48,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
olfactory receptor family 51 subfamily E member 1,Q8TCB6,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
osteoclastogenesis associated transmembrane protein 1,Q86WC4,4,3,1,2,,"erythrocytes,platelets",0.9,erythrocytes.platelets,,adiposetissue,common,common,1,adiposetissue,1,adiposetissue
potassium voltage-gated channel subfamily A regulatory beta subunit 1,Q14722,3,2,1,1,,"bcell,monocytes",0.9,bcell.monocytes,,adiposetissue,,common,1,adiposetissue,1,adiposetissue
prokineticin receptor 1,Q8TCW9,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
protocadherin alpha 3,Q9Y5H8,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
RERG like,Q9H628,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
salvador family WW domain containing protein 1,Q9H4B6,4,3,1,1,,"bcell,platelets",0.9,bcell.platelets,,adiposetissue,"artery,nerve",common,1,adiposetissue,1,adiposetissue
secreted frizzled related protein 1,Q8N474,4,4,0,1,,,0,,"adiposetissue,ovary",adiposetissue,artery,common,1.45,adiposetissue,1.45,adiposetissue
semaphorin 3E,O15041,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
serine peptidase inhibitor Kazal type 6,Q6UWN8,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
SERTA domain containing 3,Q9UJW9,2,1,1,1,,common,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
"signal peptide, CUB domain and EGF like domain containing 2",Q9NQ36,4,2,2,1,"macrophages,monocytes","macrophage,neutrophils",0.9,macrophages,common,adiposetissue,,,1,adiposetissue,1,adiposetissue
small regulatory polypeptide of amino acid response,A0A1B0GVQ0,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
solute carrier family 19 member 2,O60779,2,1,1,0,,"erythrocytes,monocytes",0.9,erythrocytes.monocytes,,adiposetissue,,,1,adiposetissue,1,adiposetissue
syntrophin gamma 2,Q9NY99,2,1,1,0,,"tcellcd4,tcellcd8",0.9,tcellcd4.tcellcd8,,adiposetissue,,,1,adiposetissue,1,adiposetissue
T-box transcription factor 15,Q96SF7,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
tenomodulin,Q9H2S6,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
thrombospondin type 1 domain containing 7B,Q9C0I4,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
thyroid hormone responsive,Q92748,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
TLC domain containing 2,A6NGC4,2,1,1,0,,"macrophage,neutrophils",0.9,macrophages.neutrophils,,adiposetissue,,,1,adiposetissue,1,adiposetissue
toll like receptor 4,O00206,2,1,1,0,,"macrophage,neutrophils",0.9,macrophages.neutrophils,,adiposetissue,,,1,adiposetissue,1,adiposetissue
tolloid like 1,O43897,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
trafficking regulator of GLUT4 (SLC2A4) 1,Q8IXB3,4,4,0,0,,,0,,"adiposetissue,ovary",adiposetissue,nerve,artery,1.45,adiposetissue,1.45,adiposetissue
"transducer of ERBB2, 2",Q14106,2,1,1,1,,common,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
transmembrane channel like 2,Q8TDI7,2,1,1,0,,"neutrophils,platelets",0.9,neutrophils.platelets,,adiposetissue,,,1,adiposetissue,1,adiposetissue
transmembrane O-mannosyltransferase targeting cadherins 1,Q8IUR5,4,3,1,1,,"macrophage,neutrophils",0.9,macrophages.neutrophils,,adiposetissue,"esophagus,muscle",common,1,adiposetissue,1,adiposetissue
transmembrane protein 218,A2RU14,2,1,1,0,,"bcell,macrophage",0.9,bcell.macrophages,,adiposetissue,,,1,adiposetissue,1,adiposetissue
transmembrane protein 64,Q6YI46,2,1,1,0,,"erythrocytes,platelets",0.9,erythrocytes.platelets,,adiposetissue,,,1,adiposetissue,1,adiposetissue
tubulin tyrosine ligase like 10,Q6ZVT0,2,1,1,1,,common,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
twist family bHLH transcription factor 1,Q15672,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
twist family bHLH transcription factor 2,Q8WVJ9,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
ubiquitin specific peptidase 53,Q70EK8,4,3,1,2,,common,0,,,adiposetissue,"esophagus,muscle",common,1,adiposetissue,1,adiposetissue
utrophin,P46939,6,4,2,1,"macrophages,monocytes","bcell,monocytes",0.9,monocytes,"lung,nerve",adiposetissue,"artery,nerve",common,1,adiposetissue,1,adiposetissue
vestigial like family member 3,A8MV65,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
X antigen family member 3,Q8WTP9,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
zinc finger protein 836,Q6ZNA1,2,1,1,0,,"bcell,monocytes",0.9,bcell.monocytes,,adiposetissue,,,1,adiposetissue,1,adiposetissue
zona pellucida glycoprotein 1,P60852,1,1,0,0,,,0,,,adiposetissue,,,1,adiposetissue,1,adiposetissue
chromosome 2 open reading frame 73,Q8N5S3,1,1,0,0,,,0,,,"adiposetissue,adrenalgland",,,0.9,adiposetissue.adrenalgland,0.9,adiposetissue.adrenalgland
glucosamine (N-acetyl)-6-sulfatase,P15586,6,4,2,1,macrophages,macrophage,2,macrophages,ovary,adiposetissue,adrenalgland,common,3,adiposetissue.adrenalgland.ovary,3,adiposetissue.adrenalgland.ovary
ADAM metallopeptidase with thrombospondin type 1 motif 5,Q9UNA0,4,3,1,1,,monocytes,1,monocytes,,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
anoctamin 6,Q4KMQ2,6,4,2,1,"monocytes,neutrophils",platelets,1,platelets,"lung,nerve",adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
carbohydrate sulfotransferase 12,Q9NRB3,4,3,1,1,,bcell,1,bcell,,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
churchill domain containing 1,Q8WUH1,6,4,2,0,bcell,"neutrophils,tcellcd4",1,bcell,"bonemarrow,colon",adiposetissue,artery,"heart,muscle",2,adiposetissue.artery,2,adiposetissue.artery
cysteine rich transmembrane BMP regulator 1,Q9NZV1,4,3,1,2,,common,0,,,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
diaphanous related formin 2,O60879,6,4,2,2,platelets,common,1,platelets,"colon,stomach",adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
flavin containing dimethylaniline monoxygenase 2,Q99518,3,3,0,1,,,0,,,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
heparan sulfate proteoglycan 2,P98160,6,4,2,2,common,macrophage,1,macrophages,"lung,nerve",adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
IKBKB interacting protein,Q70UQ0,6,4,2,2,"macrophages,platelets","macrophage,neutrophils",0.9,macrophages,common,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
integrin subunit alpha 1,P56199,6,4,2,1,"macrophages,monocytes",tcellcd8,1,tcellcd8,"lung,spleen",adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
Janus kinase 2,O60674,4,3,1,1,,neutrophils,1,neutrophils,,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
mannosidase alpha class 1A member 1,P33908,6,4,2,2,"macrophages,monocytes","macrophage,neutrophils",0.9,macrophages,common,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
moesin,P26038,6,4,2,2,common,neutrophils,1,neutrophils,"lung,spleen",adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
peroxiredoxin like 2C,Q7RTV5,4,3,1,1,,monocytes,1,monocytes,,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
phosphatidylinositol binding clathrin assembly protein,Q13492,6,4,2,2,"macrophages,monocytes",neutrophils,1,neutrophils,common,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
polypeptide N-acetylgalactosaminyltransferase 15,Q8N3T1,4,3,1,1,,neutrophils,1,neutrophils,,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
protein kinase N3,Q6P5Z2,4,3,1,1,,"erythrocytes,platelets",0.9,erythrocytes.platelets,,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
protocadherin 18,Q9HCL0,3,3,0,1,,,0,,,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
Ras suppressor protein 1,Q15404,6,4,2,2,"macrophages,platelets",platelets,1.45,platelets,common,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
Rho associated coiled-coil containing protein kinase 1,Q13464,6,4,2,1,"macrophages,monocytes",neutrophils,1,neutrophils,"bonemarrow,spleen",adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
sphingosine-1-phosphate receptor 1,P21453,6,4,2,1,tcellcd8,"tcellcd4,tcellcd8",1.45,tcellcd8,"brain,lung",adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
stabilizer of axonemal microtubules 1,Q8IYX7,3,2,1,1,,common,0,,,adiposetissue,artery,,2,adiposetissue.artery,2,adiposetissue.artery
stanniocalcin 1,P52823,3,3,0,1,,,0,,,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
vesicle associated membrane protein 3,Q15836,6,4,2,2,macrophages,"macrophage,neutrophils",1.45,macrophages,common,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
zinc finger and BTB domain containing 16,Q05516,4,3,1,1,,"bcell,monocytes",0.9,bcell.monocytes,,adiposetissue,artery,common,2,adiposetissue.artery,2,adiposetissue.artery
ABI family member 3 binding protein,Q7Z7G0,6,4,2,1,tcellcd4,monocytes,2,monocytes.tcellcd4,brain,adiposetissue,artery,common,3,adiposetissue.artery.brain,3,adiposetissue.artery.brain
huntingtin interacting protein 1,O00291,6,4,2,2,common,neutrophils,1,neutrophils,brain,adiposetissue,artery,common,3,adiposetissue.artery.brain,3,adiposetissue.artery.brain
protein tyrosine phosphatase receptor type G,P23470,6,4,2,1,macrophages,bcell,2,bcell.macrophages,brain,adiposetissue,artery,common,3,adiposetissue.artery.brain,3,adiposetissue.artery.brain
RNA binding motif single stranded interacting protein 1,P29558,6,4,2,2,common,neutrophils,1,neutrophils,brain,adiposetissue,artery,common,3,adiposetissue.artery.brain,3,adiposetissue.artery.brain
ZFP36 ring finger protein like 2,P47974,6,4,2,2,macrophages,common,1,macrophages,brain,adiposetissue,artery,common,3,adiposetissue.artery.brain,3,adiposetissue.artery.brain
coiled-coil domain containing 80,Q76M96,5,4,1,2,,common,0,,colon,adiposetissue,artery,common,3,adiposetissue.artery.colon,3,adiposetissue.artery.colon
proprotein convertase subtilisin/kexin type 5,Q92824,5,4,1,1,,"macrophage,tcellcd8",0.9,macrophages.tcellcd8,colon,adiposetissue,artery,common,3,adiposetissue.artery.colon,3,adiposetissue.artery.colon
syndecan binding protein,O00560,6,4,2,1,macrophages,neutrophils,2,macrophages.neutrophils,liver,adiposetissue,artery,common,3,adiposetissue.artery.liver,3,adiposetissue.artery.liver
C-X-C motif chemokine ligand 12,P48061,5,4,1,1,platelets,,1,platelets,lung,adiposetissue,artery,common,3,adiposetissue.artery.lung,3,adiposetissue.artery.lung
caveolae associated protein 1,Q6NZI2,6,4,2,1,"macrophages,platelets",macrophage,1.45,macrophages,lung,adiposetissue,artery,common,3,adiposetissue.artery.lung,3,adiposetissue.artery.lung
CD93 molecule,Q9NPY3,6,4,2,1,macrophages,"monocytes,neutrophils",1,macrophages,lung,adiposetissue,artery,common,3,adiposetissue.artery.lung,3,adiposetissue.artery.lung
EH domain containing 2,Q9NZN4,6,4,2,1,platelets,platelets,2,platelets,lung,adiposetissue,artery,common,3,adiposetissue.artery.lung,3,adiposetissue.artery.lung
fms related receptor tyrosine kinase 1,P17948,5,4,1,1,,macrophage,1,macrophages,lung,adiposetissue,artery,common,3,adiposetissue.artery.lung,3,adiposetissue.artery.lung
myosin IC,O00159,6,4,2,1,"macrophages,neutrophils",macrophage,1.45,macrophages,lung,adiposetissue,artery,common,3,adiposetissue.artery.lung,3,adiposetissue.artery.lung
natriuretic peptide receptor 3,P17342,5,4,1,1,,neutrophils,1,neutrophils,lung,adiposetissue,artery,common,3,adiposetissue.artery.lung,3,adiposetissue.artery.lung
TIMP metallopeptidase inhibitor 3,P35625,6,4,2,1,macrophages,macrophage,2,macrophages,lung,adiposetissue,artery,common,3,adiposetissue.artery.lung,3,adiposetissue.artery.lung
forkhead box O3,O43524,4,3,1,0,,neutrophils,1,neutrophils,,adiposetissue,artery,muscle,3,adiposetissue.artery.muscle,3,adiposetissue.artery.muscle
procollagen C-endopeptidase enhancer 2,Q9UKZ9,5,4,1,1,,"macrophage,neutrophils",0.9,macrophages.neutrophils,nerve,adiposetissue,artery,common,3,adiposetissue.artery.nerve,3,adiposetissue.artery.nerve
glycophorin C (Gerbich blood group),P04921,6,4,2,2,tcellcd4,common,1,tcellcd4,ovary,adiposetissue,artery,common,3,adiposetissue.artery.ovary,3,adiposetissue.artery.ovary
protein O-glucosyltransferase 3,Q7Z4H8,6,4,2,2,common,"tcellcd4,tcellcd8",0.9,tcellcd4.tcellcd8,ovary,adiposetissue,artery,common,3,adiposetissue.artery.ovary,3,adiposetissue.artery.ovary
slit guidance ligand 3,O75094,6,4,2,1,bcell,macrophage,2,bcell.macrophages,pancreas,adiposetissue,artery,common,3,adiposetissue.artery.pancreas,3,adiposetissue.artery.pancreas
four and a half LIM domains 5,Q5TD97,4,4,0,1,,,0,,spleen,adiposetissue,artery,common,3,adiposetissue.artery.spleen,3,adiposetissue.artery.spleen
phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,O00443,6,4,2,2,"bcell,macrophages",common,0.9,bcell.macrophages,stomach,adiposetissue,artery,common,3,adiposetissue.artery.stomach,3,adiposetissue.artery.stomach
RNA binding motif single stranded interacting protein 2,Q15434,5,4,1,1,,monocytes,1,monocytes,stomach,adiposetissue,artery,common,3,adiposetissue.artery.stomach,3,adiposetissue.artery.stomach
"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",Q4LDE5,6,4,2,1,"macrophages,monocytes",erythrocytes,1,erythrocytes,stomach,adiposetissue,artery,common,3,adiposetissue.artery.stomach,3,adiposetissue.artery.stomach
zinc finger NFX1-type containing 1,Q9P2E3,6,4,2,1,tcellcd4,"macrophage,neutrophils",1,tcellcd4,stomach,adiposetissue,artery,common,3,adiposetissue.artery.stomach,3,adiposetissue.artery.stomach
galectin 12,Q96DT0,4,2,2,0,"monocytes,platelets",neutrophils,1,neutrophils,bonemarrow,adiposetissue,,,2,adiposetissue.bonemarrow,2,adiposetissue.bonemarrow
MAP7 domain containing 3,Q8IWC1,6,4,2,2,macrophages,common,1,macrophages,bonemarrow,adiposetissue,"artery,muscle",common,2,adiposetissue.bonemarrow,2,adiposetissue.bonemarrow
acetoacetyl-CoA synthetase,Q86V21,6,4,2,1,neutrophils,"erythrocytes,platelets",1,neutrophils,bonemarrow,adiposetissue,brain,common,3,adiposetissue.bonemarrow.brain,3,adiposetissue.bonemarrow.brain
G protein-coupled receptor kinase 3,P35626,6,4,2,1,neutrophils,macrophage,2,macrophages.neutrophils,bonemarrow,adiposetissue,brain,common,3,adiposetissue.bonemarrow.brain,3,adiposetissue.bonemarrow.brain
"glycerol-3-phosphate acyltransferase, mitochondrial",Q9HCL2,6,4,2,1,"monocytes,tcellcd4","erythrocytes,platelets",1.8,common,bonemarrow,adiposetissue,liver,common,3,adiposetissue.bonemarrow.liver,3,adiposetissue.bonemarrow.liver
paired related homeobox 1,P54821,5,4,1,1,"bcell,monocytes",,0.9,bcell.monocytes,bonemarrow,adiposetissue,muscle,common,3,adiposetissue.bonemarrow.muscle,3,adiposetissue.bonemarrow.muscle
defective in cullin neddylation 1 domain containing 3,Q8IWE4,6,4,2,1,erythrocytes,platelets,2,erythrocytes.platelets,bonemarrow,adiposetissue,nerve,common,3,adiposetissue.bonemarrow.nerve,3,adiposetissue.bonemarrow.nerve
BMP binding endothelial regulator,Q8N8U9,2,2,0,0,,,0,,,adiposetissue,,brain,2,adiposetissue.brain,2,adiposetissue.brain
calcium binding protein 39 like,Q9H9S4,6,4,2,2,tcellcd4,"erythrocytes,macrophage",1,tcellcd4,common,adiposetissue,brain,common,2,adiposetissue.brain,2,adiposetissue.brain
CDC42 effector protein 4,Q9H3Q1,6,4,2,2,macrophages,"erythrocytes,neutrophils",1,macrophages,common,adiposetissue,brain,common,2,adiposetissue.brain,2,adiposetissue.brain
"CRK proto-oncogene, adaptor protein",P46108,6,4,2,2,macrophages,"erythrocytes,neutrophils",1,macrophages,common,adiposetissue,brain,common,2,adiposetissue.brain,2,adiposetissue.brain
cytohesin 3,O43739,4,3,1,1,,monocytes,1,monocytes,,adiposetissue,brain,common,2,adiposetissue.brain,2,adiposetissue.brain
mitogen-activated protein kinase 11,Q15759,4,2,2,1,tcellcd8,common,1,tcellcd8,brain,adiposetissue,,,2,adiposetissue.brain,2,adiposetissue.brain
multimerin 2,Q9H8L6,5,4,1,1,,"erythrocytes,platelets",0.9,erythrocytes.platelets,brain,adiposetissue,"heart,muscle",common,2,adiposetissue.brain,2,adiposetissue.brain
N-acetyltransferase 8 like,Q8N9F0,3,2,1,0,,macrophage,1,macrophages,brain,adiposetissue,,,2,adiposetissue.brain,2,adiposetissue.brain
prickle planar cell polarity protein 2,Q7Z3G6,5,4,1,2,,platelets,1,platelets,common,adiposetissue,brain,common,2,adiposetissue.brain,2,adiposetissue.brain
